,chain1,chain2,shared_validators,0,1,2,3,4,5,6,7
0,cosmos,kava,40,0,3,1,16,0,3,6,11
1,cosmos,injective,48,2,3,0,26,2,0,8,7
2,cosmos,axelar,33,0,1,0,21,0,0,2,9
3,cosmos,osmosis,115,2,8,5,69,1,0,5,25
4,cosmos,terra,40,1,3,0,16,1,0,10,9
5,cosmos,iris,29,1,1,0,9,4,1,2,11
6,cosmos,dydx,43,1,3,0,23,0,0,5,11
7,cosmos,secret,21,4,0,0,11,2,0,0,4
8,cosmos,akash,60,0,3,1,33,4,3,2,14
9,cosmos,stargaze,52,1,7,0,31,0,0,4,9
10,cosmos,gravity-bridge,39,1,5,1,16,1,1,3,11
11,cosmos,sentinel,22,1,3,0,16,0,0,1,1
12,cosmos,juno,89,0,15,2,48,0,1,2,21
13,kava,injective,22,1,1,0,14,0,1,4,1
14,kava,axelar,17,1,0,1,10,0,2,2,1
15,kava,osmosis,37,0,3,1,22,1,4,2,4
16,kava,terra,16,0,0,0,8,0,1,5,2
17,kava,iris,18,1,2,1,4,0,3,4,3
18,kava,dydx,22,0,1,1,11,1,1,3,4
19,kava,secret,15,2,1,0,7,0,1,1,3
20,kava,akash,30,0,4,0,13,4,5,1,3
21,kava,stargaze,23,0,6,0,13,0,2,1,1
22,kava,gravity-bridge,15,0,1,0,6,1,6,1,0
23,kava,sentinel,19,0,4,0,11,1,3,0,0
24,kava,juno,30,0,6,2,16,1,1,1,3
25,injective,axelar,25,0,0,0,14,0,0,9,2
26,injective,osmosis,38,1,1,0,28,0,0,6,2
27,injective,terra,21,1,0,0,11,1,0,6,2
28,injective,iris,9,2,0,0,4,1,0,1,1
29,injective,dydx,25,1,0,0,16,0,0,7,1
30,injective,secret,18,3,0,0,9,2,0,3,1
31,injective,akash,27,0,0,0,19,2,0,3,3
32,injective,stargaze,25,1,0,0,19,0,0,4,1
33,injective,gravity-bridge,15,0,2,0,7,0,0,3,3
34,injective,sentinel,12,0,0,0,10,0,0,2,0
35,injective,juno,29,0,3,0,21,0,0,2,3
36,axelar,osmosis,31,0,1,1,24,0,1,2,2
37,axelar,terra,14,0,1,0,7,0,0,3,3
38,axelar,iris,8,0,1,1,3,0,0,0,3
39,axelar,dydx,24,0,1,3,13,0,0,4,3
40,axelar,secret,12,1,0,1,7,0,0,2,1
41,axelar,akash,20,0,0,1,13,1,2,1,2
42,axelar,stargaze,24,0,1,5,14,0,2,1,1
43,axelar,gravity-bridge,19,0,1,2,9,0,3,0,4
44,axelar,sentinel,10,0,0,0,9,1,0,0,0
45,axelar,juno,24,0,1,2,16,0,0,1,4
46,osmosis,terra,33,0,4,0,18,0,0,7,4
47,osmosis,iris,19,0,2,1,10,1,0,0,5
48,osmosis,dydx,39,1,4,0,25,1,0,3,5
49,osmosis,secret,19,2,0,0,15,0,1,0,1
50,osmosis,akash,52,0,5,1,36,2,2,0,6
51,osmosis,stargaze,69,1,13,2,44,0,1,4,4
52,osmosis,gravity-bridge,33,1,3,3,18,1,2,1,4
53,osmosis,sentinel,33,3,6,0,22,0,0,1,1
54,osmosis,juno,97,0,21,4,59,0,0,2,11
55,terra,iris,16,1,2,0,3,0,0,6,4
56,terra,dydx,17,0,3,0,8,0,0,4,2
57,terra,secret,14,2,0,0,8,1,0,2,1
58,terra,akash,20,0,1,1,12,1,0,3,2
59,terra,stargaze,21,1,3,0,11,0,0,5,1
60,terra,gravity-bridge,12,0,3,0,4,0,0,3,2
61,terra,sentinel,8,0,1,0,7,0,0,0,0
62,terra,juno,30,1,6,1,15,0,0,3,4
63,iris,dydx,10,0,2,1,5,0,0,1,1
64,iris,secret,9,3,0,1,2,1,0,1,1
65,iris,akash,16,0,2,1,6,2,1,1,3
66,iris,stargaze,13,0,3,1,6,0,0,1,2
67,iris,gravity-bridge,15,0,1,1,4,3,3,0,3
68,iris,sentinel,9,1,2,0,4,0,2,0,0
69,iris,juno,19,0,3,1,8,0,1,0,6
70,dydx,secret,9,1,0,0,6,1,0,1,0
71,dydx,akash,22,0,3,0,14,1,0,0,4
72,dydx,stargaze,22,1,4,1,14,0,0,1,1
73,dydx,gravity-bridge,11,0,2,0,8,1,0,0,0
74,dydx,sentinel,9,0,2,0,6,1,0,0,0
75,dydx,juno,27,0,5,1,18,0,0,0,3
76,secret,akash,17,0,2,0,10,2,0,1,2
77,secret,stargaze,14,2,1,0,9,0,0,0,2
78,secret,gravity-bridge,6,1,0,0,1,0,3,0,1
79,secret,sentinel,5,1,0,0,4,0,0,0,0
80,secret,juno,19,1,2,3,11,0,0,1,1
81,akash,stargaze,42,1,7,0,28,0,2,1,3
82,akash,gravity-bridge,23,0,3,2,8,2,3,0,5
83,akash,sentinel,31,5,6,0,13,6,1,0,0
84,akash,juno,50,1,11,1,29,1,1,1,5
85,stargaze,gravity-bridge,31,0,11,1,9,0,6,2,2
86,stargaze,sentinel,27,3,8,1,14,0,0,1,0
87,stargaze,juno,68,1,31,0,29,0,1,1,5
88,gravity-bridge,sentinel,9,0,0,0,4,0,4,1,0
89,gravity-bridge,juno,39,0,11,0,16,0,6,1,5
90,sentinel,juno,25,1,9,0,14,1,0,0,0
