voter,akash_16,akash_52,akash_182,akash_185,akash_187,akash_229,akash_232,akash_233,akash_234,akash_236,akash_242,akash_243,akash_244,akash_245,akash_246,akash_247,akash_250,akash_252,akash_253,akash_254,akash_255,akash_261,akash_263,akash_266,akash_268,akash_9,akash_14,akash_22,akash_23,akash_24,akash_26,akash_28,akash_31,akash_63,akash_199,akash_200,akash_206,akash_207,akash_208,akash_216,akash_230,akash_235,akash_258,akash_259,akash_260,akash_269,akash_270,akash_271,akash_272,akash_273,cluster_label
Chainflow,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,3
Imperatorco,,YES,YES,ABSTAIN,ABSTAIN,YES,YES,NO,ABSTAIN,NO,YES,ABSTAIN,ABSTAIN,YES,YES,YES,YES,NO,NO,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,YES,NO_WITH_VETO,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,3
 AutoStake  Slash Protected,YES,YES,YES,NO,ABSTAIN,YES,YES,NO,YES,NO,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,YES,YES,NO,YES,NO,YES,YES,YES,NO_WITH_VETO,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,3
StakeWithUs,,YES,YES,ABSTAIN,,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,ABSTAIN,NO,,,,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,,YES,YES,NO_WITH_VETO,YES,YES,YES,ABSTAIN,NO,YES,YES,YES,,,,,,3
Simply Staking,YES,YES,YES,NO,YES,,YES,YES,ABSTAIN,YES,YES,YES,,YES,,YES,YES,YES,NO,YES,YES,,,,YES,YES,,ABSTAIN,YES,YES,,YES,NO,ABSTAIN,YES,YES,NO_WITH_VETO,YES,YES,YES,YES,NO,YES,YES,YES,,,,,,3
StakeLabzone,YES,,,YES,YES,YES,YES,,,,YES,YES,,,,,,,,,,,,,,,YES,YES,YES,YES,,YES,,,YES,YES,,YES,,YES,YES,,,,,,,,,,3
SpacePotato,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,YES,,,YES,ABSTAIN,,YES,,,,,,,NO,YES,NO,YES,NO,NO,ABSTAIN,YES,YES,,YES,NO,YES,,,,,,ABSTAIN,ABSTAIN,,,,,YES,,ABSTAIN,ABSTAIN,,3
Vitwit Previously Witval,,YES,YES,NO,NO,YES,YES,,,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,ABSTAIN,YES,NO,NO,,,,YES,,YES,,,,,,YES,YES,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,3
SG1,,,ABSTAIN,YES,,YES,ABSTAIN,,,,,,,,YES,,,,,,,,,,,,YES,,,,,,NO,NO,YES,ABSTAIN,,ABSTAIN,ABSTAIN,YES,,ABSTAIN,,,,,,,,,3
Chorus One,,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,NO,YES,,,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO_WITH_VETO,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,3
Forbole,YES,YES,YES,NO,YES,,YES,,YES,NO,YES,YES,,,YES,YES,YES,,,YES,,,YES,,,NO,YES,ABSTAIN,YES,YES,ABSTAIN,YES,NO,,YES,YES,NO_WITH_VETO,YES,YES,YES,YES,,YES,,,,,YES,,,3
POSTHUMAN  StakeDrop,,,,,,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,,YES,YES,YES,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,3
Ping,,,,,,YES,,ABSTAIN,,,YES,,YES,YES,,,,,,,,YES,,,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,3
0basevc,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO_WITH_VETO,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,3
