voter,axelar_29,axelar_166,axelar_167,axelar_168,axelar_169,axelar_170,axelar_171,axelar_172,axelar_174,axelar_178,axelar_188,axelar_190,axelar_191,axelar_192,axelar_193,axelar_194,axelar_196,axelar_199,axelar_200,axelar_201,axelar_204,axelar_206,axelar_207,axelar_208,axelar_209,axelar_211,axelar_212,axelar_213,axelar_215,axelar_216,axelar_217,axelar_218,axelar_219,axelar_220,axelar_222,axelar_223,axelar_239,axelar_240,axelar_241,axelar_253,cluster_label
Imperatorco,YES,NO_VOTE,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,ABSTAIN,NO,NO,YES,NO,ABSTAIN,YES,NO,ABSTAIN,ABSTAIN,NO,NO,NO,NO,NO,YES,YES,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,YES,3
 AutoStake  Slash Protected,YES,NO_VOTE,YES,NO_VOTE,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,NO,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,NO,NO_VOTE,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,3
BHarvest,YES,,YES,YES,YES,,YES,YES,,,YES,YES,YES,YES,YES,,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,3
Provalidator,YES,,YES,,,,,,,,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,YES,NO,YES,YES,NO,ABSTAIN,YES,,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,3
Simply Staking,,,,YES,NO,,,,ABSTAIN,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
StakeLabzone,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,NO_VOTE,NO_VOTE,YES,YES,ABSTAIN,NO_VOTE,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,3
Crosnest,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,ABSTAIN,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,YES,,NO,NO,NO,NO,,NO,,,,ABSTAIN,ABSTAIN,YES,3
KalpaTech,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,,NO_VOTE,YES,NO_VOTE,,NO_VOTE,NO_VOTE,YES,NO_VOTE,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,ABSTAIN,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,ABSTAIN,YES,NO,YES,3
Chorus One,NO_VOTE,YES,YES,NO_VOTE,NO_VOTE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,ABSTAIN,YES,ABSTAIN,YES,YES,NO,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,NO,NO,NO,ABSTAIN,YES,NO,YES,3
Forbole,,,,,,,,,ABSTAIN,,,,YES,YES,,,ABSTAIN,ABSTAIN,ABSTAIN,,,,,ABSTAIN,NO,ABSTAIN,NO,,,,,NO,,,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,3
