voter,cosmos_60,cosmos_63,cosmos_69,cosmos_72,cosmos_75,cosmos_76,cosmos_77,cosmos_78,cosmos_79,cosmos_80,cosmos_81,cosmos_82,cosmos_83,cosmos_86,cosmos_89,cosmos_90,cosmos_93,cosmos_94,cosmos_99,cosmos_101,cosmos_687,cosmos_787,cosmos_791,cosmos_793,cosmos_800,cosmos_811,cosmos_814,cosmos_818,cosmos_826,cosmos_827,cosmos_836,cosmos_839,cosmos_848,cosmos_851,cosmos_853,cosmos_856,cosmos_858,cosmos_861,cosmos_862,cosmos_865,cosmos_867,cosmos_868,cosmos_895,cosmos_899,cosmos_912,cosmos_916,cosmos_917,cosmos_946,cosmos_952,cosmos_954,cosmos_956,cosmos_68,cosmos_73,cosmos_74,cosmos_95,cosmos_98,cosmos_103,cosmos_104,cosmos_155,cosmos_202,cosmos_717,cosmos_796,cosmos_920,cosmos_922,cosmos_930,cosmos_52,cosmos_42,cosmos_44,cosmos_45,cluster_label
Chainflow,ABSTAIN,YES,NO,NO,YES,YES,YES,ABSTAIN,YES,NO,NO,NO,NO,NO,YES,ABSTAIN,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,NO,YES,ABSTAIN,YES,NO,YES,YES,ABSTAIN,NO,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,NO,YES,ABSTAIN,ABSTAIN,YES,NO,,,,,,,,,,,,,,,,,,,3
Imperatorco,ABSTAIN,,NO,YES,ABSTAIN,NO,YES,NO,ABSTAIN,NO,NO,NO_WITH_VETO,NO,ABSTAIN,NO,NO,ABSTAIN,YES,ABSTAIN,YES,YES,NO,NO,ABSTAIN,YES,NO,YES,NO,ABSTAIN,NO,NO,YES,WEIGHTED_VOTE,YES,NO,NO,YES,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,YES,YES,YES,ABSTAIN,NO_WITH_VETO,ABSTAIN,NO,YES,NO_WITH_VETO,YES,ABSTAIN,ABSTAIN,NO,NO,NO,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,YES,,,,,3
StakeWithUs,,YES,NO,ABSTAIN,ABSTAIN,ABSTAIN,YES,NO,YES,NO,NO,NO_WITH_VETO,NO,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,,YES,ABSTAIN,NO,YES,YES,NO,YES,NO,YES,YES,ABSTAIN,ABSTAIN,YES,YES,YES,NO,,YES,,ABSTAIN,YES,YES,ABSTAIN,YES,ABSTAIN,NO,YES,NO,ABSTAIN,YES,,YES,NO_WITH_VETO,YES,,,YES,,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,YES,,,,3
Staking Fund,,ABSTAIN,YES,ABSTAIN,ABSTAIN,,YES,ABSTAIN,NO,NO,NO,NO_WITH_VETO,NO,,YES,NO,ABSTAIN,YES,ABSTAIN,NO,,,NO,ABSTAIN,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,ABSTAIN,ABSTAIN,YES,YES,NO,YES,ABSTAIN,NO,NO,YES,,,,,NO,YES,YES,YES,7
BHarvest,,YES,ABSTAIN,,ABSTAIN,NO,YES,ABSTAIN,YES,NO,NO,NO_WITH_VETO,NO,NO,NO,NO,YES,YES,ABSTAIN,NO,YES,YES,NO,ABSTAIN,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,,,,,YES,NO,YES,YES,NO,YES,ABSTAIN,YES,YES,YES,ABSTAIN,YES,ABSTAIN,,NO,YES,YES,YES,3
Provalidator,YES,YES,NO,YES,ABSTAIN,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO,NO_WITH_VETO,NO,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,NO_WITH_VETO,NO_WITH_VETO,YES,NO,YES,NO,ABSTAIN,NO,ABSTAIN,ABSTAIN,NO,YES,ABSTAIN,NO,,,,,YES,NO,ABSTAIN,,YES,NO,YES,,ABSTAIN,,,YES,NO_WITH_VETO,YES,NO,NO,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,NO,,,,3
Simply Staking,NO_VOTE,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,ABSTAIN,NO,YES,,NO_WITH_VETO,YES,YES,NO,YES,NO,YES,NO,YES,NO,ABSTAIN,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,ABSTAIN,NO,YES,NO_WITH_VETO,YES,YES,NO,YES,YES,NO,NO,YES,NO,ABSTAIN,ABSTAIN,YES,NO,NO,YES,YES,3
StakeLabzone,YES,YES,,YES,ABSTAIN,NO,YES,,YES,NO,NO,NO_WITH_VETO,NO,NO_WITH_VETO,NO,NO,NO,YES,ABSTAIN,ABSTAIN,YES,NO,NO_WITH_VETO,NO_WITH_VETO,YES,NO_WITH_VETO,YES,NO,YES,,NO_WITH_VETO,NO,NO,,NO,NO,NO,NO,YES,YES,ABSTAIN,ABSTAIN,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO_WITH_VETO,YES,ABSTAIN,NO,YES,NO,YES,NO,YES,NO,ABSTAIN,ABSTAIN,YES,,,,,3
BouBouNode,,ABSTAIN,,YES,,,YES,,,,,NO,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
SpacePotato,,,NO_WITH_VETO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,3
