voter,dydx_6,dydx_24,dydx_44,dydx_47,dydx_48,dydx_138,dydx_142,dydx_144,dydx_154,dydx_156,dydx_157,dydx_164,dydx_165,dydx_175,dydx_176,cluster_label
Imperatorco,NO,YES,YES,NO,NO,YES,YES,YES,YES,ABSTAIN,ABSTAIN,NO,YES,YES,YES,3
StakeWithUs,NO_VOTE,YES,ABSTAIN,YES,YES,ABSTAIN,YES,YES,,,,,,,,3
BHarvest,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
Provalidator,,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,YES,YES,NO,NO,,YES,YES,3
Crosnest,NO,NO,YES,YES,ABSTAIN,,ABSTAIN,NO,NO,WEIGHTED_VOTE,WEIGHTED_VOTE,NO,ABSTAIN,,WEIGHTED_VOTE,3
Chorus One,ABSTAIN,YES,YES,ABSTAIN,NO,ABSTAIN,YES,YES,YES,NO,YES,NO,ABSTAIN,YES,ABSTAIN,3
Swiss Staking,YES,,,,,,,,,,,,,,,3
01node,NO,,,,,,,,,,,,,,,3
Ping,,YES,YES,YES,NO,,,,,,,,,,,3
0basevc,NO,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,YES,NO,ABSTAIN,YES,,3
NodeStake,,,,,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,3
Figment,NO,YES,,,,,,,,,YES,NO,,,,3
Kahuna,,,YES,ABSTAIN,NO,,,,,ABSTAIN,ABSTAIN,,YES,,,7
Nocturnal Labs,,NO,YES,YES,NO,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,,,,ABSTAIN,7
Kalia Network,,YES,YES,ABSTAIN,NO,ABSTAIN,YES,NO,NO,YES,YES,YES,ABSTAIN,YES,,1
ECO Stake ,YES,NO,YES,YES,NO,YES,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,YES,YES,3
Citadelone,,,YES,YES,NO,ABSTAIN,YES,YES,YES,,,ABSTAIN,ABSTAIN,YES,YES,3
Informal Systems,NO_VOTE,NO,YES,NO,NO,NO_VOTE,YES,YES,YES,ABSTAIN,YES,NO,YES,YES,YES,3
 LavenderFive Nodes ,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,,,YES,,3
KingSuper,YES,YES,YES,,,,,,,,,,,,,1
