voter,gravity-bridge_20,gravity-bridge_22,gravity-bridge_23,gravity-bridge_25,gravity-bridge_28,gravity-bridge_35,gravity-bridge_38,gravity-bridge_39,gravity-bridge_47,gravity-bridge_53,gravity-bridge_54,gravity-bridge_64,gravity-bridge_67,gravity-bridge_78,gravity-bridge_102,gravity-bridge_106,gravity-bridge_107,gravity-bridge_118,gravity-bridge_119,gravity-bridge_120,gravity-bridge_126,gravity-bridge_156,gravity-bridge_157,gravity-bridge_170,gravity-bridge_32,gravity-bridge_33,gravity-bridge_52,gravity-bridge_80,gravity-bridge_98,gravity-bridge_108,gravity-bridge_121,gravity-bridge_153,gravity-bridge_173,gravity-bridge_180,gravity-bridge_193,gravity-bridge_210,gravity-bridge_214,gravity-bridge_217,gravity-bridge_226,gravity-bridge_227,gravity-bridge_29,gravity-bridge_94,gravity-bridge_97,cluster_label
StakeLabzone,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,3
Crosnest,NO,NO_WITH_VETO,NO,YES,,YES,YES,YES,YES,YES,,,YES,YES,YES,ABSTAIN,ABSTAIN,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,NO,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,NO,ABSTAIN,YES,YES,,,,3
Vitwit Previously Witval,,,,,,,,,,,YES,,,YES,,YES,YES,NO,NO,NO,YES,YES,YES,,,,,NO,,YES,YES,,,,,,,YES,YES,YES,,,,3
KalpaTech,YES,NO,NO,YES,YES,,YES,,YES,YES,YES,YES,YES,YES,,ABSTAIN,YES,NO,NO,NO,ABSTAIN,YES,ABSTAIN,YES,,YES,YES,,,ABSTAIN,YES,YES,YES,YES,,YES,NO,,ABSTAIN,YES,YES,NO,,3
Swiss Staking,YES,NO_VOTE,NO_VOTE,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,NO,NO,NO,ABSTAIN,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,NO,YES,YES,YES,YES,NO,YES,3
Bi23 Labs,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,YES,,,,,,NO_VOTE,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,,3
0basevc,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,ABSTAIN,YES,NO,YES,YES,YES,YES,NO,NO,3
Figment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABSTAIN,3
Oldcat,,NO_VOTE,NO_VOTE,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,,,NO_VOTE,YES,YES,YES,YES,NO,NO,YES,YES,,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,3
Tessellated,,,,,,,,,,,,YES,,YES,YES,YES,YES,,,,YES,YES,YES,YES,,,,ABSTAIN,NO,NO,YES,NO,YES,YES,NO,YES,,YES,YES,YES,,NO,NO,3
Ubik Capital,,,,,,,,,,YES,,YES,ABSTAIN,ABSTAIN,ABSTAIN,,,NO,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,,,,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,YES,ABSTAIN,YES,NO,,ABSTAIN,,,NO,ABSTAIN,6
PLEASE REDELEGATE,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,,,,YES,ABSTAIN,YES,ABSTAIN,NO,ABSTAIN,YES,,,,,,,,,,YES,NO,NO,7
Citadelone,YES,NO_VOTE,NO_VOTE,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,,,,YES,YES,YES,YES,YES,ABSTAIN,YES,,YES,YES,ABSTAIN,YES,NO_VOTE,YES,YES,YES,NO_VOTE,YES,YES,3
KingSuper,NO,NO_WITH_VETO,NO_WITH_VETO,YES,YES,YES,YES,,YES,,,,,,ABSTAIN,YES,ABSTAIN,NO,NO,NO,ABSTAIN,YES,YES,YES,,YES,,,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,YES,ABSTAIN,YES,ABSTAIN,YES,YES,YES,YES,NO,ABSTAIN,1
Cosmostation,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,NO,NO,NO,ABSTAIN,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,YES,ABSTAIN,YES,NO,YES,YES,YES,YES,NO,ABSTAIN,3
BlockHunters ,,,,,,,,,,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,,ABSTAIN,,ABSTAIN,,,YES,,YES,YES,,,,NO_VOTE,,,,7
NodesGuru,,,,,,,,YES,,YES,YES,,,,YES,ABSTAIN,ABSTAIN,,,,,,,,,,YES,,YES,ABSTAIN,,,,,,YES,,YES,YES,YES,,,YES,1
blockscape,NO,NO_VOTE,NO_VOTE,YES,NO_VOTE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,NO,ABSTAIN,YES,YES,YES,YES,YES,NO_VOTE,YES,NO,YES,ABSTAIN,YES,NO_VOTE,,ABSTAIN,3
Blockdaemon,,,,,,,,YES,YES,,,,YES,,,,,,,YES,,,,YES,,,,,,,YES,YES,,YES,,,,,,,,NO,,3
MMS,,YES,,YES,,YES,YES,YES,YES,ABSTAIN,,YES,,,ABSTAIN,ABSTAIN,YES,NO,NO,NO,ABSTAIN,,,,NO,YES,YES,ABSTAIN,NO,,YES,,,,,,NO,YES,,NO_VOTE,,NO,NO,0
BronBro,NO,,,YES,YES,,YES,YES,,,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,ABSTAIN,YES,YES,NO,YES,NO,YES,YES,YES,,NO,YES,3
