voter,iris_24,iris_25,iris_26,iris_28,iris_41,iris_47,iris_48,iris_52,iris_73,iris_74,iris_76,iris_77,iris_78,iris_79,iris_84,iris_89,iris_7,cluster_label
Imperatorco,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO_WITH_VETO,ABSTAIN,ABSTAIN,NO_WITH_VETO,ABSTAIN,,3
SpacePotato,,,,,,,,NO,ABSTAIN,NO,NO,YES,ABSTAIN,YES,,ABSTAIN,,3
01node,,,,,,,,,,,ABSTAIN,NO_WITH_VETO,NO,ABSTAIN,ABSTAIN,YES,,3
Bi23 Labs,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,3
kytzu,,,,,,,,,,YES,,,,YES,,YES,,7
Ping,,,,,,,YES,YES,YES,YES,,,,YES,,YES,YES,3
openbitlab,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
stakefish,,,,,,,,,,,,,,,,,NO,3
Citadelone,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,NO_WITH_VETO,ABSTAIN,YES,NO_WITH_VETO,ABSTAIN,NO_VOTE,3
KingSuper,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,,,,,,,,NO_VOTE,,NO_VOTE,1
Cosmostation,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,ABSTAIN,,YES,YES,ABSTAIN,NO_WITH_VETO,ABSTAIN,YES,NO,YES,YES,3
BlockHunters ,NO_VOTE,NO_WITH_VETO,NO_VOTE,NO_WITH_VETO,NO_VOTE,NO_VOTE,NO_VOTE,ABSTAIN,YES,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,,NO_VOTE,7
Meria,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_WITH_VETO,NO,ABSTAIN,NO,YES,YES,ABSTAIN,NO_WITH_VETO,ABSTAIN,YES,NO,ABSTAIN,NO_VOTE,7
Cypher Core,,,,,,NO_WITH_VETO,,ABSTAIN,NO,YES,YES,,,YES,,YES,,3
node101,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_WITH_VETO,NO,ABSTAIN,ABSTAIN,YES,YES,NO_WITH_VETO,ABSTAIN,YES,NO_WITH_VETO,YES,NO_VOTE,4
test,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,ABSTAIN,NO_VOTE,NO,NO_VOTE,NO_VOTE,7
Stakeflow,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,,NO_VOTE,NO_VOTE,YES,NO_WITH_VETO,ABSTAIN,YES,NO_VOTE,YES,NO_VOTE,7
PoS Node,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,YES,ABSTAIN,YES,YES,ABSTAIN,NO_WITH_VETO,ABSTAIN,YES,NO_WITH_VETO,YES,,1
kooltek68,,,,,,,YES,YES,YES,YES,YES,YES,,YES,YES,YES,,2
EZ Staking,NO_VOTE,NO_VOTE,NO_WITH_VETO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,,,,,NO_WITH_VETO,,YES,NO_VOTE,,NO_WITH_VETO,7
Stakin,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO_WITH_VETO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,7
syncnode,,,,,,,,,,,,,,,,,NO,1
stakesystems,,,,NO_WITH_VETO,,NO_WITH_VETO,ABSTAIN,,YES,YES,ABSTAIN,NO_WITH_VETO,NO,YES,NO_WITH_VETO,YES,,1
Wetez,,,,,,,YES,,,,,,,,,,,5
SpaceStake,,,,,,,,,YES,YES,ABSTAIN,NO_WITH_VETO,NO_WITH_VETO,YES,NO_WITH_VETO,YES,,2
DO NOT DELEGATE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,2
Bit Cat,NO_VOTE,NO_VOTE,,NO_VOTE,NO_VOTE,,YES,YES,,YES,,,,,NO_VOTE,,YES,1
Easy 2 Stake,NO_WITH_VETO,NO_WITH_VETO,,,,NO_WITH_VETO,ABSTAIN,ABSTAIN,,,,,,,,,NO,6
jetlife,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,,,,,,,,NO_VOTE,,NO_VOTE,4
w3coins,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_WITH_VETO,NO,YES,NO,YES,YES,NO_WITH_VETO,NO_WITH_VETO,YES,YES,NO_WITH_VETO,YES,,4
Atomic power node,,,,,,NO_WITH_VETO,ABSTAIN,,YES,,,,,,,,YES,7
HLT,NO_VOTE,NO_WITH_VETO,NO,NO_VOTE,NO_VOTE,NO_VOTE,,,,,,,,,NO_VOTE,,YES,7
Certus One,,,,,,,,,,,,,,,,YES,,7
