voter,juno_4,juno_16,juno_18,juno_19,juno_20,juno_72,juno_83,juno_85,juno_125,juno_141,juno_284,juno_292,juno_307,juno_7,juno_15,juno_30,juno_39,juno_59,juno_60,juno_89,juno_275,juno_279,juno_280,juno_286,juno_306,juno_312,juno_313,juno_314,juno_316,juno_318,juno_321,juno_322,juno_323,juno_324,juno_326,juno_328,juno_329,juno_330,juno_331,juno_335,juno_336,juno_337,juno_338,juno_339,juno_349,juno_351,juno_353,cluster_label
Chainflow,ABSTAIN,YES,NO_WITH_VETO,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Imperatorco,ABSTAIN,NO,NO,NO_VOTE,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,NO,NO,NO_WITH_VETO,ABSTAIN,NO,YES,ABSTAIN,YES,ABSTAIN,YES,NO,YES,YES,YES,ABSTAIN,YES,NO,NO,NO,NO,NO,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,3
 AutoStake  Slash Protected,NO_VOTE,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO,YES,ABSTAIN,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO_VOTE,NO_VOTE,NO_VOTE,ABSTAIN,ABSTAIN,ABSTAIN,3
Provalidator,,YES,NO_WITH_VETO,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,,YES,ABSTAIN,,YES,NO_WITH_VETO,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO,NO,YES,ABSTAIN,YES,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,,,,,,ABSTAIN,NO,ABSTAIN,3
Simply Staking,,YES,NO,,YES,ABSTAIN,NO,NO,NO,YES,NO,YES,NO,,,,ABSTAIN,NO,ABSTAIN,YES,ABSTAIN,ABSTAIN,NO,NO,NO,,,,,NO,NO,NO,NO,NO,YES,ABSTAIN,ABSTAIN,,NO,,,,,,,,,3
StakeLabzone,NO,NO,ABSTAIN,,NO,YES,,NO,NO,YES,,,,,YES,NO,YES,NO,YES,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,3
Sentinel dVPN,NO,NO,,,,,,,,,,,,NO_VOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
REDELEGATE,NO_VOTE,ABSTAIN,NO_WITH_VETO,NO_WITH_VETO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
BouBouNode,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
SpacePotato,NO,NO,NO,NO,YES,ABSTAIN,NO,NO,ABSTAIN,YES,ABSTAIN,YES,NO_VOTE,NO,NO,NO_WITH_VETO,ABSTAIN,NO,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
