voter,kava_71,kava_73,kava_75,kava_78,kava_80,kava_82,kava_88,kava_89,kava_100,kava_101,kava_104,kava_116,kava_120,kava_121,kava_125,kava_126,kava_128,kava_135,kava_137,kava_141,kava_142,kava_148,kava_149,kava_151,kava_153,kava_154,kava_166,kava_169,kava_171,kava_175,kava_176,kava_179,kava_180,kava_183,kava_185,kava_186,kava_187,kava_188,kava_189,kava_172,kava_158,kava_190,kava_191,cluster_label
 AutoStake  Slash Protected,NO,YES,ABSTAIN,YES,NO,NO,YES,YES,NO,ABSTAIN,YES,YES,NO,NO,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,NO,YES,YES,YES,NO,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,,,,,3
StakeWithUs,,,ABSTAIN,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,,ABSTAIN,,,,3
BHarvest,ABSTAIN,ABSTAIN,ABSTAIN,YES,NO,ABSTAIN,NO,YES,NO,ABSTAIN,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,,YES,YES,YES,YES,,,,,,,,YES,,,,3
Crosnest,ABSTAIN,YES,YES,NO_VOTE,NO,YES,NO,NO,NO,NO,NO,NO_VOTE,NO,NO_VOTE,YES,YES,WEIGHTED_VOTE,NO_VOTE,ABSTAIN,ABSTAIN,NO_VOTE,YES,NO,YES,ABSTAIN,NO_VOTE,ABSTAIN,ABSTAIN,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,3
SG1,,ABSTAIN,,NO,,,,,,,,,,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,,,,,,,,,,,,,,,,3
Chorus One,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,NO,ABSTAIN,NO,YES,YES,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,,,YES,NO,NO,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,3
Forbole,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,,,,,,YES,ABSTAIN,NO,YES,,,ABSTAIN,YES,YES,YES,ABSTAIN,YES,YES,,YES,NO,YES,YES,YES,ABSTAIN,YES,YES,,,,YES,YES,,,YES,,,,3
Bi23 Labs,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,,,YES,YES,YES,,,YES,,YES,,,,,,,,YES,,,,,YES,,,,,,NO_VOTE,,,3
kytzu,NO,YES,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Notional,NO,YES,ABSTAIN,YES,NO,YES,YES,YES,NO,ABSTAIN,YES,ABSTAIN,YES,YES,,,,YES,YES,YES,,YES,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,,,,,,,,,,,,,,ABSTAIN,,,3
