voter,stargaze_11,stargaze_15,stargaze_16,stargaze_17,stargaze_50,stargaze_57,stargaze_58,stargaze_59,stargaze_81,stargaze_94,stargaze_104,stargaze_35,stargaze_101,stargaze_128,stargaze_144,stargaze_200,stargaze_205,stargaze_210,stargaze_213,stargaze_223,stargaze_226,stargaze_242,stargaze_244,stargaze_252,stargaze_265,stargaze_267,stargaze_270,stargaze_272,stargaze_287,stargaze_292,cluster_label
Chainflow,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,,,,,,,,,,,,,,,,,,,,3
Imperatorco,NO,NO,NO,NO,YES,NO,NO,YES,ABSTAIN,NO,NO,NO,YES,YES,ABSTAIN,ABSTAIN,NO,YES,NO,YES,NO,ABSTAIN,NO,YES,NO,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,3
 AutoStake  Slash Protected,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,ABSTAIN,NO_VOTE,NO,YES,YES,YES,NO_VOTE,YES,NO,NO,NO,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO_VOTE,3
Simply Staking,NO_VOTE,NO,NO,NO,YES,NO,NO,YES,YES,ABSTAIN,NO,NO_VOTE,YES,NO_VOTE,NO_VOTE,YES,NO,NO,NO_VOTE,NO,NO,NO,NO_VOTE,ABSTAIN,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
StakeLabzone,NO,,,,NO,,NO,NO,,,,,NO,,,,,,,YES,,,,YES,,NO,,,,,3
REDELEGATE,NO,YES,YES,YES,NO,NO_VOTE,NO_VOTE,ABSTAIN,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
SpacePotato,NO,NO,NO,NO,ABSTAIN,ABSTAIN,NO_WITH_VETO,ABSTAIN,ABSTAIN,YES,,NO,ABSTAIN,YES,ABSTAIN,,,ABSTAIN,,ABSTAIN,,,,,,,,,,,3
Crosnest,,NO_VOTE,NO_VOTE,NO_VOTE,,YES,NO_WITH_VETO,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,ABSTAIN,NO_VOTE,YES,NO,YES,NO,NO_VOTE,ABSTAIN,ABSTAIN,NO,ABSTAIN,NO,ABSTAIN,ABSTAIN,NO_VOTE,3
Vitwit Previously Witval,,NO_VOTE,NO_VOTE,NO_VOTE,,NO_VOTE,NO_VOTE,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,NO_VOTE,NO_VOTE,NO_VOTE,,NO_VOTE,YES,ABSTAIN,ABSTAIN,NO,ABSTAIN,NO_VOTE,YES,NO_VOTE,YES,3
Noderunners,NO,YES,YES,YES,NO,NO,NO,YES,ABSTAIN,ABSTAIN,NO_VOTE,YES,NO,NO_VOTE,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO,NO,NO,NO_VOTE,ABSTAIN,NO_VOTE,NO_VOTE,ABSTAIN,3
Chorus One,,,,,,NO,NO,ABSTAIN,YES,YES,ABSTAIN,YES,YES,,YES,YES,NO,YES,ABSTAIN,ABSTAIN,NO,YES,NO,YES,NO,YES,NO,YES,YES,ABSTAIN,3
Forbole,,,,,,,,,,,ABSTAIN,ABSTAIN,ABSTAIN,,,ABSTAIN,,,,ABSTAIN,NO,YES,NO,,ABSTAIN,,,NO_VOTE,,,3
POSTHUMAN  StakeDrop,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,ABSTAIN,YES,YES,YES,YES,YES,NO,NO_VOTE,YES,YES,YES,3
Ping,NO,,,,,ABSTAIN,NO,YES,,,,,YES,,,,,,,,,,,,,,,NO_VOTE,NO_VOTE,,3
Notional,,YES,YES,YES,YES,ABSTAIN,NO,YES,,NO_VOTE,ABSTAIN,NO_VOTE,NO_VOTE,NO_VOTE,ABSTAIN,NO_VOTE,NO_VOTE,YES,ABSTAIN,ABSTAIN,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
0basevc,NO,YES,YES,YES,NO,ABSTAIN,ABSTAIN,YES,ABSTAIN,NO_VOTE,ABSTAIN,YES,ABSTAIN,YES,YES,NO_VOTE,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,NO,YES,YES,NO_VOTE,NO,YES,YES,NO_VOTE,3
Smart Stake ,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,NO_WITH_VETO,YES,ABSTAIN,YES,YES,NO_VOTE,ABSTAIN,ABSTAIN,NO,YES,NO_WITH_VETO,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,NO,ABSTAIN,YES,NO,NO_WITH_VETO,ABSTAIN,ABSTAIN,ABSTAIN,3
 block pane ,NO,NO,NO,NO,NO_VOTE,ABSTAIN,NO,NO,NO,NO_VOTE,NO_VOTE,NO,ABSTAIN,NO_VOTE,NO_VOTE,NO_VOTE,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
