voter,terra_349,terra_870,terra_874,terra_880,terra_902,terra_929,terra_979,terra_1354,terra_1502,terra_2616,terra_3186,terra_3460,terra_3533,terra_3534,terra_3547,terra_3612,terra_3665,terra_3794,terra_3796,terra_4591,terra_4592,terra_4593,terra_4714,terra_4715,terra_4716,terra_4722,terra_4723,terra_4736,terra_4738,terra_4739,terra_4742,terra_4743,terra_4744,terra_4765,terra_4775,terra_4797,terra_4803,terra_4811,terra_4812,terra_4813,terra_4814,terra_4816,terra_4822,terra_4823,cluster_label
Imperatorco,YES,NO_VOTE,NO_VOTE,NO_VOTE,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,YES,YES,NO,ABSTAIN,YES,ABSTAIN,YES,NO,YES,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,YES,NO,NO,ABSTAIN,ABSTAIN,3
 AutoStake  Slash Protected,YES,NO,ABSTAIN,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO_VOTE,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,NO,ABSTAIN,ABSTAIN,3
StakeWithUs,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,NO_VOTE,YES,YES,NO,YES,NO,NO,NO_VOTE,YES,NO,ABSTAIN,YES,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,NO_VOTE,ABSTAIN,NO,ABSTAIN,ABSTAIN,NO,NO_VOTE,ABSTAIN,ABSTAIN,ABSTAIN,,,3
Crosnest,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,ABSTAIN,YES,ABSTAIN,NO,ABSTAIN,ABSTAIN,NO_VOTE,NO_VOTE,NO_VOTE,3
Noderunners,ABSTAIN,YES,,NO,NO,,YES,YES,NO,ABSTAIN,ABSTAIN,,,,,,,,,NO,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,,,,,,NO,YES,YES,YES,NO,ABSTAIN,NO,YES,ABSTAIN,ABSTAIN,3
Forbole,NO_VOTE,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
01node,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,,ABSTAIN,YES,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,,YES,,,,,,,YES,YES,ABSTAIN,,YES,YES,ABSTAIN,,NO,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,NO,,NO,ABSTAIN,ABSTAIN,ABSTAIN,3
Inotel,YES,YES,,,,,,,,,,YES,,,,ABSTAIN,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,1
kytzu,YES,YES,YES,,,NO_VOTE,YES,YES,NO_VOTE,YES,,,,,,YES,YES,NO_VOTE,,NO_VOTE,NO_VOTE,,,,,,NO_VOTE,NO_VOTE,,NO_VOTE,,,,,,,,,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,,7
Secure Secrets,ABSTAIN,YES,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO,NO_VOTE,NO,NO_VOTE,ABSTAIN,ABSTAIN,ABSTAIN,NO_VOTE,YES,ABSTAIN,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,ABSTAIN,YES,YES,YES,ABSTAIN,YES,NO_VOTE,YES,NO_VOTE,NO_VOTE,YES,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,6
