,voter,cluster_label,tsne_x,tsne_y,participation_rate
0,Chainflow,3,-1.8455392122,16.5222511292,0.5
1,Imperatorco,3,-10.9385995865,13.6137056351,0.98
2, AutoStake  Slash Protected,3,-13.2772989273,12.6032743454,1.0
3,Simply Staking,3,-3.0343694687,14.4355669022,0.74
4,StakeLabzone,3,-4.3296175003,11.1159973145,0.34
5,SpacePotato,3,-4.5930695534,8.2586431503,0.58
6,Vitwit Previously Witval,3,-0.19770103690000002,13.56179142,0.76
7,SG1,3,-8.7076759338,2.6440017223,0.28
8,Chorus One,3,-8.6247787476,12.4799175262,0.94
9,Forbole,3,-3.8674573898,11.8072090149,0.64
10,POSTHUMAN  StakeDrop,3,-6.3793168068,11.6891851425,0.68
11,Ping,3,-2.4028606415000002,9.3860654831,0.16
12,0basevc,3,-8.509226799,8.6829175949,1.0
13,Smart Stake ,3,-10.7664890289,14.0520687103,0.94
14, block pane ,3,-3.1519911289,7.8734455109,0.14
15,WhisperNode ,3,-12.8840484619,11.477022171,0.46
16,Stakyio,3,-3.2206959724,9.1887235641,0.02
17,Kahuna,7,3.4567914009,-3.1901357174,0.24
18,16psyche,7,4.9312949181,1.1196154356,0.68
19,Nocturnal Labs,7,0.5723526478000001,5.0519170761,0.76
20,decentralizehk  DHK dao,3,-9.5116825104,6.6584768295,0.8
21,Kalia Network,1,-2.5880608559000002,3.6241297722,0.86
22,ECO Stake ,3,-12.4189910889,8.7554702759,1.0
23,NosNode,3,-3.5655851364,16.1918392181,0.74
24,Citadelone,3,-12.9534673691,13.3071680069,0.92
25,Informal Systems,3,-12.1719083786,8.3532886505,0.62
26, LavenderFive Nodes ,3,-13.5135612488,9.2103557587,0.74
27,Frens ,3,-10.7989406586,10.5539808273,0.24
28,Cosmostation,3,-11.1706142426,12.7375774384,0.98
29,Kleomedes,1,-14.0303659439,-0.8151580691,0.66
30,OmniFlix Network,3,-14.3591814041,-5.017996788,0.64
31,GATA HUB,3,-10.2668924332,5.3681941032000005,0.6
32,hydrogen18,7,8.6672306061,-8.9804506302,0.08
33,Coinage x DAIC,3,-14.1448717117,10.7826490402,0.3
34,Stakecito,3,-11.4047574997,10.8654222488,0.86
35,Meria,7,0.457793802,4.7788434029,0.76
36,BronBro,3,-7.3025517464,11.7057590485,0.0
37,Cypher Core,3,-9.1785993576,7.2464914322,0.68
38,ChainLayer,3,0.0126119778,6.5003886223,0.82
39,Active Nodes,3,-1.1032893658,9.9115447998,0.98
40,DACM,4,6.5803256035,-5.7166104317,0.52
41,strangelove,1,1.011654973,13.4513053894,0.48
42,ushakov,5,-5.024204731,-8.432425499,0.1
43,c29r3,4,10.0376176834,5.8249025345,0.74
44,Allnodes,3,-12.3951158524,7.2428355217,0.72
45,PoS Node,1,-2.020162344,3.1108193398,0.82
46,Tedcryptoio   TedLotto,1,-11.6529741287,2.6455898285,0.58
47,kooltek68,2,1.3979291916,-6.3084001541,0.42
48,CroutonDigital,7,2.5747306347,-3.8236560822,0.16
