,voter,cluster_label,tsne_x,tsne_y,participation_rate
0,Imperatorco,3,14.1599750519,3.8162047863,0.975
1, AutoStake  Slash Protected,3,11.1164522171,3.5937068462,0.925
2,BHarvest,3,10.7145433426,-8.1084451675,0.875
3,Provalidator,3,16.1302509308,-5.4272632599,0.775
4,Simply Staking,3,18.9563274384,-1.0847973824,0.1
5,StakeLabzone,3,14.2246370316,-8.4530439377,0.225
6,Crosnest,3,15.7371826172,5.1147298813,0.8
7,KalpaTech,3,19.5653095245,-5.1516661644,0.275
8,Chorus One,3,9.2555074692,1.1516838074,0.925
9,Forbole,3,13.1046476364,-10.4312419891,0.425
10,Swiss Staking,3,18.3718700409,-3.6895632744,0.0
11,POSTHUMAN  StakeDrop,3,13.3040246964,-3.7936449051,0.5
12,0basevc,3,15.8898544312,-0.1854235977,0.925
13,Node Guardians,3,15.0507764816,-3.7494018078,0.925
14,Figment,3,8.2949037552,-7.7804918289,0.1
15,Tessellated,3,17.0605869293,-3.1417691708,0.6
16,Citadelone,3,9.2218532562,3.578471899,0.65
17,Informal Systems,3,4.7569966316,4.0606174469,0.4
18,Cosmostation,3,13.7891817093,5.3800311089,0.925
19,BlockHunters ,7,3.3006904125,-14.7773838043,0.55
20,polkachucom,3,7.3064622879,-7.9343137741,1.0
21,Meria,7,2.3234302998,-0.6819406152,0.825
22,DSRV,3,15.5190525055,8.6544809341,0.625
23,ChainLayer,3,5.783613205,-9.1897478104,0.775
24,ushakov,5,-19.8138942719,-1.2236838341,0.85
25,Staketab,2,-17.836271286,2.5493474007,0.25
26,Everstake,6,3.9234137535,8.6950683594,0.45
27,Coinbase,3,-17.9937801361,5.0793561935,0.0
28,Stakin,7,26.6543445587,3.9071452618,0.975
29,Enigma,7,-0.9336266518,-3.8416149616,0.55
30,Stakewollecom  Autocompound,6,6.4627671242,15.5935382843,0.875
31,Validatriumcom,2,-14.3447580338,-0.5485388041,0.95
32,NodeMonster,2,-3.9969096184,2.3610150814,0.975
33,DO NOT DELEGATE,2,-5.6516885757,6.8973388672,0.0
34,MantiCore,2,-8.0472517014,6.3574533463,0.0
35,Inter Blockchain Services,5,-13.2620944977,7.5391054153,0.725
36,3venturesio  autocompound via reStake,2,-9.8381099701,5.4184484482,0.0
37,ValiDAO,2,-4.5854172707,-7.6140704155,0.3
38,ChainodeTech,5,-13.5646724701,-4.0463590622,0.625
39,Anonstake,2,-12.9195995331,4.30656147,0.0
40,50 Validator  Airdrop,4,21.6689128876,6.043885231,0.025
41,bitszn,7,-1.4312106371,18.6395568848,0.975
42,Nodiums,7,-14.4165277481,16.0352478027,0.975
43,Kiln,6,4.6179976463,12.0423574448,0.0
44,Flipside,7,-1.6718680859000001,-10.3175792694,0.55
45,Crypto Lion,7,-2.8099815845,20.4225654602,0.05
46,Validation Cloud,2,-0.09143687040000001,-0.907379508,0.0
47,BwareLabs,6,-0.6515361071,2.7233271599,0.65
48, CryptoCrew Validators IBCgang,0,-17.9665908813,-4.6225886345000005,0.575
49,Synergy Nodes,6,-2.9295613766,14.6669559479,0.8
50,QuantNode,2,-10.170545578,8.6553916931,0.7
51,Lets Node  1package,2,-9.1624250412,10.3028345108,0.95
52,P2PORG Validator,2,-15.0905332565,11.1680612564,0.6
53,LunaNova,2,-8.6787185669,-0.5003710985,0.725
54,CoinHippo,2,-9.2370290756,1.2796803713,0.5
55,Contribution DAO,6,-22.053401947,20.7334957123,0.875
56,Brightlystake,2,-7.6956868172,9.0111751556,0.825
57,Redbooker,2,-10.5547351837,-2.9619755745,0.95
58,POPS Team,2,-7.1199450493,1.8753302097,0.975
59,CryptoSailors,2,-7.6027774811,-2.0793464184,0.825
60,4SV,2,-10.3166275024,-5.6062293053,0.575
61,CoinMetrika,2,-7.3194231987,-7.3957953453,0.65
62,Qubelabs,2,-6.7702412605,0.4220423102,0.975
63,axelarcore0,2,-9.286265373200001,3.8510169983,0.05
64,rodion,2,-10.2887029648,2.8483235836,0.075
65,Squid,2,-6.2913031578,3.4352884293,0.775
66,Ledger by Chorus One,6,4.8789014816,13.9289169312,0.0
67,HoodRun,2,-12.0110788345,1.4072673321,0.65
68,Terminet,5,9.1995325089,11.0662298203,0.0
69,FinoaConsensusServices,6,0.4669389427,16.2125320435,0.0
70,AlexZ,2,-11.4045629501,-1.6984500885,0.925
71,RockawayX Infra,6,-7.2775888443,11.78698349,0.7
72, carbonZERO,2,-6.4680953026,-9.1861248016,0.075
73,Rekt,2,-6.4646453857,-10.9406461716,0.025
74,ForestStaking,2,-4.8372774124,-9.7181787491,0.075
75,JuliF0x,2,-8.0475187302,-10.1905012131,0.05
76,Softhouse,2,-5.3616056442,-3.0670247078,0.575
77,SwigsStaking,2,-7.3603639603,-12.9362621307,0.15
78,anvel,2,-5.0544419289,-11.5896463394,0.075
