,voter,cluster_label,tsne_x,tsne_y,participation_rate
0,Chainflow,3,-5.9074945450000005,-8.1133069992,0.7391304347826086
1,Imperatorco,3,-6.2464733124,-16.9669017792,0.9130434782608696
2,Staking Fund,7,11.2741413116,-2.4676589966,0.4927536231884058
3,Provalidator,3,-11.010310173,-8.9181184769,0.8405797101449275
4,Simply Staking,3,-7.3597221375,-11.395825386,0.9710144927536232
5,StakeLabzone,3,-3.9246199131,-6.5700287819,0.8840579710144928
6,BouBouNode,2,4.9146933556,5.813313961,0.0869565217391304
7,SpacePotato,3,-12.4851970673,-5.0773048401,0.0289855072463768
8,Crosnest,3,-5.4346394539,-16.266462326,0.5797101449275363
9,Vitwit Previously Witval,3,-6.415576458,-6.7187891006000005,0.9130434782608696
10,SG1,3,-3.4691767693,-8.2319755554,0.8840579710144928
11,KalpaTech,3,-10.9716959,-10.5539264679,0.6376811594202898
12,Chorus One,3,-7.0128531456,-8.0378236771,0.9710144927536232
13,Forbole,3,-4.9167771339,-6.1483740807,0.7536231884057971
14,in3scom,3,-7.4689517021,-6.4740757942,0.8695652173913043
15,vidoinfo,7,2.0671522617,-5.7246656418,0.855072463768116
16,Swiss Staking,3,-10.3810634613,-10.3214712143,0.927536231884058
17,01node,3,-8.4871082306,-8.0243215561,0.927536231884058
18,stakesystems  autocompound,3,-11.1565494537,-6.9071340561,0.8840579710144928
19,kytzu,7,9.5466165543,3.4439213276,0.3043478260869565
20,POSTHUMAN  StakeDrop,3,-8.0810956955,-7.2254371643,0.7971014492753623
21,Ping,3,-10.2357320786,-6.0170907974,0.6521739130434783
22,Notional,3,-9.164563179,-6.1341123581,0.7391304347826086
23,jabbey,3,-7.7311196327000005,-9.6011676788,0.6956521739130435
24,0basevc,3,-9.4780673981,-12.4608182907,1.0
25,Sr20de,3,-10.7327432632,-5.1009397507,0.0434782608695652
26,Smart Stake ,3,-6.1194610596,-17.1276664734,0.9420289855072465
27,WhisperNode ,3,-4.2943515778,-15.9442977905,0.9130434782608696
28,openbitlab,3,-10.7243537903,-5.1877126694,0.1739130434782608
29,Node Guardians,3,-10.0166578293,-7.7802157402,0.7971014492753623
30,Nodeist,3,-8.4195823669,-7.1294374466,0.0
31,stakefish,3,-11.8180732727,-5.2700634003,0.2898550724637681
32,Chill Validation,3,-8.0007553101,-9.4370584488,0.8695652173913043
33,Figment,3,-11.0142183304,-4.0503606796,0.1884057971014492
34,a41,3,-8.3868112564,-11.9103660583,0.7971014492753623
35,CrowdControl,3,-9.5061006546,-7.0245962143,0.7391304347826086
36,alphabai,3,-5.5487146378,-2.6738095284,0.0289855072463768
37,Tessellated,3,-10.1408414841,-9.9671907425,0.8840579710144928
38,Gelotto  Slash Protected,3,-5.755944252,-2.6406798363,0.0579710144927536
39,Golden Ratio Staking,3,-4.798500061,-14.8945188522,0.8405797101449275
40,Stakewollecom 100 Insurance,3,-8.6989364624,-6.8952202797,0.782608695652174
41,Ubik Capital,6,3.3003408909,-3.4416697025,0.9420289855072465
42,Kahuna,7,-8.4984464645,8.1460876465,0.1594202898550724
43,CommunityStaking,3,-4.6163010597,-11.0706520081,0.2608695652173913
44,Nocturnal Labs,7,-11.7178106308,2.1265859604,0.6956521739130435
45,decentralizehk  DHK dao,3,-7.099594593,-12.6392459869,0.8985507246376812
46,Stakelyio,3,-3.9223845005,-16.0917396545,0.8985507246376812
47,interchainFM,7,-2.7580528259,9.9644918442,0.1594202898550724
48,ECO Stake ,3,-4.417201519,-14.0442447662,0.5942028985507246
49,NosNode,3,-8.5778923035,-11.6872186661,0.6086956521739131
50,Citadelone,3,-7.0145888329,-15.8057088852,0.8695652173913043
51,Informal Systems,3,-3.8694329262,-13.8204698563,0.9420289855072465
52, LavenderFive Nodes ,3,-4.82817173,-13.1425933838,0.8405797101449275
53,KingSuper,1,9.1169261932,7.4752326012,0.0144927536231884
54,Frens ,3,-5.7503647804,-15.0974760056,0.8840579710144928
55,Cosmostation,3,-6.4957199097,-16.288854599,0.9855072463768116
56,Kleomedes,1,10.2223720551,11.3019104004,0.0144927536231884
57,DOUBLETOP,1,10.3449964523,8.1256580353,0.072463768115942
58,White Whale,6,11.1702356339,8.3558483124,0.1594202898550724
59,Silk Nodes,3,-5.1489171982,-10.5378379822,0.8695652173913043
60,BlockHunters ,7,2.6699922085,-12.7360019684,0.6666666666666666
61,GATA HUB,3,-4.717862606,-11.0130119324,0.8115942028985508
62,BasBlock,2,1.8202002048,16.0267677307,0.0
63,Kintsugi Nodes,3,-7.2142562866,-10.0664768219,0.7971014492753623
64,NodesGuru,1,-5.5249347687,2.1040301323,0.3478260869565217
65,Coinage x DAIC,3,-3.4710478783,-16.1462345123,0.855072463768116
66,blockscape,3,-8.7319278717,-10.1211462021,0.9710144927536232
67,Keplr,0,14.106344223,7.8077373505,0.6811594202898551
68,Stakecito,3,-5.5387201309,-15.1704368591,0.9420289855072465
69,Meria,7,-11.6659297943,2.5394408703,0.4927536231884058
70,PRO Delegators,7,-11.6757955551,2.2192630768,0.5507246376811594
71,Interstellar Lounge ,6,-0.3053196073,1.3129330873,0.5072463768115942
72,DELIGHT,7,-7.2382631302,4.2265954018,0.3623188405797101
73,DSRV,3,-6.4451694489,-5.1015644073,0.782608695652174
74,Blockdaemon,3,-4.9497771263,-9.5045871735,0.6956521739130435
75,MMS,0,3.9328234196,11.1755905151,0.0289855072463768
76,BronBro,3,-6.6937675476,-5.390625,0.7971014492753623
77,Cypher Core,3,-7.2929410934,-12.6307563782,0.9710144927536232
78,node101,4,-3.9695920944,5.646613121,0.4057971014492754
79,test,7,3.2357599735,-9.0209197998,0.0
80,Stakeflow,7,4.1265668869,-8.3923568726,0.7391304347826086
81,ChainLayer,3,-8.2930860519,-3.5474295616,0.7536231884057971
82,Active Nodes,3,-9.2788486481,-4.6867547035,0.6811594202898551
83,strangelove,1,7.6252222061,-7.84252882,0.6521739130434783
84,Allnodes,3,-3.2011251450000002,-13.7572393417,0.8695652173913043
