,voter,cluster_label,tsne_x,tsne_y,participation_rate
0,Imperatorco,3,14.192896843,10.3877344131,1.0
1,BHarvest,3,7.8654398918,17.0536842346,0.0
2,Provalidator,3,12.1424102783,6.9146513939,0.8666666666666667
3,Crosnest,3,15.2402009964,11.7039680481,0.6666666666666666
4,Chorus One,3,9.1087245941,16.4036197662,1.0
5,Swiss Staking,3,10.4845600128,7.1857709885,0.0666666666666666
6,01node,3,10.7573537827,9.5960760117,0.0666666666666666
7,0basevc,3,13.0512714386,8.0299425125,0.9333333333333332
8,NodeStake,3,3.4215891361,3.5129153728,0.0666666666666666
9,Figment,3,-5.7822999954,-6.0580306053,0.2666666666666666
10,Kahuna,7,9.0069351196,-11.2282524109,0.4
11,Nocturnal Labs,7,8.6679840088,0.26078981160000003,0.7333333333333333
12,Kalia Network,1,3.440456152,1.4045125246,0.8666666666666667
13,ECO Stake ,3,6.1772408485,10.5956363678,1.0
14,Citadelone,3,18.7251167297,3.6850862503,0.7333333333333333
15,Informal Systems,3,6.6040172577,10.2358455658,0.8666666666666667
16, LavenderFive Nodes ,3,4.4847345352,10.2490034103,0.8
17,KingSuper,1,-14.266503334,-9.0569658279,0.2
18,Frens ,3,9.2257947922,11.9648132324,1.0
19,Cosmostation,3,15.3547744751,9.7949790955,0.9333333333333332
20,NodesGuru,1,-2.3477489948,1.7581532001,0.9333333333333332
21,Coinage x DAIC,3,3.0915017128,12.1800804138,1.0
22,Dora Factory,6,-14.4280757904,3.0829896927,0.4666666666666667
23,blockscape,3,9.7666339874,7.8330936432,0.0666666666666666
24,Keplr,0,5.7549242973,-4.8633370399,0.8
25,Stakecito,3,7.9147520065,11.5300483704,1.0
26,polkachucom,3,1.5280917883,3.4308986664,1.0
27,Meria,7,-10.8146352768,-11.1544570923,1.0
28,PRO Delegators,7,8.6718978882,0.9906107783,1.0
29,Interstellar Lounge ,6,-5.9916524887,-11.8190431595,1.0
30,DELIGHT,7,-4.1033773422,0.4139713049,0.4
31,Blockdaemon,3,8.7558631897,2.9646070004,0.2666666666666666
32,DACM,4,-1.3820104599,-12.2801742554,0.6
33,strangelove,1,-3.7046635151,-8.7143344879,0.7333333333333333
34,Allnodes,3,5.5697984695,12.737742424,0.9333333333333332
35,Everstake,6,-9.538110733,8.8336677551,0.2666666666666666
36,Enigma,7,-1.5634094477,5.2188673019,0.8
37,HashKey Cloud,7,14.4158697128,-1.6824676991,0.5333333333333333
38, ,1,2.4053268433,-11.4175462723,0.0
39,Validatriumcom,2,-5.0521297455,-17.1497344971,0.1333333333333333
40,DO NOT DELEGATE,2,-11.8520374298,-6.3874607086,0.0666666666666666
41,Bit Cat,1,4.956120491,-11.7685508728,0.0
42,P2PORG  P2P Validator,7,0.2685837746,-1.0253916979,1.0
43,coinhallorg ,6,-7.6111254692,8.3534002304,0.9333333333333332
44,Kiln,6,-8.462347984300001,10.0589447021,1.0
45,Luganodes,7,-4.3797740936,-2.6367855072,0.5333333333333333
46,InfStones,6,-14.1821804047,-2.5654587746,0.2666666666666666
47,CEXIO Validator,7,-0.10552836950000001,-2.2464549541,0.6666666666666666
48,Ex Machina,4,0.8555297256000001,-5.6566300392,0.6
49,purple fog,0,-6.4489622116,1.3852878809,0.3333333333333333
50,Validation Cloud,2,-3.1069357395,4.4746785164,1.0
51,Tan,4,2.3549013138,-7.5861897469,0.1333333333333333
52,StakeCraft,5,-10.3032836914,0.7293974757,0.1333333333333333
53,Decommissioned  Delegate Away,2,-8.7932348251,-0.464296639,0.0666666666666666
54,CryptoCrew X Defi Dojo,4,6.1976809502,-7.9968323708,1.0
55,Orbital Command,6,-7.4866571426,-13.7546205521,0.0666666666666666
56,    Kingnodes ,4,2.7433576584,-4.4518642426,0.9333333333333332
57, Silk Nodes,4,2.9249181747,-5.9137415886,0.8666666666666667
58,  RHINO,4,2.9217758179,-8.7027082443,0.6
59,LTP,2,-8.154958725,-1.288720727,0.1333333333333333
60,Pareto,4,1.2004644871,-8.3171758652,0.2666666666666666
61,Sunsetting please redelegate Forbole,4,0.3732615113,-9.6669645309,0.0666666666666666
62,Crypto Learning Club  dYdX Validator,4,4.0678958893,-8.5921611786,0.9333333333333332
63,Cosmic Nexus,4,-0.6683068275,-8.0446500778,0.4666666666666667
64,DragonStake ,4,-9.7187671661,-4.3558115959,0.6
65,StableLab,0,-7.1128139496,0.0963035673,0.2666666666666666
66,Staker Space,6,-6.937953949,-13.1327171326,0.0666666666666666
67,Ledger by Meria,4,7.3183045387,-7.9751462936,0.9333333333333332
68,santorini,4,-0.3501632214,-4.4509115219,0.6
69,Skycatcher,4,-6.87677145,-3.0098576546,0.3333333333333333
70,XMG Capital,4,-10.8133802414,-3.2390639782,0.3333333333333333
71,Nodeplus,4,-1.3970925808,-6.5451846123,0.8
72,AUDITone,6,-13.657661438,1.8566485643000001,0.0
73,Polychain,4,-2.7958884239,-7.1558685303,0.2666666666666666
74,OWALLET,2,-8.6413097382,-2.9955058098,0.2
