,voter,cluster_label,tsne_x,tsne_y,participation_rate
0,StakeLabzone,3,-2.610874176,-1.9406757355,0.5581395348837209
1,Crosnest,3,2.0574896336,18.7700309753,0.8604651162790697
2,Vitwit Previously Witval,3,0.8764680028,7.9351654053,0.3720930232558139
3,KalpaTech,3,-1.5647807121,17.5059585571,0.7906976744186046
4,Bi23 Labs,3,1.0411744118,12.0178260803,0.4186046511627907
5,0basevc,3,0.6768299937000001,17.9295749664,1.0
6,Figment,3,1.9788842201,10.2488765717,0.0232558139534883
7,Oldcat,3,0.7690255046000001,13.1458454132,0.813953488372093
8,Tessellated,3,-0.7335137725,16.9716415405,0.5348837209302325
9,Ubik Capital,6,3.6068332195,7.4749598503,0.5813953488372093
10,PLEASE REDELEGATE,7,4.4526758194000005,9.313290596,0.6511627906976745
11,Citadelone,3,1.395763278,19.3326835632,0.7441860465116279
12,Cosmostation,3,1.4982726574,19.0133857727,1.0
13,BlockHunters ,7,-3.8178880215,-3.0733850002,0.2790697674418604
14,NodesGuru,1,-0.1788819134,5.4364905357,0.3255813953488372
15,blockscape,3,-0.0246360023,16.833694458,0.8604651162790697
16,Blockdaemon,3,-1.5930019617,-3.5756573677,0.2093023255813953
17,MMS,0,-7.2294254303,-9.8092718124,0.5813953488372093
18,BronBro,3,13.854944229100001,-0.6946706176,0.8604651162790697
19,Cypher Core,3,0.2933502793,17.0324211121,0.813953488372093
20,node101,4,8.5831012726,-5.0707840919,0.0465116279069767
21,Active Nodes,3,0.0897388905,11.4717130661,1.0
22,ushakov,5,-3.0877375603,3.9763700962,0.8604651162790697
23,Staketab,2,8.1065177917,-6.5939216614,0.0232558139534883
24,commercionetwork,7,-1.2400516272,-6.9557094574,0.0697674418604651
25,SHUTTING DOWN AUDITone,3,-0.7790455818,16.0344696045,0.6744186046511628
26,Redelegate,5,8.5218801498,8.7338209152,0.5581395348837209
27,Interbloc,1,2.3924489021,12.4621944427,0.1627906976744186
28,kooltek68,2,1.9281184673,12.0628976822,0.5348837209302325
29,CroutonDigital,7,6.7544732094,-3.9038338661,0.0465116279069767
30,Validators United,2,3.7263607979,-0.43712773920000003,0.1860465116279069
31,Wave,1,-7.9279646873,-6.3643026352,0.0465116279069767
32,cyberG,1,2.7918910980000002,-10.129447937,0.813953488372093
33,EZ Staking,7,4.5490775108,-13.0782499313,0.4883720930232558
34,Stakin,7,-4.2992095947,-1.8744062185,0.813953488372093
35,Please Redelegate,1,15.5151100159,5.2344241142,0.6046511627906976
36,Yurbason,1,-3.670343399,11.9893093109,0.9534883720930232
37,Chandra Station,1,0.1010888144,4.961979866,0.2093023255813953
38,redelegateplease,1,15.1910915375,2.1102297306,0.3953488372093023
39,web34ever,1,1.5067675114,5.328353405,0.813953488372093
40,Stakers,5,-4.6308431625,12.9052944183,1.0
41,testovich,1,-12.0832538605,-6.3505234718,0.7209302325581395
42, uGaenn ,6,10.560541153,-1.6149394512,0.3953488372093023
43,DONOTDELEGATE,5,-4.7760386467,12.9017839432,0.8604651162790697
44, 79anvi ,5,-5.4523692131,3.6518573761,0.7674418604651163
45,STAVR REStake ON,5,4.8859128952,13.4199447632,0.9767441860465116
46,Wetez,5,10.4584913254,-1.2611227036000001,0.7441860465116279
47,Architect Nodes,7,15.4581727982,4.410806179,0.627906976744186
48,MEMEFoundation,5,0.1826924831,4.0438771248,0.1860465116279069
49,Army IDs,1,-10.4965419769,-5.194521904,0.9534883720930232
50,Crypto Plant,6,-10.1539239883,6.4873833656,0.7209302325581395
51,azstake,5,2.1687324047,-10.5822296143,0.3488372093023256
52,MTnode,5,-16.2971134186,-1.2500488758,0.3255813953488372
53,ramuchitech,1,-11.3698148727,-5.379597187,0.9534883720930232
54,StakeAngle,1,-11.2043809891,-5.4334697723,0.9534883720930232
55,Inter Blockchain Services,5,-6.7274007797,9.662065506,0.6744186046511628
56,alkadeta,1,-11.7033262253,-5.8737754822,0.9767441860465116
57,do not delegate,1,-8.032119751,-6.2931027412,0.4418604651162791
58,AVIAONEcom ,5,7.3177227974,5.2436943054,0.6744186046511628
59,Psycho Node,4,3.5251204967,4.4181966782,0.0465116279069767
