,voter,cluster_label,tsne_x,tsne_y,participation_rate
0,Imperatorco,3,-6.2255678177,-8.7674436569,0.7913669064748201
1, AutoStake  Slash Protected,3,-13.2039384842,-7.628174305,0.8848920863309353
2,BHarvest,3,-8.4924860001,-2.0274708271,0.5971223021582733
3,StakeLabzone,3,-6.3666901588,-2.5776152611,0.3453237410071942
4,Crosnest,3,-7.0929279327,-7.5339741707,0.7913669064748201
5,Chorus One,3,-7.0175065994,-5.6299166679,0.8057553956834532
6,Forbole,3,-7.361802578,-2.3242435455,0.3597122302158273
7,Bi23 Labs,3,-7.9439282417,3.2763535976,0.1294964028776978
8,POSTHUMAN  StakeDrop,3,-7.478638649,-4.3719139099,0.5971223021582733
9,Notional,3,-8.7830696106,-0.837435782,0.0431654676258992
10,jabbey,3,-9.5195684433,-0.469745636,0.0071942446043165
11,Smart Stake ,3,-5.8069844246,-9.2313489914,0.920863309352518
12,WhisperNode ,3,-11.681230545,-8.2793035507,0.6690647482014388
13,Figment,3,-8.4298505783,2.8970108032,0.0215827338129496
14,Golden Ratio Staking,3,-8.9359235764,-7.395611763,0.6258992805755396
15,Ubik Capital,6,12.9777097702,-2.5816919804,0.7050359712230215
16,Stakelyio,3,-11.7988300323,-8.4001464844,0.6762589928057554
17,ECO Stake ,3,-8.6268396378,-8.7677583694,0.7769784172661871
18,Citadelone,3,-13.1406116486,-6.4842376709,0.8920863309352518
19,Informal Systems,3,-8.4964456558,-9.0421171188,0.7122302158273381
20, LavenderFive Nodes ,3,-11.2202587128,-6.3187661171,0.6474820143884892
21,Frens ,3,-9.9770278931,-8.5329704285,0.6474820143884892
22,Cosmostation,3,-7.1728982925,-8.2071685791,0.9568345323741008
23,DOUBLETOP,1,-3.0937922001000002,0.22436171770000002,0.1798561151079136
24,White Whale,6,8.8708486557,-2.0511598587,0.7769784172661871
25,BlockHunters ,7,-4.7006468773,-1.0582479239,0.0
26,Coinage x DAIC,3,-12.1192808151,-9.5900306702,0.6546762589928058
27,Dora Factory,6,8.7011547089,6.9132661819,0.4964028776978417
28,Keplr,0,-6.281001091,5.1159143448,0.1870503597122302
29,Stakecito,3,-9.3469028473,-8.5564775467,0.8129496402877698
30,DSRV,3,-8.9434614182,-5.2445101738,0.4028776978417266
31,BronBro,3,-8.7160596848,-5.5485134125,0.316546762589928
32,Allnodes,3,-8.6626710892,-10.2652511597,0.7482014388489209
33,Trust Nodes,6,13.5659294128,2.6400997639,0.762589928057554
34,Everstake,6,-0.2758047581,12.7086801529,0.7553956834532374
35,PRYZM  StakeDrop,7,-1.6047731638,-0.8116253614000001,0.1510791366906475
36,SCVSecurity,6,11.3790035248,4.2992830276,0.7769784172661871
37,Please Redelegate,1,-1.916734457,-11.3151273727,0.014388489208633
38,redelegateplease,1,2.8134901524,7.3130331039,0.0359712230215827
39,nysanetwork,7,-6.2245473862,1.5526037216,0.0071942446043165
40,Stakewollecom  Autocompound,6,9.3141365051,1.8510147333,0.841726618705036
41,Architect Nodes,7,-1.1246412992,-11.3604221344,0.0071942446043165
42,Huobi,7,-4.8340110779,0.743730247,0.0071942446043165
43,cosmosrescue,4,3.4516327381,0.3096368313,0.4388489208633093
44, polkachucom,7,-3.7141871452,-2.8727383614,0.8992805755395683
45,inactive,6,2.5381252766,8.3540792465,0.0071942446043165
46,w3coins,4,-1.1216408014,2.9300670624,0.0863309352517985
47, CryptoCrew Validators,6,10.8919467926,1.1307487488,0.7769784172661871
48,coinhallorg ,6,9.2568397522,0.0534289181,0.6618705035971223
49,Twinstake,6,12.6048755646,0.9036502838,0.6546762589928058
50,Kiln,6,-13.3218584061,2.3324167728,0.7697841726618705
51,InfStones,6,-3.5677690506,-12.8652992249,0.0
52,BwareLabs,6,1.5047771931,0.8994398713,0.6762589928057554
53,AUDITone,6,6.4344816208,0.6019846201,0.4964028776978417
54,Synergy Nodes,6,3.3539755344,9.6348829269,0.0
55,Contribution DAO,6,7.0036168098,5.2203536034,0.3237410071942446
56,Ledger by Chorus One,6,12.0524682999,1.6015191078,0.7697841726618705
57,FinoaConsensusServices,6,2.8013675213,8.1892242432,0.1654676258992805
58,undelegate,6,-2.2679715157,8.8240327835,0.0071942446043165
59,POSTCAPITALIST,6,-1.8683767319,8.0030660629,0.0287769784172661
60,Black Panther  Delegate for Claimdrop,6,8.3203573227,5.4119729996,0.2733812949640288
61,Innovating Capital,6,8.1331958771,4.9536499977,0.0935251798561151
62,Open DeFi,6,8.0391979218,4.8417520523,0.014388489208633
63,Injective Node 0,6,0.9599756598,8.1634540558,0.0071942446043165
64, Crypteloid,6,-1.3542388678,7.7583041191,0.0071942446043165
65,50 Validator  Airdrop ,6,-1.3870388269,7.1976380348,0.0431654676258992
66,please redelegate  shutting down,6,-2.0158622265,7.1963152885,0.0071942446043165
67,Ready Block,6,-2.7653355598,7.6971731186,0.0071942446043165
68,redelegate to StakeLab,6,-3.009169817,5.6363105774,0.0719424460431654
69,Liquify,6,-3.3415193558,4.3587946892,0.0
70,Helios Staking,6,6.9854679108,6.7393960953,0.4100719424460431
71,HashQuark,6,-2.4674873352,7.102704525,0.014388489208633
72,Talis Protocol,6,10.1713085175,5.4366588593,0.6834532374100719
73,Injective Finance,6,-3.1827113628,4.5309128761,0.014388489208633
74,Ormanxyz,6,-3.4989221096,2.5739879608,0.0287769784172661
75,Swiss Staking  Bare Metal  Bunker,6,-1.552739501,1.1628026962,0.1798561151079136
76,Injective Node 3,2,-2.7429449558,2.4463975430000002,0.0071942446043165
77,Injective Node 1,2,-2.7429449558,2.4463975430000002,0.0071942446043165
78,Do Not Delegate,0,-3.0265350342,1.6575105190000001,0.0071942446043165
79,Hoss Army by 01node,6,3.1384441853,2.3627171516,0.5899280575539568
