,voter,cluster_label,tsne_x,tsne_y,participation_rate
0,Imperatorco,3,5.5567808151,-5.9496669769,0.9411764705882352
1,SpacePotato,3,6.5954289436,-1.8817554712,0.4705882352941176
2,01node,3,4.2054038048,-2.9405145645,0.3529411764705882
3,Bi23 Labs,3,6.0210986137,-2.9196438789,0.0588235294117647
4,kytzu,7,12.2282848358,9.4984951019,0.1764705882352941
5,Ping,3,6.8084011078,-3.9380860329000003,0.4117647058823529
6,openbitlab,3,6.0642671585,-2.9270629883,0.0
7,stakefish,3,6.4870505333,-2.2661314011,0.0588235294117647
8,Citadelone,3,6.7153859138,-6.118244648,0.5882352941176471
9,KingSuper,1,2.4429862499,9.8842391968,0.0
10,Cosmostation,3,6.6055655479,-6.5774555206,0.9411764705882352
11,BlockHunters ,7,-0.2392767668,2.6733374596,0.2941176470588235
12,Meria,7,1.3064675331,-5.0011367798,0.7058823529411765
13,Cypher Core,3,5.2581882477,-2.8131713867,0.4117647058823529
14,node101,4,0.8681079149,-5.4896993637,0.6470588235294118
15,test,7,-1.0155036449,2.6041719913,0.1176470588235294
16,Stakeflow,7,-2.8622248173,3.6620078087,0.2941176470588235
17,PoS Node,1,-10.4009037018,-3.216473341,0.9411764705882352
18,kooltek68,2,7.7013206482,10.773606300400001,0.5294117647058824
19,EZ Staking,7,-1.5156536102,3.5474479198,0.2352941176470588
20,Stakin,7,0.3785328269,1.4717181921,0.9411764705882352
21,syncnode,1,10.5280065536,4.8249745369,0.0588235294117647
22,stakesystems,1,0.3364498913,9.3371582031,0.6470588235294118
23,Wetez,5,9.9236621857,11.6324415207,0.0588235294117647
24,SpaceStake,2,0.43627798560000003,8.8674974442,0.4705882352941176
25,DO NOT DELEGATE,2,-3.6863555908,-1.8242870569,0.0588235294117647
26,Bit Cat,1,5.4591732025,5.0984930992,0.2352941176470588
27,Easy 2 Stake,6,4.1515479088,6.9887804985,0.3529411764705882
28,jetlife,4,3.7076499462,4.45378685,0.0
29,w3coins,4,1.0433639288,-6.1441683769,0.7058823529411765
30,Atomic power node,7,1.4723749161,3.6649141312,0.2352941176470588
31,HLT,7,2.0582721233,3.7424778938,0.1764705882352941
32,Certus One,7,11.4324436188,9.5428981781,0.0588235294117647
33,DokiaCapital,4,-1.1444950104,-4.8617291451,0.6470588235294118
34,Moonstake,4,-3.6524429321,-3.5648021698,0.2941176470588235
35,Cosmos Spaces,7,-0.8453688622000001,3.1316006184,0.0588235294117647
36,InfStones,6,6.1134858131,12.4281330109,0.0
37,Staked,0,6.4098825455,2.2557547092,0.0
38,REDELEGATEPLEASE,5,11.3896770477,7.4202899933,0.2352941176470588
39,Stake5 Labs,4,5.2579402924,5.0785236359,0.1764705882352941
40,NodeRunner,4,-5.1693868637,-6.85663414,0.6470588235294118
41,wukong,4,-5.4956035614,-8.0598335266,0.8823529411764706
42,HashFuture,4,-11.376578331,-4.0239191055,0.8823529411764706
43,Chaintor,4,-1.8106935024,-6.3674082756,0.6470588235294118
44,david,4,-5.5947294235000005,-6.7222652435,0.5882352941176471
45,minminnet,4,-4.6683974266,-2.6320362091,1.0
46,BrightRoad,4,-4.7874970436,-7.0699658394,0.4705882352941176
47,Wendy,4,-2.4813740253,-2.7049908638,0.0588235294117647
48,DFM,4,-1.9535748959,-4.2900242805,0.5294117647058824
49,Stakewollecom  100 insurance,4,-2.5705823898,-0.5361160636,0.9411764705882352
50,BlueBlock,4,-2.5982704163,-2.499830246,0.2352941176470588
51,Sven,4,-1.9507005215,-1.6816635132,0.2941176470588235
52,TienMaHoa,4,-1.8770782948,-6.1395740509,0.4705882352941176
53,bajiute,4,-2.3535523415,-4.2674107552,0.5294117647058824
54,INKER,4,-2.7182509899,-2.73686409,0.0588235294117647
55,Tower,4,-5.0168952942,-5.4018931389,0.7058823529411765
56,Blockval  0 fees  Restake,4,-1.4678822756,-1.3163350821,0.4117647058823529
57,Unicorn,4,-2.0725557804,-3.2504501343,0.1176470588235294
58,NEOPLY,4,-3.8110492229,-6.3858618736,0.2941176470588235
59,ZRL,4,-2.8574643135,-6.4443149567,0.5882352941176471
60,BlueNode,4,-0.6693798304,-0.7255254984,0.1176470588235294
61,Monterey,4,3.5686812401,2.3748908043,0.3529411764705882
62,Koinsortium,4,3.3993740082,3.8723649979,0.4705882352941176
63,Light,4,-4.5744452477,-6.1302084923,0.5882352941176471
64,IRISNETVALIDATOr,4,-0.8341892958,-2.6712977886,0.1764705882352941
65,im,4,-4.2341423035,-6.3211517334,0.5294117647058824
66,PLEASE REDELEGATE  Stakelyio,4,7.1430706978,7.0749764442,0.3529411764705882
67,Made In Block,4,-12.3330135345,-3.7350175381,0.6470588235294118
68,Allnodes  0 fee,6,9.8279933929,2.6502251625,0.7058823529411765
69,Crypto Lion ,4,-4.4723873138,-0.7579070926,0.8823529411764706
70,itokenpool,4,3.6237256527,3.7200448513,0.2352941176470588
71,flyfly,4,7.7394452095,5.7906308174,0.3529411764705882
72,Trivium  TriviumNetwork,0,1.9490523338,6.4144687653,0.5294117647058824
73,Temperstake,4,9.0000200272,6.5279941559,0.2352941176470588
74,StakeLab,6,5.1176900864,8.6385612488,0.0588235294117647
75,InChainWorks,2,9.6444549561,9.1550302505,0.0588235294117647
76,Anchor Staking,6,9.703327179,3.7311906815,0.0588235294117647
77,Coinstaking,2,8.7666072845,9.0041341782,0.2352941176470588
78,Interstake One prev BTCSecure,6,9.7310056686,3.0433821678,0.7058823529411765
79,DCC Capital,2,9.1797227859,8.7317562103,0.1176470588235294
80,Nodeasy,6,9.7443590164,3.69536376,0.1176470588235294
81,DUALsystems,2,9.9890508652,8.716796875,0.0588235294117647
82,tiantian,2,7.9396066666000005,9.3352546692,0.2352941176470588
83,Decommissioned unbond or redelegate,2,10.3766136169,7.8638596535,0.0588235294117647
84,dolphintwo,4,-9.8737707138,-8.4431390762,0.5294117647058824
85,Crazybee,2,9.5320005417,9.274023056,0.0588235294117647
86,BTC,4,-12.7418546677,-8.4570674896,0.5882352941176471
87,SKY,4,-15.6951322556,-5.3265805244,0.6470588235294118
88,MrZhang,2,9.5940551758,9.2130527496,0.0588235294117647
89,QOSGroup,4,6.8023486137,8.1607837677,0.4117647058823529
90,PXN,4,-7.7244925499,-8.9341669083,0.6470588235294118
91,FreshIriser,4,-11.2544727325,-6.1696281433,0.5882352941176471
92,SuperColle,4,-12.9631299973,-5.5358476639,0.5294117647058824
93,umbrella,2,10.4368085861,10.4843587875,0.0588235294117647
94,Heimdallr,4,-10.204580307,-6.4061322212,0.5294117647058824
95,Tanya,4,-7.9591231346,-8.9257488251,0.7058823529411765
96,IRIRNO1,4,-12.6040287018,-3.6978814602,0.5882352941176471
97,Stakernode,2,9.7382392883,9.8276481628,0.0588235294117647
98,Heaven,4,-13.6288747787,-4.9734377861,0.6470588235294118
99,BigWave,4,-11.3492307663,-6.7845768929,0.5882352941176471
100,Ant,4,-15.5472402573,-5.6234970093,0.5294117647058824
