,voter,cluster_label,tsne_x,tsne_y,participation_rate
0,Chainflow,3,-3.4406349659,-7.9327731133,0.2765957446808511
1,Imperatorco,3,1.193418622,-16.2615566254,0.9787234042553192
2, AutoStake  Slash Protected,3,-1.8074734211,-16.2887821198,0.574468085106383
3,Provalidator,3,-1.5202800035,-10.620388031,0.8085106382978723
4,Simply Staking,3,-4.8222708702,-10.4333906174,0.6170212765957447
5,StakeLabzone,3,-11.7334747314,-2.4688487053,0.2978723404255319
6,Sentinel dVPN,7,-7.2156934738,-1.3999197483,0.0425531914893617
7,REDELEGATE,3,-6.0708122253,-8.2019071579,0.0851063829787234
8,BouBouNode,2,-9.0620203018,2.176441431,0.0212765957446808
9,SpacePotato,3,-6.8392763138,-8.7013969421,0.4680851063829787
10,Crosnest,3,0.1839440465,-16.9281845093,0.9361702127659576
11,SG1,3,-3.4904541969,-3.904204607,0.7872340425531915
12,KalpaTech,3,-0.5737228394,-8.9552364349,0.7021276595744681
13,Swiss Staking,3,-1.2861105204,-9.0443296432,0.9148936170212766
14,01node,3,-8.8880643845,-10.8320608139,0.574468085106383
15,Inotel,1,9.1932573318,-3.4663114548,0.0212765957446808
16,Bi23 Labs,3,-6.6911325455,-6.4698395729,0.1702127659574468
17,kytzu,7,-6.4886813164,3.5076642036,0.0425531914893617
18,Secure Secrets,6,-12.9941987991,5.6569986343,0.3617021276595745
19,jabbey,3,-3.0307719707,-9.7156391144,0.574468085106383
20,0basevc,3,-2.1206314564,-11.3405752182,0.9148936170212766
21,Smart Stake ,3,1.4214736223,-16.1805019379,0.9361702127659576
22, block pane ,3,-7.6107411385,-7.7899951935,0.4468085106382978
23,Redline Validation,3,-5.8774995804,-7.5960636139,0.3191489361702128
24,StakeTown,3,-6.2532138824,-6.7642979622,0.3829787234042553
25,stakefish,3,-6.4911513329,-7.6762361526,0.1489361702127659
26,Figment,3,-8.1545009613,-5.0620088577,0.0851063829787234
27,DO NOT DELEGATE HERE,3,-7.6453495026,-5.6629338264,0.0212765957446808
28,a41,3,-4.7629632950000005,-11.0868587494,0.5319148936170213
29,Oldcat,3,-5.7048835754,-7.4919953346,0.9787234042553192
30,Tessellated,3,-1.5557175875,-9.1996860504,0.6808510638297872
31,Gelotto  Slash Protected,3,-7.3514204025,-2.0663745403,0.723404255319149
32,Golden Ratio Staking,3,-3.0155668259,-14.5157222748,0.8723404255319149
33,COSMSTAKE,7,-6.3302440643,-1.3147714138,0.723404255319149
34,Obi,3,-5.9610748291,-1.2147126198,0.0638297872340425
35,CommunityStaking,3,-4.8564500809,-6.0824036598,0.9574468085106383
36,TheCybernetics,1,8.2414865494,-3.1976666451,0.5319148936170213
37,Stakelyio,3,-1.6383709908,-14.9734888077,0.8723404255319149
38,Kalia Network,1,5.4717378616,-7.263677597,0.5106382978723404
39,ECO Stake ,3,-0.134462744,-13.3474664688,0.8297872340425532
40,NosNode,3,-5.3454813957,-11.6273584366,0.7659574468085106
41,Citadelone,3,-1.1471613646,-16.6327629089,0.8936170212765957
42,Informal Systems,3,0.5357372165000001,-13.044708252,0.7872340425531915
43, LavenderFive Nodes ,3,-1.0905067921,-12.9833345413,0.7021276595744681
44,SolidStake,1,6.7066817284,-1.391554594,0.0
45,Frens ,3,0.2026738673,-14.8497219086,0.6595744680851063
46,Zenscape,1,5.9824376106,-8.0693292618,0.0
47,Cosmostation,3,0.4103414714,-16.2509803772,0.9574468085106383
48,Kleomedes,1,5.2449622154,4.6607108116000004,0.8936170212765957
49,Bored Ape Server,1,8.3221673965,-0.9223258495000001,0.0212765957446808
50,Levana  Powered by Cros Nest,1,8.7281694412,-2.1357469559,0.0
51,BlueStake   100 insurance,1,6.0927591324,5.1819057465,0.5957446808510638
52,Oni ,1,6.2261223793,-7.6373806,0.6808510638297872
53,DOUBLETOP,1,10.8829021454,-2.0818009377,0.3404255319148936
54,artifact,1,6.5241484642,0.9991272092000001,0.0
55,White Whale,6,14.6719408035,3.5410614014,0.723404255319149
56,White Marlin Staking,1,6.6336078644,-6.9169592857,0.0
57,Silk Nodes,3,-2.2461776733,-6.2857165337,0.6382978723404256
58,OmniFlix Network,3,3.3469743729,-9.1592550278,0.4893617021276595
59,BlockHunters ,7,-2.2550778389,1.4666111469,0.4680851063829787
60,GATA HUB,3,-2.0818464756,-5.5170397758,0.8297872340425532
61,CosmosPug ,1,9.2425918579,2.172549963,0.4893617021276595
62,BasBlock,2,-7.7935991287,2.0159909725,0.0425531914893617
63,Kintsugi Nodes,3,-3.0130228996,-8.0641651154,0.9148936170212766
64,NodesGuru,1,12.3461456299,-6.3397040367,0.8723404255319149
65,blockscape,3,-1.991939187,-8.0882730484,0.851063829787234
66,Stakecito,3,0.1048872918,-14.8154878616,0.9148936170212766
67,Meria,7,2.6075119972,-0.1092413664,0.4042553191489361
68,Blockdaemon,3,-1.9480888844,-6.4602284431,0.3191489361702128
69,Cypher Core,3,-3.6879370213000002,-11.4884843826,0.9148936170212766
70,Stakeflow,7,0.0847343057,1.120537281,0.3191489361702128
71,ChainLayer,3,-10.3063879013,-0.9345190525,0.2127659574468085
72,strangelove,1,2.1073257923,12.3394126892,0.2553191489361702
73,Allnodes,3,1.0924696922,-12.9180593491,0.7021276595744681
74,FreshSTAKING,3,-6.0610513687,-10.4203948975,0.9361702127659576
75,CryptoDungeon,1,5.7722783089,7.2665810585,0.8297872340425532
76,Quebec,1,8.0184078217,7.1107859612,0.4468085106382978
77,MrK,3,-11.8810634613,3.3269720078,0.1702127659574468
78,commercionetwork,7,-9.9936952591,0.43518608810000003,0.0851063829787234
79,SHUTTING DOWN AUDITone,3,-4.2517566681,-7.2638812065,0.6170212765957447
80,S16 Research Ventures,3,-2.4797432423,-6.7134737968,0.3617021276595745
81,dForce,7,-10.0793447495,0.2177834362,0.0851063829787234
82,ShapeShift DAO,3,-3.2281534672,15.2209501266,0.4680851063829787
83,Tedcryptoio   TedLotto,1,10.8061151505,0.185211584,0.7659574468085106
84,Interbloc,1,6.8349409103,-7.8363428116,0.4042553191489361
85,StakeRelax ,7,3.3064386845000002,0.07096522300000001,0.7021276595744681
86,TR3B ASTRA,2,-5.9354324341,9.7694978714,0.2553191489361702
87,Blockpower,7,-4.8553385735,5.9303383827000005,0.3191489361702128
88,IcyCRO ,7,1.9983314276,-4.5025777817,0.6382978723404256
89,Beehive,3,-6.1696028709,-5.2699685097,0.3191489361702128
90,Validatus,2,-6.0472421646,2.214912653,0.0425531914893617
91,CLOSING  REDELGATE,1,8.8291511536,-1.2211328745,0.0425531914893617
92, kingnodes ,1,4.7944450378,5.5630397797,1.0
93,Please Redelegate to other validator,1,-5.8401632309,11.3424949646,0.3191489361702128
94,Wave,1,0.9656791687,11.1574106216,0.1702127659574468
95,cyberG,1,-10.4381380081,3.9930057526000002,0.4893617021276595
96,Messi,1,7.0319581032,-2.8591907024,0.1914893617021276
97, CryptoCrew  100 MEV revenue to Juno stakers IBCgang REstake,1,9.93242836,-2.3911132812,0.9361702127659576
98,EZ Staking,7,0.0545532405,-3.1665921211,0.4893617021276595
99,Regenerator  Green Validator ,1,13.2083358765,-2.9394240379,0.9574468085106383
100,Cosmic Validator  100 MEV revenue to Juno stakers  Autocompound,1,11.757525444,-5.3110356331,0.9361702127659576
