,voter,cluster_label,tsne_x,tsne_y,participation_rate
0, AutoStake  Slash Protected,3,9.2423381805,-1.8888392448,0.9069767441860463
1,Crosnest,3,7.7759513855,-0.8119792342000001,0.8372093023255814
2,SG1,3,0.045753479,-0.8685087562,0.2790697674418604
3,Chorus One,3,8.2186965942,-2.5170035362,0.9534883720930232
4,Bi23 Labs,3,5.4777832031,-5.0420498848,0.3953488372093023
5,kytzu,7,-8.8423843384,-1.7624175549,0.0697674418604651
6,Notional,3,7.3587832451,-5.7516555786,0.5581395348837209
7, block pane ,3,4.3376383781,-4.4227862358,0.5116279069767442
8,stakefish,3,5.0428366661,-3.757024765,0.0697674418604651
9,d3akashcloud,3,5.8455910683,-4.8188481331,0.6046511627906976
10,Figment,3,6.7564377785,-4.6340165138,0.0
11,Oldcat,3,5.0316534042,-3.3914530277,0.5813953488372093
12, Stakepile,5,10.1221017838,7.9218659401,0.3023255813953488
13,CLOSED,5,9.0500736237,7.9296808243,0.0
14,Citadelone,3,8.9011869431,-1.5722700357000001,0.8837209302325582
15,Frens ,3,6.1728258133,-1.8302066326,0.3720930232558139
16,Cosmostation,3,8.0701494217,-1.1154900789,0.9534883720930232
17,Kleomedes,1,4.5475268364,11.9059524536,0.6511627906976745
18,Coinage x DAIC,3,5.9069480896,-1.1948430538,0.4883720930232558
19,polkachucom,3,7.3524131775,-4.9505233765,1.0
20,Meria,7,-2.0298230648,10.5121088028,0.3488372093023256
21,Stakeflow,7,-0.21613347530000002,-4.7033581734,0.3488372093023256
22,ChainLayer,3,8.4769163132,-4.8795456886,0.7441860465116279
23,DACM,4,-7.4056305885,-9.5456542969,0.4418604651162791
24,Allnodes,3,5.0636115074,0.1211892515,0.7906976744186046
25,PoS Node,1,-1.2212039232,10.7777910233,0.7209302325581395
26,SmartNodes,7,-11.8759412766,-2.3060142994,0.0930232558139534
27,Quebec,1,-0.7069219947000001,10.9852933884,0.2790697674418604
28,MrK,3,-5.8221611977,-0.9915780425,0.2325581395348837
29,Redelegate,5,-5.9645252228,3.2453451157,0.6046511627906976
30,Trust Nodes,6,2.6617012024,0.2482999563,0.3720930232558139
31,Everstake,6,2.6924216747,0.7401875854000001,0.1860465116279069
32,AlphaNodes,2,-10.3290328979,-7.1862196922,0.2790697674418604
33,coaction,5,-4.9544305801,-7.9358353615,0.0697674418604651
34,Please Redelegate,1,-0.5237469077,0.1426764727,0.0697674418604651
35,WeStaking,3,-0.5069557428,-0.2164475173,0.6511627906976745
36,offline,1,-2.5245082378,-2.6118955612,0.0465116279069767
37,Decloud Nodes Lab,4,-4.0650701523,-11.2714195251,0.0930232558139534
38,ChainTools,1,8.7554721832,6.2228107452,0.8604651162790697
39,Consensus One,1,-7.8357534409,-11.451259613,0.0465116279069767
40, uGaenn ,6,-9.1474571228,4.3939652443,0.2790697674418604
41,Wetez,5,-4.9952993393,-3.0155329704,0.3488372093023256
42,Inter Blockchain Services,5,6.2142038345,11.9522857666,0.8604651162790697
43,Bit Cat,1,-11.5307769775,-5.91827631,0.0697674418604651
44,Easy 2 Stake,6,12.9894237518,9.4596910477,0.6744186046511628
45,Nodeasycom,5,5.1998362541,11.570602417,0.4651162790697674
46,Huobi,7,-11.2517194748,-2.4417226315,0.1627906976744186
47,ChainodeTech,5,5.9269552231,6.0834083557,0.2558139534883721
48,Psycho Node,4,-4.436164856,-12.1767940521,0.0697674418604651
49,TRGC By Liquify,5,6.8629436493,7.3055815697,0.0930232558139534
50,StakeSeeker by BTCS,7,2.5984241962,3.0677325726,0.3953488372093023
51,europlots,4,-4.5331025124,-11.4283838272,0.1162790697674418
52,Colossus,7,-5.9680867195000005,-9.1843652725,0.1627906976744186
53,Kiln,6,2.7041692734000002,0.34924179320000004,0.3720930232558139
54,Luganodes,7,-9.4328384399,-9.0763568878,0.2790697674418604
55,InfStones,6,3.027374506,7.0084853172,0.0
56,Stir,7,3.403567791,3.1822314262,0.0
57,Cryptostakecom ,5,1.9420942068,7.4447102547,0.0
58,CEXIO Validator,7,-0.3939013481,-4.4618930817,0.6046511627906976
59,stake2earn,2,-4.7503299713,-5.7410273552,0.0697674418604651
60,StakeCraft,5,-1.7634524107,-7.8909759521,0.4883720930232558
61,Staked,0,8.0076608658,10.7201080322,0.0
62,Winter Validator,5,9.5095920563,10.1475095749,0.7674418604651163
63,StakeLab,6,-10.2666969299,3.5393073559,0.3023255813953488
64,Anchor Staking,6,-9.7616901398,3.817368269,0.0465116279069767
65,Masternode24de,5,7.8257770538,8.866153717,0.0465116279069767
66,KJINCio,2,-7.0743532181,-8.4156112671,0.2093023255813953
67, CryptoCrew Validators IBCgang,0,-2.7968628407000002,4.9294314384,0.3255813953488372
68,BitNordic,5,-1.0798407793,7.519865036,0.8372093023255814
69,Kiki Finance,5,8.5723686218,8.9890136719,0.0
70,openstakenet,5,7.4027395248,6.2689695358,0.8604651162790697
71,OtterSync,5,6.596241951,9.7280664444,0.7906976744186046
72,Bitference,5,7.4065499306,8.0767784119,0.0
73,clubwfh,5,-9.7955970764,-2.9037432671,0.0930232558139534
74,Validator Deprecated and Merged Please redelagate to AtlasStaking,5,-5.5652823448,1.6891943216,0.4651162790697674
75, EarnStash,5,-7.308596611,0.7098655105,0.3023255813953488
76,DECOMMISSIONED AUDITone,5,-7.9131779671,1.4498341084,0.2093023255813953
77,Asteroid,5,-7.6551251411,-4.6684412956,0.1395348837209302
78,0 Fee  Stakewollecom,5,-0.1290571094,6.773062706,0.7674418604651163
79,cyberp3810,5,-9.6857004166,-2.7761828899,0.0465116279069767
80,Stakincom ,5,5.4629034996,8.8722343445,1.0
81,DeCrypto,5,-10.25740242,-3.8885104656,0.0930232558139534
82,MKVone,5,-5.6369094849,2.4892802238,0.9069767441860463
83,Redelegate before 10072022,5,-7.7387218475,0.3987972736,0.2093023255813953
84,NBG,5,2.1712665558,8.4663610458,0.3255813953488372
85,0 Fee MPress,5,4.4078936577,9.1767539978,0.6046511627906976
86,funky,5,7.2769374847,8.1139640808,0.0697674418604651
87,Inactive  Please Redelegate,5,7.9661326408,7.7605986595,0.2325581395348837
88, KysenPool,5,6.5815324783,8.4084863663,0.4418604651162791
89,Insight Finance,5,7.3544435501,8.0660905838,0.0465116279069767
90,Bitget  0 Fee,5,1.9726948738,7.5720348358,0.3255813953488372
91,validator closing  please redelgate,5,-8.2030973434,-3.991918087,0.0697674418604651
92,Moonshinecc Validation  CM1,2,-8.567855835,-5.5994625092,0.1395348837209302
93,0 Fee to 2023  Avaultocom,5,-7.3957309723,-5.4561138153,0.0465116279069767
94,vinividivici,5,-2.4405870438,-7.7521119118,0.3720930232558139
95,MANTRA DAO,5,-7.6588602066,-3.1585366726,0.0697674418604651
96,Stakebg,5,10.1257753372,5.632478714,0.6976744186046512
97,CLOSED decentralizehk  DHK dao,5,8.9640769958,3.8494770527,0.5116279069767442
98,NQ4NET,5,-6.714931488,0.7244158983,0.3023255813953488
99,DEXhybrid,5,-7.8521442413,-3.6727166176,0.0465116279069767
100,DelosNode,2,-6.7901368141,-5.9558000565,0.0232558139534883
101,BNB48Club,2,-5.909860611,-3.4039859772,0.0465116279069767
102,0 Fee to TOP 1   meleaxyz ,2,-6.0783581734,-3.5465171337,0.0232558139534883
103,HbStaking,2,-5.4219098091,-1.1142132282,0.1860465116279069
104,JupiterIAM,2,-6.6719398499,-6.1927347183,0.0232558139534883
105,IvoryTower,2,-6.6761198044,-6.1841182709,0.0232558139534883
106,Ystad,2,-3.6906080246,-5.2666893005,0.1162790697674418
107,Share Staker  Airdrop  Check Web,2,-6.2345709801,-6.6107869148,0.0465116279069767
108,101,5,-5.7078137398,-5.2705893517,0.0930232558139534
109,BoxedCloudnet  0 until 2024,5,-5.3902077675,-7.3618812561,0.0465116279069767
110,REDELEGATEPrometey,2,-9.9415636063,-8.950217247,0.1162790697674418
111,0 Fee  NymbusNode,5,-3.5074737072,-7.6124486923,0.1162790697674418
112,POSTHUMAN,2,-9.7585697174,-7.2896795273,0.1162790697674418
113,Staking4All,2,-6.9906787872,-8.4122838974,0.1860465116279069
114,kavamainnetsk,2,-6.8863039017,-6.6782507896,0.0232558139534883
