,voter,cluster_label,tsne_x,tsne_y,participation_rate
0,Inactive   Mercury,7,1.1399021149,0.1911152899,0.173076923076923
1,Chainflow,3,-6.3494467735,6.4587578773,0.5
2,REDELEGATE  CLOSING 010723,7,4.5737113953,-1.2091087103,0.1778846153846154
3,Imperatorco,3,-9.8652696609,14.6009168625,0.9615384615384616
4, AutoStake  Slash Protected,3,-7.4751839638,14.0087566376,0.9759615384615384
5,Cosmic Validator,0,-4.2345094681,-19.6998710632,0.0288461538461538
6,Staking Fund,7,-5.8175787926,-3.9966948032,0.1538461538461538
7,Provalidator,3,-11.7957868576,9.482554435700001,0.8365384615384616
8,Simply Staking,3,-12.9930477142,4.9583539963,0.7259615384615384
9,StakeLabzone,3,-4.0459799767,0.4358219504,0.6298076923076923
10,Coverlet,2,2.3620128632,-15.6351137161,0.375
11,Sentinel dVPN,7,0.8225110769,0.7703697681,0.110576923076923
12,REDELEGATE,3,-11.6176195145,3.6090755463,0.3028846153846153
13,BouBouNode,2,11.5777702332,-3.548625946,0.0576923076923076
14,Mandragora,7,-0.3686500788,2.1545679569,0.3461538461538461
15,SpacePotato,3,-11.0241556168,2.9226939678,0.6105769230769231
16,Crosnest,3,-10.0849466324,13.3910102844,0.8028846153846154
17,Vitwit Previously Witval,3,-5.7067465782,7.5577840805,0.6201923076923077
18,SG1,3,-15.5713348389,4.4731116295,0.3125
19,Noderunners,3,5.6844992638,10.0311698914,0.0384615384615384
20,KalpaTech,3,-13.5824995041,8.1298398972,0.625
21,Chorus One,3,-5.4806375504,13.2576723099,0.7980769230769231
22,Forbole,3,-4.4846038818,5.3927950859000005,0.5384615384615384
23,in3scom,3,-6.7093143463,4.3776450157,0.6586538461538461
24,vidoinfo,7,-6.1419277191,-6.5168972015,0.3894230769230769
25,Swiss Staking,3,-12.434343338,7.9173865318,0.7788461538461539
26,01node,3,-15.2448444366,10.0171909332,0.6730769230769231
27,stakesystems  autocompound,3,-12.3470945358,13.6318874359,0.6538461538461539
