,voter,cluster_label,tsne_x,tsne_y,participation_rate
0, AutoStake  Slash Protected,3,-0.298091054,7.1278057098,0.9591836734693876
1,Simply Staking,3,-0.7452417016,3.7338042259,0.1530612244897959
2,Chorus One,3,0.906360805,6.9455504417,0.8367346938775511
3,Forbole,3,2.9972882271,6.1964969635,0.2959183673469387
4,01node,3,-3.1180973053,7.642261982,0.6326530612244898
5, block pane ,3,2.2852399349,4.0096359253,0.4489795918367347
6,WhisperNode ,3,-0.9621511698,6.4283299446,0.9693877551020408
7,Stakyio,3,2.5933096409,4.6496796608,0.0204081632653061
8,Obi,3,-8.7904291153,3.4891033173,0.6836734693877551
9,Stakelyio,3,-1.157274127,6.0909619331,0.8979591836734694
10,Citadelone,3,0.2814714611,7.6690940857,0.8775510204081632
11, LavenderFive Nodes ,3,-2.1694242954,7.4671883583,0.7959183673469388
12,Coinage x DAIC,3,-1.8797291517,5.8939695358,0.5510204081632653
13,Keplr,0,-5.8876338005,9.1319789886,0.2857142857142857
14,MMS,0,-12.0617647171,11.5662975311,0.010204081632653
15,FreshSTAKING,3,-0.7878305316,3.9946987629,0.8979591836734694
16,SmartNodes,7,1.7028180361,-3.2176148891,0.1632653061224489
17,Redelegate,5,4.0141978264,-10.5041313171,0.0408163265306122
18,Stakin,7,-14.6421022415,12.4626188278,0.1428571428571428
19,notional,1,-3.379222393,-5.5675678253,0.3265306122448979
20, Stake or Die ,0,0.5234197974,-2.1743681431,0.3775510204081632
21,Consensus One,1,3.4430651665,-6.6277570724,0.1428571428571428
22,Stakewollecom  Autocompound,6,3.3085741997,-13.6621589661,0.7142857142857143
23,NodeMonster,2,11.6538820267,-8.274887085,0.2857142857142857
24,SpaceStake,2,10.6346378326,-6.2707343102,0.1122448979591836
25,Earn Network,2,11.0938062668,-5.2450633049,0.0918367346938775
26,Stashh,0,-14.4480838776,11.8633975983,0.1938775510204081
27,Huobi,7,3.8713254929,-4.1516809464,0.1020408163265306
28,w3coins,4,12.7080450058,-9.2294044495,0.3469387755102041
29,Colossus,7,6.3636493683,-10.7044181824,0.0714285714285714
30,AgoraNodes,0,8.7786073685,1.4385133982,0.6530612244897959
31,Tan,4,4.4548459053,-8.7331628799,0.0612244897959183
32,BwareLabs,6,9.1503400803,-4.8947434425,0.0
33,Staked,0,-7.0073437691,5.0765023232,0.0
34,Trivium  TriviumNetwork,0,-12.9931755066,6.07234478,0.5816326530612245
35,StakeLab,6,1.3230338097,-10.1863908768,0.3673469387755102
36, CryptoCrew Validators IBCgang,0,-9.5058012009,10.3845424652,0.7346938775510204
37,HashQuark,6,7.1326684952,-8.5632162094,0.0306122448979591
38,Autism Staking,6,7.3605384827,-5.3683252335,0.0306122448979591
39,ChainofSecretsorg,0,-13.1106233597,7.3742814064,0.1428571428571428
40,Republic Crypto,0,-11.0578517914,8.2066955566,0.0204081632653061
41,Secret Express,0,-10.7725915909,12.918469429,0.9489795918367347
42,nodevine,0,-12.01491642,7.8382496834,0.1836734693877551
43,figment,0,-11.0266027451,7.3153567314,0.0408163265306122
44,CosmosPug,0,-8.4806003571,9.8636388779,0.336734693877551
45,    secretanalyticsxyz,0,-14.7843427658,8.4606695175,0.826530612244898
46,AART,0,-11.412071228,7.6770782471,0.0816326530612244
47,Alter,0,-9.5702705383,8.3288755417,0.2959183673469387
48,AmberDAO,0,-15.929017067,6.6121544838,0.3163265306122449
49,PathrockNetwork,0,-10.4235563278,7.4368491173,0.1836734693877551
50,Secret University  scrtuniversity,0,-10.4418439865,6.6250042915,0.2448979591836734
51,1 Fee and Free on Xmas  Secret Santa,0,-10.8327627182,6.6291956902,0.2448979591836734
52,EZStakingio,0,-14.7181043625,6.194583416,0.3163265306122449
53,secretnftcom,0,-13.1212415695,8.7045907974,0.4693877551020408
54,Quiet monkey mind,0,-8.9294500351,6.8581109047,0.9489795918367347
55,ELYSIUM,0,-11.0339822769,8.7237844467,0.1632653061224489
56,Jackal DAO,0,-12.2245435715,9.3875102997,0.2653061224489796
57,Digiline,0,-10.2618494034,8.7518606186,0.1938775510204081
58,Vanasio  earn airdrops,0,-11.4297580719,10.0184955597,0.0714285714285714
59,securesecretsorg,0,-8.2792291641,8.0966367722,0.7346938775510204
60,Apeiron Nodes100 UptimeAirdrops,0,-12.0179252625,10.7716636658,0.1224489795918367
61,SCRT LabRador,0,-11.5728359222,5.1192173958,0.2448979591836734
62,StarShell,0,-11.4851408005,2.8377139568,0.2959183673469387
63,Mr Roboto s Secret,0,-1.8825824261,-0.9736894369,0.6326530612244898
64,AnonDAO,0,-14.9774923325,4.1710743904,0.5510204081632653
65,Order of Secrets  1 fees,0,4.1618413925,-1.8239306211,0.3061224489795918
66,secretSauce ,0,-16.8750476837,6.7724175453,1.0
67,SecretDog,0,-4.2595877647,-3.7819583416,0.6938775510204082
68,hadowRealm,0,-7.4188332558,7.81727314,0.6938775510204082
69,DELEGATE AWAY,2,5.9419908524,-5.1108498573,0.0510204081632653
70,SecretAlf,0,-1.6877875328,-1.821611762,0.3061224489795918
71,Crypto Chemistry ,0,1.8262348175,-7.0247387886,0.3163265306122449
72,Secret Keeper,0,-9.8006877899,5.0108675957,0.8877551020408163
73,secret underground,0,-0.2366562039,-3.0527043343,0.1428571428571428
74,Ronin Ventures,0,-0.3194098473,-5.7400302887,0.2653061224489796
75,secretchaingirl,0,-2.4129605293,-1.749750495,0.7959183673469388
76,Stake and Eggs,0,5.5645723343,-7.2957000732,0.0204081632653061
77,Shutdown  please redelegate,0,-5.0280017853,-5.0716967583,0.4489795918367347
