,voter,cluster_label,tsne_x,tsne_y,participation_rate
0, AutoStake  Slash Protected,3,-7.231294632,1.6260330677000001,0.9375
1,Cosmic Validator,0,-9.0326652527,-9.6398200989,1.0
2,StakeWithUs,3,-1.3721474409,-6.9051194191,0.1875
3,StakeLabzone,3,-8.9443874359,-1.7614568472,0.25
4,Mandragora,7,-11.5862388611,-10.2232217789,0.9375
5,SpacePotato,3,-10.6879606247,7.4706516266,0.5625
6,Noderunners,3,-9.2117614746,4.5845403671,1.0
7,KalpaTech,3,-5.0734653473,8.6768054962,0.875
8,Notional,3,-7.7197465897,4.2441263199,0.625
9,stakefish,3,-10.0074005127,6.8655171394,0.0
10,Alex Bambarello Validator,3,-8.4905843735,4.9001393318,0.5625
11,Ubik Capital,6,-9.9176959991,-3.0446989536,0.9375
12,Chihuahua,3,-9.6865558624,5.3778958321,0.0
13,CommunityStaking,3,-8.3333244324,9.0228290558,1.0
14,Citadelone,3,-7.0585794449,0.9089980125,0.9375
15,Zenscape,1,-3.9606349468,7.695690155,0.0
16,Cosmostation,3,-6.4453783035,1.2310744524,0.9375
17,Kleomedes,1,5.1329245567,-7.6889276505,0.4375
18,BlueStake   100 insurance,1,0.0937533677,6.9211196899,0.9375
19,artifact,1,-1.8918275833,7.9730367661,0.0
20,OmniFlix Network,3,-4.5942692757,6.4586257935,0.875
21,Stakecito,3,-5.4957175255,1.5964127779,1.0
22,polkachucom,3,-6.9354519844,4.7373743057,0.4375
23,strangelove,1,2.5447664261,1.0523731709,0.25
24,Komikuri,3,-8.4946098328,5.4942336082,0.75
25,Allnodes,3,-4.1393046379,1.4390794039,0.9375
26,BadgerBite,0,-7.4349751472,-4.7077021599,1.0
27,Klub Staking,3,-4.1811408997,-1.6697194576,0.5
28,PoS Node,1,0.42758983370000003,1.1573398113,0.5625
29,Sarvodaya Validators,1,-1.3622105122000001,8.1761045456,0.0
30,WeStaking,3,-2.539989233,9.1574621201,0.5
31,SmartNodes  Slash Protected,1,-0.9862132072,8.1602449417,0.1875
32,Stake Frites  ,0,-1.3277696371,5.9249038696,0.75
33,Decloud Nodes Lab,4,8.0921802521,-5.1798796654,0.75
