,voter,cluster_label,tsne_x,tsne_y,participation_rate
0,Chainflow,3,-12.7346343994,-0.8522080183,0.3666666666666666
1,Imperatorco,3,-12.6070775986,10.1869459152,1.0
2, AutoStake  Slash Protected,3,-14.616358757,8.4908189774,0.6
3,Simply Staking,3,-9.767621994,6.8836994171,0.6
4,StakeLabzone,3,-10.5727949142,-3.6191456318,0.2666666666666666
5,REDELEGATE,3,-10.6674489975,4.2258586884,0.2
6,SpacePotato,3,-9.3777084351,2.7623770237,0.5333333333333333
7,Crosnest,3,-13.5206642151,10.6795120239,0.5333333333333333
8,Vitwit Previously Witval,3,-2.6217653751,0.6920101643000001,0.2666666666666666
9,Noderunners,3,-11.4268455505,1.9947859049,0.6
10,Chorus One,3,-14.8832616806,5.4690732956,0.8
11,POSTHUMAN  StakeDrop,3,-14.7334814072,4.3450593948,0.8666666666666667
12,Ping,3,-11.888507843,0.7280731797000001,0.1666666666666666
13,Notional,3,-13.102725029,1.1309847832,0.4333333333333333
14,0basevc,3,-10.3480949402,8.348282814,0.8666666666666667
15,Smart Stake ,3,-12.2673444748,10.1274061203,0.8333333333333334
16, block pane ,3,-11.5418558121,3.4302809238,0.3666666666666666
17,Hathor Node,3,-11.6932477951,2.0970230103,0.6
18,Alex Bambarello Validator,3,-12.0354804993,1.4533362389,0.2333333333333333
19,NodeStake,3,-13.9283876419,1.9302040339,0.1
20,a41,3,-10.4036245346,6.9937143326,0.7666666666666667
21,Oldcat,3,-10.7217741013,4.289162159,0.5
22,Gelotto  Slash Protected,3,-9.47914505,0.4280323386,0.4
23,Golden Ratio Staking,3,-12.8854885101,7.1529226303,0.5333333333333333
24,Ubik Capital,6,-0.8423342705,-0.41471856830000003,0.8
25,CryptoCrew Validators ,3,-12.9433441162,2.7344937325,0.8666666666666667
26,Kahuna,7,4.5897607803,-12.705493927000001,0.0666666666666666
27,NFTSwitchxyz  Delegate for SOUL Claim Drop,6,4.0008859634,-13.9360685349,0.0666666666666666
28,Kalia Network,1,-6.8191108704,-2.1339709759,1.0
29, The Chicken Coop  Homestead,2,3.8475902081,-12.4649877548,0.0333333333333333
30,NosNode,3,-10.8406009674,6.3999042511,0.5666666666666667
31,Citadelone,3,-14.5683383942,9.2992067337,0.7333333333333333
32,Frens ,3,-12.1888809204,8.1814556122,0.4666666666666667
33,Zenscape,1,-6.0581026077,-0.8522503376,0.0
34,Cosmostation,3,-13.2532672882,9.9102210999,0.9666666666666668
35,Kleomedes,1,-3.4832339287,8.5712776184,0.4
36,BlueStake   100 insurance,1,-4.2024755478,6.4717965126,0.8333333333333334
37,Oni ,1,-5.8079357147,-1.7230163813000001,0.5333333333333333
38,White Whale,6,2.9565968513,-1.5727012157,0.0666666666666666
39,White Marlin Staking,1,-5.6412467957,-1.7364968061000001,0.5666666666666667
40,OmniFlix Network,3,-9.3035974503,3.9561862946,0.7
41,GATA HUB,3,-7.6560196877,8.4189376831,0.3
42,Coinage x DAIC,3,-14.4843606949,7.1447076797,0.5666666666666667
43,Dora Factory,6,-0.6034410596,-1.9064854383,0.0
44,Keplr,0,8.3092699051,4.812420845,0.3666666666666666
45,Stakecito,3,-12.100525856,8.613130569500001,0.8666666666666667
46,polkachucom,3,-13.7690706253,1.2620370388,1.0
47,DSRV,3,-16.3130207062,4.2347884178,0.6333333333333333
48,BronBro,3,-16.1075649261,4.2918372154,0.8666666666666667
49,Cypher Core,3,-9.1318435669,7.9711265564,0.8
50,strangelove,1,1.0072894096,4.9719457626,0.3
51,ushakov,5,10.3790102005,-7.0203227997,0.7333333333333333
52,Allnodes,3,-10.417755127,10.4120264053,0.5333333333333333
53,PoS Node,1,3.6558618546,9.0864801407,0.4666666666666667
54,FreshSTAKING,3,-9.6551036835,5.9206237793,0.7666666666666667
55,SmartNodes,7,-0.5019570589,-10.1024827957,0.0333333333333333
56,Tuzem,1,7.5964388847,1.5541683435,0.7666666666666667
57,Staketab,2,1.1555674076,-14.6745233536,0.3333333333333333
58,CryptoDungeon,1,-4.0333733559,3.7979850769,0.8333333333333334
59,Quebec,1,-4.6834568977,2.4756436348,0.3333333333333333
60,Interbloc,1,-5.3318481445,-2.2715482712,0.4666666666666667
61,StakeRelax ,7,0.7179474831,-11.2868995667,0.0666666666666666
62,Larry Engineer,3,-10.7543907166,-0.0378385633,0.1666666666666666
63,Multiplex,7,0.08639726040000001,-12.7383012772,0.1
64, kingnodes ,1,-3.591588974,6.0965547562,0.7333333333333333
65,Wave,1,3.8627488613,0.21307793260000002,0.0
66,cyberG,1,8.8349657059,-9.6119976044,0.7333333333333333
67,EZ Staking,7,-0.6523892879000001,1.6747304201,0.5
68,dimi ,1,4.3864622116,-3.7147424221,0.3
69,Shutting Down Redelegate,1,-3.6665384769,1.7914806604,0.0
70, RHINO  10 to Wildlife,1,-4.512172699,4.9982094765000005,0.6666666666666666
71,Cosmos Spaces   ,1,-0.0619000606,6.3304915428,0.2
72,nysanetwork,7,-1.3858208656,1.6659120321,0.2
73, Stakepile  Autorestake enable,1,4.5359897614,-3.2437541485,0.3
74,ChainTools,1,7.2213802338,-12.395283699,0.0333333333333333
75,elsehow,1,4.1223449707,-4.4123358727,0.1
76,OranG3cluB,1,-4.35120821,2.7575604916,0.9333333333333332
77,NITAWA,0,2.9563555717,-14.4968671799,0.2666666666666666
78,web34ever,1,-0.1227687001,-4.6649365425000004,0.6
79,DEUS LABS,1,6.3757510185,-14.4679498672,0.1666666666666666
80,Consensus One,1,6.322373867,-14.5827236176,0.0333333333333333
81,testovich,1,11.811466217,6.5656414032,0.7333333333333333
82,STAKECRAFT,1,-2.7246789932,-1.6723929644,0.8333333333333334
83,Earth shutting down 519 pls redelegate ,1,4.9587159157,4.9577698708,0.0
84,StakeTartare,1,1.4948724508,5.0277986526,0.0
85,PUPMS,7,-1.9275164604000001,2.3288042545,0.7333333333333333
86,LOA Labs,1,9.5363483429,-1.3405740261,0.4666666666666667
87,NacionCrypto  Parceros,5,0.861562252,-6.006934166,0.3666666666666666
88,DO NOT DELEGATE,2,-3.2755112648,-7.2076778412,0.0333333333333333
89,Stashh,0,7.7606844902,4.8247389793,0.0
90,DECOMISSIONED AUDITone,0,4.7666788101,-8.5395507812,0.1666666666666666
91,Army IDs,1,14.0546140671,5.875597477,0.9666666666666668
92,Perfect Stake ,0,6.312338829,-11.8948345184,0.2666666666666666
93,Crypto Plant,6,10.8389720917,4.3362336159,0.4666666666666667
94,deapst,1,2.9420049191,-8.0551900864,0.2
95,elf,1,3.8040056229,5.5780692101,0.1333333333333333
96,vivens,1,3.5874824524,6.4004511833,0.2333333333333333
97,Shutting Down,1,3.3429088593,4.8791451454,0.1666666666666666
98,Lilac,1,4.1704745293,3.8871319294,0.2333333333333333
99,birpus,2,2.9096422195000002,-10.1143741608,0.0333333333333333
100,bloqhub,2,4.0032191277,-10.2981777191,0.1
101,retz80,1,3.8040056229,5.5780692101,0.1333333333333333
102,Wanderer Staking,1,5.4159078598,2.8318998814,0.3
103,REDELEGATE  CLOSING 0912,1,5.0390276909,5.496052742,0.0666666666666666
104,StakerHouse,1,8.3862981796,8.6422376633,0.9666666666666668
105,moonsoon,1,7.8266005516,0.28491207960000003,0.7333333333333333
106,unavailable,1,3.9508545399,5.4172534943,0.1666666666666666
107,DStake,1,7.2234940529,9.1381015778,0.9333333333333332
108,n1stake,1,3.7959618568,-6.8644766808,0.6666666666666666
109,Degen Power ,1,4.186029911,12.3673353195,0.2666666666666666
110,Blackhox,1,2.0017752647,7.5865283012,0.9333333333333332
111,SGTstake,1,4.1187376976,-7.1466927528,0.5
112,MantiCore,2,-2.9336619377,-6.9170227051,0.5
113,azstake,5,8.696805954,-10.4143266678,0.2
114,MTnode,5,9.2080097198,-10.3386650085,0.2
115,ramuchitech,1,13.444190979,5.8424620628,0.8666666666666667
116,ibrahimarslann59,2,3.8476099968,-11.1930656433,0.1333333333333333
117,Syd,1,3.8466289043,11.554063797,0.8333333333333334
118,Virtual Hive,7,-1.4404219389,1.3677614927,0.8666666666666667
119,silent,1,1.7371426821,7.9507317543000005,0.8
120,REDELEGATE  CLOSING 060623,1,6.0737609863,-9.159702301,0.3
121,Arcpool,1,3.9355285168,11.5828857422,1.0
122,NakoTurk,1,7.626739502,8.388001442,0.7
123,StakeAngle,1,13.5297060013,5.8523993492,1.0
124,Inter Blockchain Services,5,0.9639954567000001,-1.8966562748,0.7333333333333333
125,alkadeta,1,11.7625131607,5.9605784416,1.0
126,max999,1,9.6353807449,-6.5615272522,0.6
127,alexandr0,1,5.6251630783,-10.2487812042,0.3
128,Julia,1,3.4086315632,2.1395173073000002,0.1666666666666666
129,TheNopio,1,4.6458940506,-7.9400234222,0.2333333333333333
130,Redelegateyourfunds,0,5.8046164513,-10.9209318161,0.2
131,Surg,1,4.9859733582,4.1433606148,0.0333333333333333
132,CodeBreader,2,3.8476099968,-11.1930656433,0.1333333333333333
133,UniqNodes,1,9.7077503204,-5.258664608,0.5333333333333333
134,3venturesio  autocompound via reStake,2,-2.8721075058,-6.9905920029,0.0666666666666666
135,do not delegate,1,11.1187667847,5.0777330399,0.2666666666666666
136,dreamstaker,1,2.2418069839,2.0810368061,0.6666666666666666
137,The Space Ape Society,1,5.9366803169,5.5100970268,0.3333333333333333
138,suzumiya2014,1,5.316092968,4.9139170647,0.0333333333333333
139,Kingslman,1,4.1397895813,5.5744223595,0.1
140,GraviDAO Community with Slashing Protection,1,5.8958921432,6.847413063,0.3
141,NFT,1,5.4530272484,3.0591173172,0.0666666666666666
142,Qwoyn Studios,1,6.1402602196,4.0118227005,0.1
143,penso,1,6.1966915131,6.7433810234000005,0.2666666666666666
144,rektDAO,1,7.2212591171,6.4337182045,0.6666666666666666
145,UjuLabs,1,4.5422854424,1.1042491198,0.0666666666666666
146,mahof,1,9.315946579,1.9205400944,0.6666666666666666
147,Calibr   ,1,2.7217838764,3.5428380966,0.2666666666666666
148,ch0pch0pNFT,1,6.7220125198,2.5867073536,0.4666666666666667
149,Bit Cat,1,-6.1251268387,-5.9619088173,0.2
150,Easy 2 Stake,6,10.6373271942,3.5513365269,0.5
151,ChelovekizNaroda,1,4.2135205269,0.42591136690000003,0.0333333333333333
152,Atlas DAO  10 to Charity,1,3.2665688992,2.0988075733,0.1333333333333333
153,Nodeasycom,5,4.8268318176000005,-0.0008271569,0.0333333333333333
154,The Cosmos Ladies,1,5.9823946953,-6.3521366119,0.3
155,Stakewollecom   Autocompound,1,8.5303554535,-0.8905662298,0.7
156,Bad Kids  100 Slashing,1,6.5437383652,-5.4243068695,0.4333333333333333
157,IBCNFTscom ,2,1.7296968699,-9.6704845428,0.1666666666666666
158,AVIAONEcom ,5,2.0187551975,-13.2274627686,0.0
159,CosmicNode,2,2.8988053799,-11.4890966415,0.0333333333333333
160,Narwhalidator X ShrimpClub,2,1.2820646763,-9.1040649414,0.3
161, The Silver Fox,1,3.610388279,7.2870593071,0.6666666666666666
162,Empower Validator   20 to plastic waste cleanups,1,4.7464494705,8.0835371017,0.6333333333333333
163,Andromaverse,2,2.9470140934,-12.6149148941,0.1666666666666666
164,inhabitants ,1,8.2958021164,-1.4920283556,0.3333333333333333
165,Astroquirks  Profit Sharing  ,2,3.182082653,-11.6410675049,0.0666666666666666
166,ValiDAO,2,1.8683589697,-10.9525337219,0.2
167,Broxa   RuSpeak Community  SUNREN ,1,9.706161499,-4.37784338,0.4666666666666667
168,Meilen Fren  Staking,2,1.8371455669,-12.0726881027,0.0666666666666666
169,Snow Fall,2,2.8883609772,-11.3610725403,0.0333333333333333
170,Insigma ,2,2.8883609772,-11.3610725403,0.0333333333333333
