,voter,cluster_label,tsne_x,tsne_y,participation_rate
0,Imperatorco,3,-11.3113603592,9.408826828,0.9318181818181818
1, AutoStake  Slash Protected,3,-9.8994941711,9.403837204,0.9772727272727272
2,Crosnest,3,-11.2698040009,8.6815385818,0.3181818181818182
3,Noderunners,3,-9.684217453,0.9406131506000001,0.6136363636363636
4,Forbole,3,-5.83568573,2.3819444180000002,0.0
5,01node,3,-8.7065706253,5.5026688576,0.75
6,Inotel,1,1.1283444166,7.0021362305,0.1136363636363636
7,kytzu,7,13.3384542465,4.126057148,0.1818181818181818
8,Secure Secrets,6,-6.8920607567,-4.7748155594,0.4772727272727273
9,0basevc,3,-10.9347496033,6.8203659058,0.8863636363636364
10,Smart Stake ,3,-11.2944164276,9.8005990982,1.0
11,WhisperNode ,3,-9.0872964859,8.555973053,0.6136363636363636
12,NFTSwitchxyz  Delegate for SOUL Claim Drop,6,-4.638381958,-13.5910253525,0.7954545454545454
13,Stakelyio,3,-8.4476728439,8.5605115891,0.8863636363636364
14, LavenderFive Nodes ,3,-5.6911764145,4.9694418907,0.4772727272727273
15,Cosmostation,3,-11.8677835464,8.7844209671,0.2045454545454545
16,White Whale,6,4.3489723206,-3.8165268898,0.9090909090909092
17,NodesGuru,1,1.5960484743,2.61977458,0.0
18,Coinage x DAIC,3,-7.8325695992,9.1844749451,0.7954545454545454
19,Interstellar Lounge ,6,-1.8967977762000001,-1.7693084478,0.5
20,DELIGHT,7,1.3910973072,12.6951589584,0.3863636363636363
21,Stakeflow,7,8.0737771988,13.3895511627,0.1363636363636363
22,Active Nodes,3,-11.2036190033,4.4643292427,0.9772727272727272
23,strangelove,1,10.7456560135,11.890703201300001,0.1363636363636363
24,FreshSTAKING,3,-8.6372117996,7.1731600761,0.1818181818181818
25,MrK,3,3.2420549393,8.6809997559,0.2727272727272727
26,ShapeShift DAO,3,-8.2872238159,3.721834898,0.0
27,Everstake,6,-3.1356742382,2.6807136536000002,0.0
28,PRYZM  StakeDrop,7,5.9318137169,10.883867263800001,0.2954545454545454
29,SCVSecurity,6,4.0792441368,-2.7894127369,0.9545454545454546
30,coinhallorg,6,-11.7755994797,3.4653964043,0.9772727272727272
31,Wave,1,10.7965326309,11.3735952377,0.0909090909090909
32,Stakin,7,-7.6314558983,1.0575485229,0.75
33,WeStaking,3,7.8986005783,14.0870313644,0.0681818181818181
34,syncnode,1,2.4689421654,6.4904799461,0.4318181818181818
35,Enigma,7,2.454423666,3.5484733582,0.25
36,NITAWA,0,5.0999855995,4.6028380394,0.3636363636363636
37, uGaenn ,6,-10.3344249725,-2.5557346344,0.7954545454545454
38,HEXXAGON,2,8.89798069,10.5988912582,0.0227272727272727
39,Crypto Plant,6,-5.8097681999,-9.0230264664,0.4772727272727273
40,Easy 2 Stake,6,-11.1959886551,-2.5398354530000002,0.7045454545454546
41,PFC  Stake for SOUL airdrop,6,3.6021633148,-2.8492050171,0.9772727272727272
42,cosmosrescue,4,-2.7942390442000002,3.5859057903,0.25
43, polkachucom,7,-3.793602705,3.1732215881,0.8181818181818182
44,0xDEADBEEF,6,6.5362076759,-8.3090801239,0.1818181818181818
45,Vixello,6,-6.9481892586,-2.6512637138,0.0
46,AuraStake,6,-6.4936504364,-15.1106052399,0.75
47,HighStakesch  Stake for Airdrop,0,2.8467860222,-1.5677773952,0.9318181818181818
48,Cosmos Spaces,7,7.9859495163,12.8197803497,0.1136363636363636
49,Flipside,7,14.4044456482,10.1888809204,0.3181818181818182
50,Moonlet,6,-7.4315538406,2.4436898232,0.0
51,KuCoin,6,-8.4108247757,-7.1057128906,0.0227272727272727
52,Orbital Command,6,-0.3746551275,-10.1171474457,0.9545454545454546
53,Staker Space,6,-2.442347765,-2.6535401344,0.7045454545454546
54,StakeLab,6,-5.020488739,-2.3659064770000002,0.0
55,Anchor Staking,6,-4.1982455254,-6.1798658371,0.0
56,Interstake One prev BTCSecure,6,-2.6101408005,-14.0419635773,0.8636363636363636
57,Nodeasy,6,-4.2991728783,-6.6573863029,0.0
58,Synergy Nodes,6,-1.8389567137,-4.3762021065,1.0
59,RockawayX Infra,6,-2.6993737221,-4.6636734009,0.0227272727272727
60,Talis Protocol,6,4.576944828,-2.6308774948,0.6818181818181818
61,ProNodes75,6,-3.6182549,1.1541639566,0.7954545454545454
62,Autism Staking,6,1.0096309185,-10.6298122406,0.8636363636363636
63,KK Validator,6,-6.4271697998,-7.7846975327,0.6136363636363636
64,8moon,6,8.2819099426,-1.1818492413,0.4090909090909091
65,BlockFoundry,6,-12.0215101242,-9.1862106323,0.9772727272727272
66,RuneTerra,6,13.6435489655,5.8534092903,0.5
67,Galactic Punks Validator,6,0.6240725517,-7.5749430656,0.6363636363636364
68,Phoenix,6,-12.5985021591,-7.5580210686000004,1.0
69,Uranus,6,-6.8190774918,-11.8791160583,0.9772727272727272
70,Leviathan,6,-3.3012230396,-10.8250312805,1.0
71,Top Shelf,6,-6.9282541275,-11.8806390762,0.9772727272727272
72,Sarah Kerrigan,6,2.7007009983,-10.4714708328,1.0
73,Nexus Event,6,-2.6894435883,-8.4528999329,0.9545454545454546
74,LegendX,6,-5.042424202,-10.3111352921,0.5909090909090909
75,Moon Dog,6,-3.5502283573,-12.1495313644,1.0
76,Craig,6,2.8072891235,-10.5457830429,1.0
77,Un Fuego,6,2.940315485,-12.4328575134,0.8181818181818182
78,Goliath,6,-1.7326272726,-6.1728572845,1.0
79,TerraDactyl,6,2.3277878761,-9.6788406372,0.9772727272727272
80,Chaos Protocol,6,-2.1558175087,-9.8354415894,1.0
81,Interdimensional Cable,6,-6.0401558876,-14.6221008301,1.0
82,Red Herring  0 Commission  100 Uptime,6,-3.7313785553,-8.1468267441,0.0681818181818181
83,Stake N Shake,6,1.4354197979,-7.41147995,0.9545454545454546
84,HappyLunatic,0,6.3032679558,4.8566522598,0.2272727272727272
85,managocloud,6,-4.6032972336,-7.0331554413,0.0227272727272727
86,Futura Meridian,6,-0.7390180230000001,-15.6623306274,0.8636363636363636
87,PigCash,0,9.2093076706,6.3503642082,0.3863636363636363
88,Y,2,9.7508745193,7.3135676384,0.0681818181818181
89,Eclipse,0,6.3480958939,8.3144950867,0.1136363636363636
90,moonshot,6,1.2848371267,-4.8144979477,0.6818181818181818
91,Defi Suffrage,0,10.1440782547,9.4914216995,0.1818181818181818
92,StakeBin,6,6.0424003601,-11.780374527,1.0
93,Mario,0,5.8308072090000005,7.622824192,0.1590909090909091
94,Zeus Staking,0,12.3832702637,6.0673694611,0.0681818181818181
95,Ceres Ventures,6,-4.3114686012,-9.0970201492,0.9090909090909092
96,TerRarityio,2,9.3369865417,8.0381155014,0.1136363636363636
97,OneStar,6,-6.3140468597,-6.1833515167,0.1363636363636363
98,MCF,0,3.4455912113,7.0232920647,0.5227272727272727
99,Moon Platoon,6,3.7196550369,-12.5561418533,0.5909090909090909
100,Spacehall prev Setten,6,2.1314406395,-12.4435272217,0.7727272727272727
