,id,title,type,status,yes,no,veto,abstain,no_vote,count,most_vote,most_vote_ratio
0,253,Lava  Fast  Reliable Public RPC,CommunityPoolSpend,PASSED,42.0,0.0,0.0,4.0,16.0,62.0,yes,0.6774193548387096
1,241,Regional Moderators Proposal  Axelar Brazilian Portuguese Community October 2024  March 2025,CommunityPoolSpend,REJECTED,7.0,17.0,0.0,17.0,20.0,61.0,no_vote,0.32786885245901637
2,240,Axelarate Series for Axelar Ecosystem,CommunityPoolSpend,PASSED,36.0,0.0,0.0,10.0,15.0,61.0,yes,0.5901639344262295
3,239,Regional Moderators Proposal  Axelar Spanish Community October 2024  March 2025,CommunityPoolSpend,PASSED,19.0,5.0,0.0,16.0,19.0,59.0,yes,0.3220338983050847
4,223,Axelar road to Blockchaincon Onboarding  Hackathon,CommunityPoolSpend,PASSED,22.0,12.0,0.0,14.0,15.0,63.0,yes,0.3492063492063492
5,222,Revised Axelar Brazilian and Spanish Community  6 Month Continuity and Expansion Plan,CommunityPoolSpend,REJECTED,11.0,21.0,1.0,10.0,18.0,61.0,no,0.3442622950819672
6,220,Building Organic Buzz for Axelar via CipherClout PR,CommunityPoolSpend,PASSED,19.0,9.0,0.0,19.0,16.0,63.0,yes,0.30158730158730157
7,219,Axelar regional communities Aug24Jan25,CommunityPoolSpend,PASSED,24.0,1.0,0.0,6.0,29.0,60.0,no_vote,0.48333333333333334
8,218,Final  Revised Proposal to Revamp and Improve Axelar Network Documentation,CommunityPoolSpend,REJECTED,11.0,21.0,0.0,17.0,14.0,63.0,no,0.3333333333333333
9,217,Axelar Brazilian and Spanish Community  1 Year Continuity and Expansion Plan,CommunityPoolSpend,REJECTED,8.0,20.0,0.0,7.0,25.0,60.0,no_vote,0.4166666666666667
10,216,Axelarators Telegram Group and Ecosystem X Account 6Month Program Renewal Proposal,CommunityPoolSpend,PASSED,25.0,5.0,0.0,15.0,18.0,63.0,yes,0.3968253968253968
11,215,Multichain Nation Podcast Grant Proposal,CommunityPoolSpend,PASSED,21.0,11.0,0.0,18.0,15.0,65.0,yes,0.3230769230769231
12,213,Axelar Ai Bot  The way to onboarding more users and developers,CommunityPoolSpend,REJECTED,1.0,25.0,0.0,7.0,27.0,60.0,no_vote,0.45
13,212,KYVE Network Public Good Funding,Text,PASSED,27.0,4.0,0.0,9.0,22.0,62.0,yes,0.43548387096774194
