,id,title,type,status,yes,no,veto,abstain,no_vote,count,most_vote,most_vote_ratio
0,176,Incentives Relaunch Revised Proposal,Text,PASSED,25.0,3.0,0.0,13.0,10.0,51.0,yes,0.49019607843137253
1,175,Reduce Trading Rewards by 44 Decrease Trading Rewards Constant from 09 to 05,ParameterChange,PASSED,33.0,2.0,0.0,7.0,11.0,53.0,yes,0.6226415094339622
2,165,Add TRUMPWINUSD perpetual market,CreateMarket,PASSED,21.0,2.0,0.0,16.0,13.0,52.0,yes,0.40384615384615385
3,164,Add CETUSUSD perpetual market,CreateMarket,REJECTED,6.0,32.0,0.0,5.0,11.0,54.0,no,0.5925925925925926
4,157,dYdX Treasury Subdao Proposal  Karpatkey,Text,PASSED,17.0,8.0,0.0,22.0,9.0,56.0,abstain,0.39285714285714285
5,156,dYdX Treasury Subdao Proposal  Steakhouse,Text,PASSED,13.0,9.0,0.0,24.0,9.0,55.0,abstain,0.43636363636363634
6,154,Add SUNDOGUSD perpetual market,CreateMarket,PASSED,28.0,4.0,0.0,6.0,14.0,52.0,yes,0.5384615384615384
7,144,Add RETARDIOUSD perpetual market,CreateMarket,PASSED,36.0,4.0,0.0,6.0,10.0,56.0,yes,0.6428571428571429
8,142,ReLaunch Incentives after dYdX Unlimited upgrade with 20M over 6 Months administered by Chaos Labs,Text,PASSED,30.0,3.0,0.0,8.0,13.0,54.0,yes,0.5555555555555556
9,138,Add FOXYUSD perpetual market,CreateMarket,PASSED,17.0,4.0,0.0,17.0,15.0,53.0,yes,0.32075471698113206
10,48,dYdX ShortTerm Boost Program STBP,SendFromModuleToAccount,REJECTED,5.0,32.0,0.0,12.0,9.0,58.0,no,0.5517241379310345
11,47,dYdX Community Staking with pSTAKE Finance Proposal,Text,REJECTED,29.0,9.0,0.0,13.0,7.0,58.0,yes,0.5
12,44,dYdX Community Staking Proposal,Text,PASSED,43.0,2.0,0.0,9.0,5.0,59.0,yes,0.7288135593220338
13,24,Add WOOUSD perpetual market,CreateMarket,PASSED,40.0,10.0,0.0,2.0,6.0,58.0,yes,0.6896551724137931
14,6,Fix the v2 emergency upgrade jailings,Text,REJECTED,12.0,19.0,0.0,16.0,10.0,57.0,no,0.3333333333333333
