,id,title,type,status,yes,no,veto,abstain,no_vote,count,most_vote,most_vote_ratio
0,459,Adjust Binary Options Market Instant Listing Fee to 05 INJ,ParameterChange,PASSED,29.0,0.0,0.0,12.0,11.0,52.0,yes,0.5576923076923077
1,458,Remove relayers for Frontrunner provider oracle,ProviderPrivilege,PASSED,27.0,0.0,0.0,14.0,11.0,52.0,yes,0.5192307692307693
2,457,Settle 2024ELECTIONUSDT PERP and QUNTUSDT PERP markets,ExchangeModification,PASSED,23.0,0.0,0.0,18.0,10.0,51.0,yes,0.45098039215686275
3,456,Decrease default exchange maker fee rebate to 05 bps,ParameterChange,PASSED,30.0,0.0,0.0,10.0,11.0,51.0,yes,0.5882352941176471
4,455,Decrease maker fee rebate to 05 bps,ExchangeModification,PASSED,30.0,0.0,0.0,10.0,11.0,51.0,yes,0.5882352941176471
5,454,Disbursement of OLP rewards for epoch ended on 28 October 2024,CommunityPoolSpend,PASSED,32.0,0.0,0.0,8.0,11.0,51.0,yes,0.6274509803921569
6,453,Whitelist Address for Wasm Upload,CodeUploadParamsAddresses,PASSED,23.0,1.0,0.0,14.0,12.0,50.0,yes,0.46
7,452,Update Kira Liquidity Pool Locker,StoreCode,PASSED,13.0,1.0,0.0,26.0,11.0,51.0,abstain,0.5098039215686274
8,451,Paradyze Mainnet Provider Oracle,ProviderPrivilege,PASSED,15.0,1.0,0.0,25.0,10.0,51.0,abstain,0.49019607843137253
9,448,Kira Liquidity Pool Locker to be deployed on the injective mainnet,StoreCode,PASSED,16.0,5.0,0.0,17.0,12.0,50.0,abstain,0.34
10,447,Disbursement of OLP rewards for epoch ended on 30 September 2024,CommunityPoolSpend,PASSED,34.0,0.0,0.0,9.0,9.0,52.0,yes,0.6538461538461539
11,446,Upload Injex Finance Vesting Contract Wasm Code,StoreCode,PASSED,12.0,1.0,0.0,23.0,14.0,50.0,abstain,0.46
12,445,Funding Proposal Support Development of Apello Corrected Proposal,CommunityPoolSpend,REJECTED,0.0,24.0,0.0,19.0,9.0,52.0,no,0.46153846153846156
13,444,FUNDING PROPOSAL Fund development of Apello,CommunityPoolSpend,REJECTED,0.0,29.0,0.0,14.0,9.0,52.0,no,0.5576923076923077
14,443,INJ 30 Inflation Parameters Update 24Q3,ParameterChange,PASSED,33.0,0.0,0.0,8.0,10.0,51.0,yes,0.6470588235294118
15,442,Increase max trading leverage to 20x for INJUSDT PERP BNBUSDT PERP and XRPUSDT PERP markets,ExchangeModification,PASSED,34.0,0.0,0.0,9.0,10.0,53.0,yes,0.6415094339622641
16,441,Whitelist Ark Protocol Dev Wallet Address for Wasm Upload InterChain NFT Contracts,CodeUploadParamsAddresses,PASSED,20.0,0.0,0.0,23.0,10.0,53.0,abstain,0.4339622641509434
17,440,Add ICONBalanced Network deployment wallet to Injective whitelist,CodeUploadParamsAddresses,PASSED,12.0,5.0,0.0,26.0,10.0,53.0,abstain,0.49056603773584906
18,439,Whitelist Black Panther Developer Address for Wasm Upload,CodeUploadParamsAddresses,PASSED,12.0,2.0,0.0,28.0,11.0,53.0,abstain,0.5283018867924528
19,437,Whitelist Ninja Blaze Developer Address for Wasm Upload,CodeUploadParamsAddresses,PASSED,16.0,1.0,0.0,27.0,9.0,53.0,abstain,0.5094339622641509
20,436,Settle BODENUSDT PERP and BONKUSDT PERP markets,ExchangeModification,PASSED,26.0,0.0,0.0,13.0,12.0,51.0,yes,0.5098039215686274
21,435,Disbursement of OLP rewards for epoch ended on 02 September 2024,CommunityPoolSpend,PASSED,30.0,1.0,0.0,8.0,12.0,51.0,yes,0.5882352941176471
22,432,Deploy injinterchainpersona Contract on Injective Mainnet,Text,PASSED,13.0,2.0,0.0,29.0,10.0,54.0,abstain,0.5370370370370371
23,430,Upload Injex Finance Staking Contract Wasm Code,StoreCode,PASSED,23.0,1.0,0.0,17.0,11.0,52.0,yes,0.4423076923076923
24,428,Enable instant derivative markets launch,ParameterChange,PASSED,33.0,0.0,0.0,10.0,10.0,53.0,yes,0.6226415094339622
25,427,Upload Injex Finance Staking Contract Wasm Code,StoreCode,REJECTED,7.0,10.0,0.0,27.0,10.0,54.0,abstain,0.5
26,426,Whitelist Gelotto Developer Wallet for Wasm Upload PampIT,CodeUploadParamsAddresses,PASSED,11.0,2.0,0.0,28.0,11.0,52.0,abstain,0.5384615384615384
27,425,Disbursement of OLP rewards for epoch ended on 05 August 2024,CommunityPoolSpend,PASSED,34.0,0.0,0.0,9.0,10.0,53.0,yes,0.6415094339622641
28,423,Deployment of Volta Circuits Multisig Smart Contracts on Injective,StoreCode,PASSED,21.0,2.0,0.0,18.0,11.0,52.0,yes,0.40384615384615385
29,421,Upload Injex Finance Router and Limit Contract Wasm Code,StoreCode,PASSED,10.0,4.0,0.0,24.0,13.0,51.0,abstain,0.47058823529411764
30,417,Disbursement of OLP rewards for epoch ended on 8 July 2024,CommunityPoolSpend,REJECTED,6.0,39.0,0.0,3.0,7.0,55.0,no,0.7090909090909091
31,416,Upload Exotic Escrow Contract Wasm Code,StoreCode,PASSED,15.0,4.0,0.0,26.0,10.0,55.0,abstain,0.4727272727272727
32,415,Upload Exotic Staking Contract Wasm Code,StoreCode,PASSED,15.0,4.0,0.0,26.0,10.0,55.0,abstain,0.4727272727272727
33,414,Upload Exotic Vanilla Contract Wasm Code,StoreCode,PASSED,15.0,4.0,0.0,26.0,10.0,55.0,abstain,0.4727272727272727
34,413,Deployment of StreamSwap Protocol contracts on Injective Hub,StoreCode,PASSED,28.0,0.0,0.0,14.0,11.0,53.0,yes,0.5283018867924528
35,412,New Quant in Town,Text,PASSED,10.0,3.0,1.0,31.0,9.0,54.0,abstain,0.5740740740740741
36,411,Disbursement of OLP rewards for epoch ended on 10 June 2024,CommunityPoolSpend,PASSED,33.0,0.0,0.0,8.0,11.0,52.0,yes,0.6346153846153846
37,410,Upload ChainFactory Contract Wasm Code 22 Token,StoreCode,PASSED,18.0,1.0,0.0,23.0,11.0,53.0,abstain,0.4339622641509434
38,408,Upload ChainFactory Contract Wasm Code 12 Factory,StoreCode,PASSED,17.0,3.0,0.0,28.0,7.0,55.0,abstain,0.509090909090909
39,407,Upload QTUM token contract,StoreCode,PASSED,19.0,0.0,0.0,30.0,6.0,55.0,abstain,0.5454545454545454
40,406,Increase max trading leverage for GBPUSDT PERP and EURUSDT PERP Markets,ExchangeModification,PASSED,41.0,0.0,0.0,10.0,5.0,56.0,yes,0.7321428571428571
41,405,Disbursement of OLP rewards for epoch ended on 13 May 2024,CommunityPoolSpend,PASSED,33.0,0.0,0.0,11.0,11.0,55.0,yes,0.6
42,404,StartCooking Upload Factory Contract,StoreCode,PASSED,24.0,2.0,0.0,15.0,12.0,53.0,yes,0.4528301886792453
43,403,StartCooking Upload Contract,StoreCode,PASSED,24.0,2.0,0.0,15.0,12.0,53.0,yes,0.4528301886792453
44,402,Upload DEGA Minter Contract Wasm Code,StoreCode,PASSED,16.0,2.0,0.0,26.0,11.0,55.0,abstain,0.4727272727272727
45,401,Upload DEGA Collection Contract Wasm Code,StoreCode,PASSED,16.0,2.0,0.0,25.0,11.0,54.0,abstain,0.46296296296296297
46,400,Upload NFT Injstaking Contract,StoreCode,PASSED,14.0,2.0,0.0,28.0,11.0,55.0,abstain,0.509090909090909
47,399,Upload Exotic Escrow Contract Wasm Code,StoreCode,PASSED,18.0,3.0,0.0,28.0,6.0,55.0,abstain,0.509090909090909
48,398,UPLOAD Discoverinj 404 Reroll,StoreCode,PASSED,18.0,1.0,0.0,31.0,5.0,55.0,abstain,0.5636363636363636
49,397,Gravedigger 22  staking contract,StoreCode,PASSED,35.0,0.0,0.0,18.0,5.0,58.0,yes,0.603448275862069
50,396,Gravedigger 12  feesplit,StoreCode,PASSED,36.0,0.0,0.0,16.0,5.0,57.0,yes,0.631578947368421
51,394,Upload Ninja Blaze Contract  Jackpot,StoreCode,PASSED,19.0,1.0,0.0,29.0,6.0,55.0,abstain,0.5272727272727272
52,393,Upload Ninja Blaze Contract  Double,StoreCode,PASSED,18.0,1.0,0.0,30.0,6.0,55.0,abstain,0.5454545454545454
53,390,UPLOAD Discoverinj 404 Mintpad,StoreCode,PASSED,12.0,4.0,0.0,32.0,7.0,55.0,abstain,0.5818181818181818
54,388,Balanced Contracts 2,StoreCode,PASSED,8.0,6.0,0.0,33.0,8.0,55.0,abstain,0.6
55,387,Balanced Contracts 1,StoreCode,PASSED,8.0,7.0,0.0,33.0,7.0,55.0,abstain,0.6
56,386,Upload Exotic Holding Contract Wasm Code,StoreCode,PASSED,18.0,4.0,0.0,27.0,6.0,55.0,abstain,0.4909090909090909
57,385,Upload Exotic RFQ Contract Wasm Code,StoreCode,PASSED,18.0,4.0,0.0,27.0,6.0,55.0,abstain,0.4909090909090909
58,384,Upload Exotic Vanilla Contract Wasm Code,StoreCode,PASSED,18.0,3.0,0.0,28.0,6.0,55.0,abstain,0.509090909090909
59,382,INJBOYS STAKING PLATFORM  Upload Contract,StoreCode,PASSED,9.0,6.0,0.0,35.0,5.0,55.0,abstain,0.6363636363636364
60,381,Upload Ninza Contract  Game,StoreCode,PASSED,15.0,3.0,0.0,34.0,4.0,56.0,abstain,0.6071428571428571
61,380,Blocksmith Labs Presale  Instantiate Contract,InstantiateContract,FAILED,15.0,6.0,0.0,30.0,5.0,56.0,abstain,0.5357142857142857
62,379,Proposal Title,StoreCode,REJECTED,3.0,39.0,7.0,6.0,4.0,59.0,no,0.6610169491525424
63,378,UPLOAD A5TOUND Playland Plaza Contract,StoreCode,PASSED,10.0,6.0,0.0,36.0,5.0,57.0,abstain,0.631578947368421
64,377,Upload Ninja Labs  Pepe PvP Contract Wasm Code,StoreCode,PASSED,11.0,4.0,0.0,36.0,5.0,56.0,abstain,0.6428571428571429
65,376,Blocksmith Labs Presale  Upload Contract,StoreCode,PASSED,10.0,7.0,0.0,30.0,9.0,56.0,abstain,0.5357142857142857
66,375,Upload Ninja Labs  Chads Draw Contract Wasm Code,StoreCode,PASSED,9.0,7.0,0.0,30.0,10.0,56.0,abstain,0.5357142857142857
67,374,Moon App Staking  Staking contract upgrade v110,StoreCode,PASSED,13.0,5.0,0.0,28.0,10.0,56.0,abstain,0.5
