,id,title,type,status,yes,no,veto,abstain,no_vote,count,most_vote,most_vote_ratio
0,353,Juno Communications SubDAO Funding Proposal 3 months,CommunityPoolSpend,PASSED,35.0,4.0,0.0,25.0,53.0,117.0,no_vote,0.452991452991453
1,351,Hexxagon Proposal for Validator and Chain Upgrade Support,CommunityPoolSpend,REJECTED,4.0,52.0,5.0,7.0,51.0,119.0,no,0.4369747899159664
2,349,Signal proposal for the council to put dapps as the first priority,Text,REJECTED,19.0,9.0,1.0,59.0,41.0,129.0,abstain,0.4573643410852713
3,339,Development Election Kopeboy,ExecuteContract,FAILED,23.0,5.0,0.0,58.0,44.0,130.0,abstain,0.4461538461538462
4,338,Development Election Andr,ExecuteContract,FAILED,25.0,4.0,0.0,57.0,43.0,129.0,abstain,0.4418604651162791
5,337,Development Election Ray Raspberry,ExecuteContract,FAILED,29.0,4.0,0.0,51.0,45.0,129.0,abstain,0.3953488372093023
6,336,Operations Election Ninjaxan,unknown,PASSED,31.0,3.0,0.0,53.0,42.0,129.0,abstain,0.4108527131782946
7,335,Operations Election Lil D,unknown,REJECTED,15.0,13.0,0.0,58.0,43.0,129.0,abstain,0.4496124031007752
8,331,Shift focus from feature upgrades to finishing dApps and dev onboarding,unknown,REJECTED,32.0,31.0,8.0,26.0,36.0,133.0,no_vote,0.2706766917293233
9,330,Remove BlockCreators from Core1  Cancel Vesting,unknown,REJECTED,15.0,5.0,5.0,54.0,49.0,128.0,abstain,0.421875
10,329,Community Relations Elections 22 Tonyler,unknown,PASSED,30.0,4.0,0.0,51.0,44.0,129.0,abstain,0.3953488372093023
11,328,Community Relations Election 12 DragonMonk111,unknown,REJECTED,15.0,16.0,1.0,54.0,43.0,129.0,abstain,0.4186046511627907
12,326,Development Election 11 Poroburu,ExecuteContract,PASSED,77.0,0.0,0.0,23.0,33.0,133.0,yes,0.5789473684210527
13,324,Operations Election 44 Panos,ExecuteContract,REJECTED,24.0,22.0,0.0,52.0,35.0,133.0,abstain,0.39097744360902253
14,323,Operations Election 34 Macks Wolfard,ExecuteContract,PASSED,27.0,22.0,0.0,49.0,35.0,133.0,abstain,0.3684210526315789
15,322,Operations Election 24 Schweinebacke Cristiano,ExecuteContract,PASSED,34.0,19.0,1.0,43.0,36.0,133.0,abstain,0.3233082706766917
16,321,Operations Election 14 CryptoTank,ExecuteContract,PASSED,33.0,15.0,2.0,49.0,35.0,134.0,abstain,0.3656716417910448
17,318,OverTheCounter OTC Funding Proposal,unknown,REJECTED,20.0,34.0,0.0,22.0,48.0,124.0,no_vote,0.3870967741935484
