,id,title,type,status,yes,no,veto,abstain,no_vote,count,most_vote,most_vote_ratio
0,850,Whitelist Ark Protocol Developer Wallets for InterChain NFT Contracts,ParameterChange,PASSED,36.0,2.0,0.0,39.0,40.0,117.0,no_vote,0.3418803418803419
1,841,Osmosis Representation at Crypto Summit del Caribe II,CommunityPoolSpend,PASSED,27.0,21.0,0.0,37.0,33.0,118.0,abstain,0.3135593220338983
2,834,Update Incentives in line with inflation reduction,UpdatePoolIncentives,REJECTED,17.0,51.0,1.0,24.0,26.0,119.0,no,0.42857142857142855
3,833,Osmosis Inflation Reduction proposal,ParameterChange,REJECTED,17.0,49.0,1.0,26.0,26.0,119.0,no,0.4117647058823529
4,812,Claw Back SAIL DAO Funding,unknown,PASSED,57.0,10.0,2.0,27.0,26.0,122.0,yes,0.4672131147540984
5,801,Whitelist OBridge Deployments Address to Upload Contract,ParameterChange,PASSED,68.0,5.0,0.0,13.0,32.0,118.0,yes,0.576271186440678
6,798,Deployment of stOSMO liquidity from stableswap into Locust vault,CommunityPoolSpend,PASSED,45.0,1.0,0.0,38.0,34.0,118.0,yes,0.3813559322033898
7,789,Whitelist Lion DAO Deployment Address to Upload Contracts,ParameterChange,PASSED,61.0,9.0,0.0,19.0,30.0,119.0,yes,0.5126050420168067
8,788,Whitelist Gelotto Address for PampIT  Games,ParameterChange,PASSED,63.0,6.0,0.0,13.0,36.0,118.0,yes,0.5338983050847458
9,786,Matching incentives for Frax assets on Osmosis with Picasso,CommunityPoolSpend,PASSED,25.0,13.0,0.0,53.0,29.0,120.0,abstain,0.44166666666666665
10,785,Whitelist Address for Mad Pots Game Deployment,ParameterChange,PASSED,54.0,2.0,0.0,38.0,26.0,120.0,yes,0.45
11,784,Review Downtime Jailing Parameters,ParameterChange,PASSED,60.0,11.0,0.0,17.0,31.0,119.0,yes,0.5042016806722689
12,780,Implement CopyStaking for Strides Osmosis Delegations,unknown,PASSED,59.0,7.0,0.0,17.0,35.0,118.0,yes,0.5
