,id,title,type,status,yes,no,veto,abstain,no_vote,count,most_vote,most_vote_ratio
0,309,2024Q3 Testnet Committee,CommunityPoolSpend,PASSED,21.0,2.0,0.0,6.0,26.0,55.0,no_vote,0.4727272727272727
1,307,Support Team Funding Proposal,CommunityPoolSpend,PASSED,24.0,4.0,0.0,6.0,21.0,55.0,yes,0.43636363636363634
2,306,HackSecret IV is on the Horizon,CommunityPoolSpend,PASSED,28.0,1.0,0.0,7.0,19.0,55.0,yes,0.509090909090909
3,304,Support IBC Relayers with Fee Grants III,CommunityPoolSpend,PASSED,26.0,0.0,0.0,2.0,28.0,56.0,no_vote,0.5
4,303,2024Q2 Testnet Committee,CommunityPoolSpend,PASSED,29.0,0.0,0.0,4.0,24.0,57.0,yes,0.5087719298245614
5,301,Support Team Funding Proposal,CommunityPoolSpend,PASSED,32.0,0.0,0.0,2.0,25.0,59.0,yes,0.5423728813559322
6,299,MoneroKon Hackaton,CommunityPoolSpend,REJECTED,5.0,11.0,5.0,12.0,26.0,59.0,no_vote,0.4406779661016949
7,298,Call to Action HackSecret III is on the Horizon,CommunityPoolSpend,PASSED,26.0,0.0,0.0,10.0,26.0,62.0,yes,0.41935483870967744
8,296,2024Q1 Testnet Committee,CommunityPoolSpend,PASSED,32.0,0.0,0.0,7.0,24.0,63.0,yes,0.5079365079365079
9,294,Support Team Funding Proposal,CommunityPoolSpend,PASSED,32.0,0.0,0.0,3.0,25.0,60.0,yes,0.5333333333333333
10,293,Support IBC Relayers with Fee Grants II,CommunityPoolSpend,PASSED,36.0,0.0,0.0,2.0,23.0,61.0,yes,0.5901639344262295
11,288,Continuance Funding for API Team for Secret Saturn,CommunityPoolSpend,PASSED,28.0,3.0,0.0,8.0,23.0,62.0,yes,0.45161290322580644
12,286,Secret Ledger App Audit,CommunityPoolSpend,PASSED,35.0,0.0,0.0,4.0,23.0,62.0,yes,0.5645161290322581
13,285,Support Team Funding Proposal ,CommunityPoolSpend,PASSED,26.0,1.0,0.0,6.0,27.0,60.0,no_vote,0.45
14,284,2023Q4 Governance Committee,CommunityPoolSpend,REJECTED,19.0,18.0,0.0,11.0,16.0,64.0,yes,0.296875
15,283,Spend 5k USD in SCRT to incentivize SCRTUSD perps trading on Demex,CommunityPoolSpend,PASSED,13.0,6.0,0.0,20.0,24.0,63.0,no_vote,0.38095238095238093
16,282,2023Q4 Testnet Committee,CommunityPoolSpend,PASSED,35.0,1.0,0.0,5.0,23.0,64.0,yes,0.546875
17,280,Secret X DAO DAO Proposal,CommunityPoolSpend,PASSED,37.0,1.0,0.0,1.0,23.0,62.0,yes,0.5967741935483871
18,279,Secret X DAO DAO Proposal,CommunityPoolSpend,REJECTED,4.0,26.0,1.0,3.0,26.0,60.0,no,0.43333333333333335
19,270,Include Sienna Networks contracts in the list of prev110 contracts in the v110 network upgrade,Text,PASSED,22.0,6.0,1.0,9.0,23.0,61.0,no_vote,0.3770491803278688
20,269,Include Shillables Contracts to the list in v110 for Pre v110 Contracts,Text,PASSED,24.0,3.0,3.0,6.0,25.0,61.0,no_vote,0.4098360655737705
21,267,Proposal to Address the Tarantino Incident,Text,REJECTED,2.0,10.0,9.0,14.0,25.0,60.0,no_vote,0.4166666666666667
22,266,Support Team Funding Proposal ,CommunityPoolSpend,PASSED,17.0,5.0,0.0,8.0,28.0,58.0,no_vote,0.4827586206896552
23,265,Support IBC Relayers with Fee Grants,CommunityPoolSpend,PASSED,32.0,0.0,0.0,1.0,26.0,59.0,yes,0.5423728813559322
24,261,2023Q3 Governance Committee,CommunityPoolSpend,PASSED,30.0,4.0,0.0,7.0,21.0,62.0,yes,0.4838709677419355
25,259,The API Proposal IV,CommunityPoolSpend,PASSED,32.0,2.0,0.0,3.0,25.0,62.0,yes,0.5161290322580645
26,255,Fee Grant Faucet Maintenance JulyDecember ,CommunityPoolSpend,PASSED,29.0,0.0,0.0,6.0,25.0,60.0,yes,0.48333333333333334
27,252,2023Q3 Testnet Committee,CommunityPoolSpend,PASSED,29.0,2.0,0.0,8.0,23.0,62.0,yes,0.46774193548387094
28,250,The max voting power signaling proposal II,Text,PASSED,37.0,9.0,0.0,8.0,12.0,66.0,yes,0.5606060606060606
29,249,Funding to support Secret Networks participation in Cybertech Africa 2023,CommunityPoolSpend,REJECTED,9.0,12.0,0.0,13.0,28.0,62.0,no_vote,0.45161290322580644
30,245,Support Team Funding Proposal June 1st  Sept 1st,CommunityPoolSpend,PASSED,26.0,0.0,0.0,13.0,23.0,62.0,yes,0.41935483870967744
31,243,The API Proposal III,CommunityPoolSpend,PASSED,32.0,1.0,0.0,5.0,24.0,62.0,yes,0.5161290322580645
32,242,2023Q2 Governance Committee,CommunityPoolSpend,PASSED,33.0,2.0,0.0,6.0,21.0,62.0,yes,0.532258064516129
33,240,Allow Secret Agency DAO to spend the leftover SCRT gathered from Proposal 127,Text,PASSED,26.0,7.0,0.0,12.0,17.0,62.0,yes,0.41935483870967744
34,233,Secret Surge Proposal Month 1,CommunityPoolSpend,PASSED,51.0,0.0,0.0,1.0,13.0,65.0,yes,0.7846153846153846
35,183,Milestone 1 Fadroma  Community Spend Proposal,CommunityPoolSpend,PASSED,15.0,6.0,0.0,15.0,25.0,61.0,no_vote,0.4098360655737705
36,176,The API Proposal II,CommunityPoolSpend,PASSED,29.0,1.0,0.0,6.0,25.0,61.0,yes,0.47540983606557374
37,175,2023Q2 Testnet Committee,CommunityPoolSpend,PASSED,27.0,1.0,0.0,9.0,23.0,60.0,yes,0.45
38,174,Correct Community Curated Bounty project CCBL  P2P NFT Trading Platform  ActiSwap feature on ActiList NFT marketplace,CommunityPoolSpend,PASSED,11.0,7.0,0.0,19.0,22.0,59.0,no_vote,0.3728813559322034
39,173,Community Curated Bounty project CCBL  P2P NFT Trading Platform  ActiSwap feature on ActiList NFT marketplace,Text,REJECTED,2.0,21.0,1.0,8.0,28.0,60.0,no_vote,0.4666666666666667
40,160,Support Team Funding Proposal March 1st  June 1st,CommunityPoolSpend,PASSED,24.0,2.0,1.0,9.0,24.0,60.0,yes,0.4
41,153,DO NOT TRUST THE SCAM PROPOSALS 152145 and 141133  DO NOT CLICK THE LINKS,Text,PASSED,26.0,1.0,2.0,4.0,26.0,59.0,yes,0.4406779661016949
42,143,Fadroma  Community Spend Proposal,CommunityPoolSpend,REJECTED,1.0,22.0,0.0,14.0,23.0,60.0,no_vote,0.38333333333333336
43,132,2023Q1 Governance Committee,CommunityPoolSpend,PASSED,34.0,0.0,0.0,6.0,22.0,62.0,yes,0.5483870967741935
44,131,Secret University  Community Spend Proposal Milestone 2,CommunityPoolSpend,PASSED,30.0,3.0,0.0,8.0,20.0,61.0,yes,0.4918032786885246
45,130,The max voting power signaling proposal,Text,REJECTED,35.0,11.0,0.0,13.0,7.0,66.0,yes,0.5303030303030303
46,128,Development Committee Funding 6 February 2023 to 7 May 2023,CommunityPoolSpend,PASSED,42.0,0.0,0.0,8.0,15.0,65.0,yes,0.6461538461538462
47,126,Incentive SCRTUSK pair on Kujira FIN via Kujira BOW,CommunityPoolSpend,PASSED,28.0,1.0,0.0,8.0,24.0,61.0,yes,0.45901639344262296
48,125,StarShell Security Audit  Community Spend Proposal Revised,CommunityPoolSpend,PASSED,26.0,0.0,0.0,9.0,23.0,58.0,yes,0.4482758620689655
49,124,StarShell Security Audit  Community Spend Proposal,CommunityPoolSpend,REJECTED,0.0,22.0,0.0,6.0,28.0,56.0,no_vote,0.5
50,122,Support Team Funding Proposal Dec 1st  March 1st,CommunityPoolSpend,PASSED,29.0,2.0,0.0,11.0,20.0,62.0,yes,0.46774193548387094
51,121,The API Proposal,CommunityPoolSpend,PASSED,30.0,2.0,0.0,11.0,21.0,64.0,yes,0.46875
