,voter,yes,no,veto,abstain,no_vote,valid_votes,total_votes,proposal_num,overall_match,cluster_match,overall_match_rate,cluster_match_rate,participation_rate,cluster_label,Imperatorco, AutoStake  Slash Protected,StakeWithUs,BHarvest,StakeLabzone,Crosnest,Chorus One,Forbole,Bi23 Labs,POSTHUMAN  StakeDrop,Notional,jabbey,Smart Stake ,WhisperNode ,Figment,Golden Ratio Staking,Ubik Capital,Stakelyio,ECO Stake ,Citadelone,Informal Systems, LavenderFive Nodes ,Frens ,Cosmostation,DOUBLETOP,White Whale,BlockHunters ,Coinage x DAIC,Dora Factory,Keplr,Stakecito,DSRV,BronBro,Allnodes,Trust Nodes,Everstake,PRYZM  StakeDrop,SCVSecurity,Please Redelegate,redelegateplease,nysanetwork,Stakewollecom  Autocompound,Architect Nodes,PFC  Stake for SOUL airdrop,Huobi,cosmosrescue, polkachucom,inactive,w3coins, CryptoCrew Validators,TTT ,coinhallorg ,Twinstake,Kiln,HighStakesch  Stake for Airdrop,InfStones,BwareLabs,AUDITone,Staked,Synergy Nodes,Contribution DAO,Ledger by Chorus One,FinoaConsensusServices,undelegate,POSTCAPITALIST,Black Panther  Delegate for Claimdrop,Innovating Capital,Open DeFi,TokenStationapp  Qwerty,Injective Node 0, Crypteloid,50 Validator  Airdrop ,please redelegate  shutting down,Ready Block,redelegate to StakeLab,Liquify,Helios Staking,HashQuark,Talis Protocol,Injective Finance,Dojo,BitNordic,Ormanxyz,Swiss Staking  Bare Metal  Bunker,Injective Node 3,Injective Node 1,Do Not Delegate,Hoss Army by 01node,Blockapsis,Oni  Stake for BoostDrop ,PartnerStaking  Timeworxio Airdrop,Cosmic Validator  Top Uptime  Autocompound,kingnodes ,Daily ExtraRewards  Nodeof Cosmonauts,Decentrio,NODEJUMPER,Hex Technologies,A41,Neptune Foundation,gumi,Felix,NTT Digital,high_similarity_voters
0,Imperatorco,47,5,0,58,0,110,110,139,95,92,0.8636363636363636,0.8363636363636363,0.7913669064748201,3,1.0,0.4892086330935252,0.2589928057553957,0.30935251798561153,0.12949640287769784,0.3597122302158273,0.6474820143884892,0.17266187050359713,0.0,0.39568345323741005,0.014388489208633094,0.007194244604316547,0.539568345323741,0.39568345323741005,0.0,0.35251798561151076,0.3381294964028777,0.4244604316546763,0.3669064748201439,0.5971223021582733,0.4028776978417266,0.2733812949640288,0.4244604316546763,0.5899280575539568,0.15827338129496402,0.6115107913669064,0.0,0.4172661870503597,0.39568345323741005,0.15827338129496402,0.33093525179856115,0.16546762589928057,0.2302158273381295,0.37410071942446044,0.4172661870503597,0.4676258992805755,0.1223021582733813,0.43884892086330934,0.0,0.014388489208633094,0.007194244604316547,0.5899280575539568,0.007194244604316547,0.460431654676259,0.0,0.2302158273381295,0.3669064748201439,0.007194244604316547,0.04316546762589928,0.18705035971223022,0.17266187050359713,0.5251798561151079,0.3381294964028777,0.49640287769784175,0.3597122302158273,0.0,0.30935251798561153,0.2517985611510791,0.0,0.0,0.1510791366906475,0.4172661870503597,0.08633093525179857,0.007194244604316547,0.0,0.12949640287769784,0.02158273381294964,0.0,0.19424460431654678,0.0,0.0,0.02158273381294964,0.007194244604316547,0.007194244604316547,0.007194244604316547,0.0,0.18705035971223022,0.0,0.4460431654676259,0.014388489208633094,0.3237410071942446,0.1079136690647482,0.0,0.1223021582733813,0.0,0.0,0.007194244604316547,0.3237410071942446,0.45323741007194246,0.2589928057553957,0.12949640287769784,0.60431654676259,0.39568345323741005,0.0,0.3381294964028777,0.0,0.34532374100719426,0.41007194244604317,0.19424460431654678,0.11510791366906475,0.15827338129496402,0.014388489208633094,"['Chorus One', 'White Whale', 'Cosmic Validator  Top Uptime  Autocompound']"
1, AutoStake  Slash Protected,74,4,0,45,0,123,123,139,68,90,0.5528455284552846,0.7317073170731707,0.8848920863309353,3,0.4892086330935252,1.0,0.33093525179856115,0.26618705035971224,0.19424460431654678,0.23741007194244604,0.5107913669064749,0.23741007194244604,0.12949640287769784,0.2805755395683453,0.02158273381294964,0.007194244604316547,0.4316546762589928,0.4244604316546763,0.007194244604316547,0.26618705035971224,0.2589928057553957,0.35251798561151076,0.37410071942446044,0.60431654676259,0.38848920863309355,0.30935251798561153,0.39568345323741005,0.5683453237410072,0.08633093525179857,0.460431654676259,0.0,0.31654676258992803,0.26618705035971224,0.10071942446043165,0.38848920863309355,0.08633093525179857,0.17985611510791366,0.302158273381295,0.31654676258992803,0.38848920863309355,0.04316546762589928,0.31654676258992803,0.007194244604316547,0.007194244604316547,0.007194244604316547,0.539568345323741,0.007194244604316547,0.4028776978417266,0.007194244604316547,0.2589928057553957,0.48201438848920863,0.007194244604316547,0.050359712230215826,0.1510791366906475,0.20863309352517986,0.38848920863309355,0.2446043165467626,0.381294964028777,0.3597122302158273,0.0,0.302158273381295,0.2446043165467626,0.0,0.0,0.17985611510791366,0.31654676258992803,0.1223021582733813,0.007194244604316547,0.007194244604316547,0.15827338129496402,0.04316546762589928,0.0,0.18705035971223022,0.0,0.007194244604316547,0.03597122302158273,0.007194244604316547,0.007194244604316547,0.05755395683453238,0.0,0.14388489208633093,0.014388489208633094,0.39568345323741005,0.0,0.2158273381294964,0.17266187050359713,0.02158273381294964,0.11510791366906475,0.0,0.0,0.007194244604316547,0.2733812949640288,0.3237410071942446,0.28776978417266186,0.04316546762589928,0.45323741007194246,0.3237410071942446,0.007194244604316547,0.2517985611510791,0.02877697841726619,0.30935251798561153,0.2517985611510791,0.17985611510791366,0.04316546762589928,0.11510791366906475,0.014388489208633094,['Citadelone']
2,StakeWithUs,35,4,0,38,0,77,77,139,38,53,0.4935064935064935,0.6883116883116883,0.5539568345323741,3,0.2589928057553957,0.33093525179856115,1.0,0.1223021582733813,0.10071942446043165,0.20863309352517986,0.2805755395683453,0.14388489208633093,0.09352517985611511,0.08633093525179857,0.014388489208633094,0.007194244604316547,0.2589928057553957,0.17985611510791366,0.007194244604316547,0.2302158273381295,0.2733812949640288,0.2733812949640288,0.1223021582733813,0.302158273381295,0.19424460431654678,0.10071942446043165,0.1510791366906475,0.35251798561151076,0.1366906474820144,0.2949640287769784,0.0,0.2158273381294964,0.2517985611510791,0.0,0.2158273381294964,0.15827338129496402,0.07194244604316546,0.1366906474820144,0.2733812949640288,0.16546762589928057,0.09352517985611511,0.18705035971223022,0.007194244604316547,0.02158273381294964,0.007194244604316547,0.30935251798561153,0.007194244604316547,0.2589928057553957,0.0,0.1079136690647482,0.22302158273381295,0.0,0.06474820143884892,0.07913669064748201,0.07913669064748201,0.2302158273381295,0.2158273381294964,0.2805755395683453,0.33093525179856115,0.0,0.1079136690647482,0.16546762589928057,0.0,0.0,0.1223021582733813,0.2589928057553957,0.1079136690647482,0.007194244604316547,0.007194244604316547,0.05755395683453238,0.04316546762589928,0.0,0.19424460431654678,0.0,0.007194244604316547,0.014388489208633094,0.007194244604316547,0.0,0.03597122302158273,0.0,0.1079136690647482,0.007194244604316547,0.1079136690647482,0.0,0.26618705035971224,0.11510791366906475,0.014388489208633094,0.09352517985611511,0.0,0.0,0.0,0.03597122302158273,0.2517985611510791,0.07194244604316546,0.03597122302158273,0.28776978417266186,0.1510791366906475,0.014388489208633094,0.09352517985611511,0.02877697841726619,0.2158273381294964,0.1366906474820144,0.02158273381294964,0.0,0.0,0.0,[]
3,BHarvest,75,8,0,0,0,83,83,139,43,46,0.5180722891566265,0.5542168674698795,0.5971223021582733,3,0.30935251798561153,0.26618705035971224,0.1223021582733813,1.0,0.20863309352517986,0.10071942446043165,0.26618705035971224,0.1079136690647482,0.0,0.3237410071942446,0.014388489208633094,0.007194244604316547,0.18705035971223022,0.2446043165467626,0.0,0.07913669064748201,0.04316546762589928,0.2517985611510791,0.539568345323741,0.2805755395683453,0.4244604316546763,0.45323741007194246,0.28776978417266186,0.31654676258992803,0.050359712230215826,0.302158273381295,0.0,0.14388489208633093,0.1223021582733813,0.1079136690647482,0.33093525179856115,0.07194244604316546,0.09352517985611511,0.4316546762589928,0.02158273381294964,0.302158273381295,0.05755395683453238,0.31654676258992803,0.0,0.02877697841726619,0.007194244604316547,0.30935251798561153,0.007194244604316547,0.17985611510791366,0.0,0.1366906474820144,0.5755395683453237,0.007194244604316547,0.06474820143884892,0.18705035971223022,0.18705035971223022,0.17985611510791366,0.0,0.10071942446043165,0.08633093525179857,0.0,0.4748201438848921,0.12949640287769784,0.0,0.0,0.26618705035971224,0.0,0.1510791366906475,0.007194244604316547,0.0,0.1223021582733813,0.03597122302158273,0.0,0.19424460431654678,0.0,0.0,0.014388489208633094,0.007194244604316547,0.0,0.007194244604316547,0.0,0.02158273381294964,0.007194244604316547,0.2733812949640288,0.014388489208633094,0.007194244604316547,0.1510791366906475,0.0,0.1366906474820144,0.0,0.0,0.007194244604316547,0.3237410071942446,0.17266187050359713,0.37410071942446044,0.20863309352517986,0.28776978417266186,0.22302158273381295,0.014388489208633094,0.1510791366906475,0.02877697841726619,0.0,0.2302158273381295,0.18705035971223022,0.15827338129496402,0.10071942446043165,0.0,[]
4,StakeLabzone,40,5,0,3,0,48,48,139,19,23,0.3958333333333333,0.4791666666666667,0.34532374100719426,3,0.12949640287769784,0.19424460431654678,0.10071942446043165,0.20863309352517986,1.0,0.04316546762589928,0.12949640287769784,0.07194244604316546,0.0,0.15827338129496402,0.0,0.0,0.11510791366906475,0.1366906474820144,0.0,0.05755395683453238,0.02877697841726619,0.15827338129496402,0.28776978417266186,0.1079136690647482,0.2949640287769784,0.2733812949640288,0.1079136690647482,0.1366906474820144,0.03597122302158273,0.1366906474820144,0.0,0.1223021582733813,0.07194244604316546,0.0,0.17266187050359713,0.05755395683453238,0.07194244604316546,0.22302158273381295,0.03597122302158273,0.14388489208633093,0.02877697841726619,0.2014388489208633,0.0,0.02158273381294964,0.0,0.17985611510791366,0.0,0.1223021582733813,0.0,0.1223021582733813,0.302158273381295,0.0,0.04316546762589928,0.09352517985611511,0.19424460431654678,0.11510791366906475,0.02158273381294964,0.050359712230215826,0.08633093525179857,0.0,0.2589928057553957,0.16546762589928057,0.0,0.0,0.22302158273381295,0.02158273381294964,0.1079136690647482,0.0,0.0,0.1223021582733813,0.02158273381294964,0.0,0.18705035971223022,0.0,0.0,0.014388489208633094,0.0,0.0,0.0,0.0,0.02158273381294964,0.0,0.20863309352517986,0.014388489208633094,0.02158273381294964,0.10071942446043165,0.0,0.09352517985611511,0.0,0.0,0.007194244604316547,0.17985611510791366,0.1223021582733813,0.2589928057553957,0.08633093525179857,0.1510791366906475,0.1223021582733813,0.014388489208633094,0.03597122302158273,0.02877697841726619,0.014388489208633094,0.07194244604316546,0.04316546762589928,0.0,0.0,0.0,[]
5,Crosnest,12,29,0,69,0,110,110,139,55,49,0.5,0.44545454545454544,0.7913669064748201,3,0.3597122302158273,0.23741007194244604,0.20863309352517986,0.10071942446043165,0.04316546762589928,1.0,0.38848920863309355,0.14388489208633093,0.0,0.16546762589928057,0.0,0.0,0.3597122302158273,0.28776978417266186,0.0,0.381294964028777,0.41007194244604317,0.31654676258992803,0.1223021582733813,0.3237410071942446,0.1510791366906475,0.09352517985611511,0.28776978417266186,0.3381294964028777,0.09352517985611511,0.34532374100719426,0.0,0.30935251798561153,0.33093525179856115,0.09352517985611511,0.2014388489208633,0.2446043165467626,0.15827338129496402,0.1079136690647482,0.5035971223021583,0.2949640287769784,0.08633093525179857,0.3237410071942446,0.0,0.03597122302158273,0.0,0.28776978417266186,0.0,0.2733812949640288,0.0,0.1223021582733813,0.1366906474820144,0.0,0.02877697841726619,0.2302158273381295,0.050359712230215826,0.3669064748201439,0.4172661870503597,0.48201438848920863,0.28776978417266186,0.0,0.1079136690647482,0.1366906474820144,0.0,0.0,0.04316546762589928,0.4748201438848921,0.02877697841726619,0.0,0.0,0.07913669064748201,0.007194244604316547,0.007194244604316547,0.11510791366906475,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.2158273381294964,0.0,0.22302158273381295,0.0,0.34532374100719426,0.007194244604316547,0.0,0.05755395683453238,0.0,0.0,0.007194244604316547,0.1079136690647482,0.2589928057553957,0.1223021582733813,0.09352517985611511,0.37410071942446044,0.28776978417266186,0.014388489208633094,0.2302158273381295,0.0,0.37410071942446044,0.22302158273381295,0.08633093525179857,0.04316546762589928,0.10071942446043165,0.03597122302158273,[]
6,Chorus One,38,4,0,70,0,112,112,139,95,88,0.8482142857142857,0.7857142857142857,0.8057553956834532,3,0.6474820143884892,0.5107913669064749,0.2805755395683453,0.26618705035971224,0.12949640287769784,0.38848920863309355,1.0,0.18705035971223022,0.0,0.33093525179856115,0.02877697841726619,0.0,0.5755395683453237,0.41007194244604317,0.0,0.39568345323741005,0.34532374100719426,0.4460431654676259,0.2949640287769784,0.539568345323741,0.39568345323741005,0.2517985611510791,0.4028776978417266,0.5755395683453237,0.15827338129496402,0.6187050359712231,0.0,0.49640287769784175,0.37410071942446044,0.14388489208633093,0.28776978417266186,0.12949640287769784,0.2158273381294964,0.34532374100719426,0.48201438848920863,0.4748201438848921,0.1223021582733813,0.4676258992805755,0.0,0.02158273381294964,0.0,0.6258992805755396,0.0,0.45323741007194246,0.0,0.2805755395683453,0.2949640287769784,0.007194244604316547,0.04316546762589928,0.15827338129496402,0.15827338129496402,0.5539568345323741,0.381294964028777,0.539568345323741,0.381294964028777,0.0,0.2446043165467626,0.2517985611510791,0.007194244604316547,0.0,0.16546762589928057,0.4748201438848921,0.10071942446043165,0.0,0.0,0.1366906474820144,0.02877697841726619,0.007194244604316547,0.19424460431654678,0.007194244604316547,0.0,0.014388489208633094,0.0,0.007194244604316547,0.007194244604316547,0.0,0.17985611510791366,0.0,0.4460431654676259,0.014388489208633094,0.35251798561151076,0.1223021582733813,0.0,0.1366906474820144,0.007194244604316547,0.007194244604316547,0.0,0.23741007194244604,0.43884892086330934,0.2158273381294964,0.09352517985611511,0.6690647482014388,0.4172661870503597,0.0,0.35251798561151076,0.007194244604316547,0.4244604316546763,0.3597122302158273,0.20863309352517986,0.07194244604316546,0.16546762589928057,0.02158273381294964,"['Imperatorco', 'White Whale', 'Stakewollecom  Autocompound', 'Cosmic Validator  Top Uptime  Autocompound']"
7,Forbole,23,3,1,23,0,50,50,139,31,34,0.62,0.68,0.3597122302158273,3,0.17266187050359713,0.23741007194244604,0.14388489208633093,0.1079136690647482,0.07194244604316546,0.14388489208633093,0.18705035971223022,1.0,0.04316546762589928,0.11510791366906475,0.007194244604316547,0.007194244604316547,0.2014388489208633,0.19424460431654678,0.0,0.18705035971223022,0.16546762589928057,0.14388489208633093,0.09352517985611511,0.2014388489208633,0.11510791366906475,0.08633093525179857,0.2446043165467626,0.20863309352517986,0.050359712230215826,0.19424460431654678,0.0,0.15827338129496402,0.1366906474820144,0.0,0.12949640287769784,0.1079136690647482,0.08633093525179857,0.08633093525179857,0.17985611510791366,0.1510791366906475,0.03597122302158273,0.1366906474820144,0.0,0.02877697841726619,0.007194244604316547,0.15827338129496402,0.007194244604316547,0.2158273381294964,0.0,0.1079136690647482,0.12949640287769784,0.0,0.07194244604316546,0.07913669064748201,0.05755395683453238,0.18705035971223022,0.1510791366906475,0.2014388489208633,0.1366906474820144,0.0,0.07913669064748201,0.14388489208633093,0.0,0.0,0.09352517985611511,0.15827338129496402,0.07194244604316546,0.007194244604316547,0.0,0.09352517985611511,0.014388489208633094,0.0,0.07913669064748201,0.0,0.0,0.02158273381294964,0.007194244604316547,0.0,0.007194244604316547,0.0,0.11510791366906475,0.0,0.14388489208633093,0.0,0.1510791366906475,0.07194244604316546,0.007194244604316547,0.10071942446043165,0.0,0.0,0.0,0.03597122302158273,0.1510791366906475,0.05755395683453238,0.007194244604316547,0.2302158273381295,0.1366906474820144,0.014388489208633094,0.12949640287769784,0.0,0.10071942446043165,0.050359712230215826,0.04316546762589928,0.0,0.050359712230215826,0.0,[]
8,Bi23 Labs,18,0,0,0,8,18,26,139,8,20,0.3076923076923077,0.7692307692307693,0.12949640287769784,3,0.0,0.12949640287769784,0.09352517985611511,0.0,0.0,0.0,0.0,0.04316546762589928,1.0,0.0,0.0,0.05755395683453238,0.014388489208633094,0.0,0.0,0.0,0.02158273381294964,0.014388489208633094,0.0,0.08633093525179857,0.0,0.05755395683453238,0.0,0.1079136690647482,0.0,0.0,0.02877697841726619,0.0,0.05755395683453238,0.0,0.06474820143884892,0.050359712230215826,0.05755395683453238,0.0,0.0,0.0,0.0,0.0,0.050359712230215826,0.05755395683453238,0.02877697841726619,0.02158273381294964,0.05755395683453238,0.02158273381294964,0.02877697841726619,0.0,0.07913669064748201,0.05755395683453238,0.0,0.0,0.0,0.0,0.0,0.0,0.09352517985611511,0.05755395683453238,0.0,0.0,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.0,0.05755395683453238,0.05755395683453238,0.03597122302158273,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.05755395683453238,0.03597122302158273,0.014388489208633094,0.05755395683453238,0.05755395683453238,0.03597122302158273,0.02877697841726619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
9,POSTHUMAN  StakeDrop,61,7,0,15,0,83,83,139,54,56,0.6506024096385542,0.6746987951807228,0.5971223021582733,3,0.39568345323741005,0.2805755395683453,0.08633093525179857,0.3237410071942446,0.15827338129496402,0.16546762589928057,0.33093525179856115,0.11510791366906475,0.0,1.0,0.0,0.0,0.23741007194244604,0.2733812949640288,0.0,0.18705035971223022,0.1079136690647482,0.2805755395683453,0.460431654676259,0.33093525179856115,0.37410071942446044,0.381294964028777,0.302158273381295,0.34532374100719426,0.03597122302158273,0.34532374100719426,0.0,0.20863309352517986,0.15827338129496402,0.1366906474820144,0.302158273381295,0.09352517985611511,0.16546762589928057,0.34532374100719426,0.12949640287769784,0.33093525179856115,0.03597122302158273,0.35251798561151076,0.0,0.02877697841726619,0.0,0.35251798561151076,0.0,0.2446043165467626,0.0,0.1366906474820144,0.4748201438848921,0.0,0.050359712230215826,0.18705035971223022,0.2589928057553957,0.2446043165467626,0.06474820143884892,0.19424460431654678,0.1223021582733813,0.0,0.38848920863309355,0.17266187050359713,0.0,0.0,0.19424460431654678,0.1079136690647482,0.08633093525179857,0.0,0.0,0.17985611510791366,0.02158273381294964,0.0,0.2014388489208633,0.0,0.0,0.02158273381294964,0.0,0.007194244604316547,0.0,0.0,0.06474820143884892,0.0,0.37410071942446044,0.014388489208633094,0.05755395683453238,0.10071942446043165,0.0,0.1223021582733813,0.0,0.0,0.0,0.34532374100719426,0.2302158273381295,0.3237410071942446,0.11510791366906475,0.33093525179856115,0.2589928057553957,0.02158273381294964,0.2014388489208633,0.0,0.07194244604316546,0.2446043165467626,0.15827338129496402,0.10071942446043165,0.12949640287769784,0.014388489208633094,[]
