,voter,yes,no,veto,abstain,no_vote,valid_votes,total_votes,proposal_num,overall_match,cluster_match,overall_match_rate,cluster_match_rate,participation_rate,cluster_label,Imperatorco,SpacePotato,01node,Bi23 Labs,kytzu,Ping,openbitlab,stakefish,Citadelone,KingSuper,Cosmostation,BlockHunters ,Meria,Cypher Core,node101,test,Stakeflow,PoS Node,kooltek68,EZ Staking,Stakin,syncnode,stakesystems,Wetez,SpaceStake,DO NOT DELEGATE,Bit Cat,Easy 2 Stake,jetlife,w3coins,Atomic power node,HLT,Certus One,HighStakesch  Stake for Airdrop,DokiaCapital,Moonstake,Cosmos Spaces,InfStones,Staked,REDELEGATEPLEASE,Stake5 Labs,NodeRunner,wukong,HashFuture,Chaintor,david,minminnet,BrightRoad,Wendy,Perseverance Staking,Winter Validator,DFM,Stakewollecom  100 insurance,BlueBlock,Sven,TienMaHoa,bajiute,INKER,Tower,Blockval  0 fees  Restake,Unicorn,NEOPLY,ZRL,BlueNode,Monterey,Koinsortium,Light,IRISNETVALIDATOr,im,PLEASE REDELEGATE  Stakelyio,Made In Block,Allnodes  0 fee,Crypto Lion ,ETS20,itokenpool,flyfly,Trivium  TriviumNetwork,Temperstake,StakeLab,InChainWorks,Anchor Staking,Coinstaking,Interstake One prev BTCSecure,DCC Capital,Nodeasy,DUALsystems,tiantian,Decommissioned unbond or redelegate,dolphintwo,Crazybee,BTC,SKY,MrZhang,QOSGroup,PXN,FreshIriser,SuperColle,umbrella,Heimdallr,Tanya,IRIRNO1,Stakernode,blockpool,Heaven,BigWave,Ant,AIG,BRUCE,Meganode,Masternode24de,KonsorTech,Anna,VITALITY,HongkongNode,Cestbon,Boy,Any Labs,Lavenderfive Staking,Leo,Terrarium ,KJINCio,high_similarity_voters
0,Imperatorco,0,1,8,7,0,16,16,17,3,6,0.1875,0.375,0.9411764705882353,3,1.0,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.0,0.5294117647058824,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.4117647058823529,0.058823529411764705,0.11764705882352941,0.6470588235294118,0.0,0.11764705882352941,0.8235294117647058,0.0,0.29411764705882354,0.0,0.17647058823529413,0.0,0.0,0.23529411764705882,0.0,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.0,0.8235294117647058,0.23529411764705882,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.29411764705882354,0.4117647058823529,0.5294117647058824,0.29411764705882354,0.29411764705882354,0.47058823529411764,0.35294117647058826,0.0,0.0,0.0,0.17647058823529413,0.5882352941176471,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.0,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.35294117647058826,0.058823529411764705,0.11764705882352941,0.0,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.5294117647058824,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.4117647058823529,0.0,0.29411764705882354,0.058823529411764705,0.0,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.0,0.058823529411764705,0.29411764705882354,0.35294117647058826,0.0,0.17647058823529413,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,"['PoS Node', 'Stakin', 'HighStakesch  Stake for Airdrop']"
1,SpacePotato,2,3,0,3,0,8,8,17,3,2,0.375,0.25,0.47058823529411764,3,0.17647058823529413,1.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.17647058823529413,0.0,0.11764705882352941,0.0,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.23529411764705882,0.11764705882352941,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.23529411764705882,0.0,0.058823529411764705,0.0,0.0,0.17647058823529413,0.0,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.0,0.23529411764705882,0.0,0.0,0.17647058823529413,0.17647058823529413,0.0,0.11764705882352941,0.0,0.4117647058823529,0.058823529411764705,0.29411764705882354,0.0,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.23529411764705882,0.0,0.17647058823529413,0.29411764705882354,0.0,0.058823529411764705,0.23529411764705882,0.17647058823529413,0.35294117647058826,0.0,0.17647058823529413,0.17647058823529413,0.29411764705882354,0.0,0.11764705882352941,0.23529411764705882,0.11764705882352941,0.23529411764705882,0.23529411764705882,0.0,0.0,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.23529411764705882,0.0,0.29411764705882354,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.0,[]
2,01node,1,1,1,3,0,6,6,17,1,3,0.16666666666666666,0.5,0.35294117647058826,3,0.17647058823529413,0.0,1.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.17647058823529413,0.0,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.0,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.0,0.23529411764705882,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.0,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.0,0.11764705882352941,0.17647058823529413,0.0,0.11764705882352941,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.0,0.0,0.11764705882352941,0.17647058823529413,0.23529411764705882,0.0,0.058823529411764705,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.0,0.11764705882352941,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.058823529411764705,[]
3,Bi23 Labs,1,0,0,0,16,1,17,17,7,6,0.4117647058823529,0.35294117647058826,0.058823529411764705,3,0.0,0.0,0.0,1.0,0.0,0.058823529411764705,0.9411764705882353,0.0,0.35294117647058826,0.47058823529411764,0.058823529411764705,0.5882352941176471,0.23529411764705882,0.0,0.29411764705882354,0.8235294117647058,0.5882352941176471,0.0,0.0,0.4117647058823529,0.058823529411764705,0.0,0.0,0.0,0.0,1.0,0.35294117647058826,0.0,0.47058823529411764,0.23529411764705882,0.058823529411764705,0.35294117647058826,0.0,0.0,0.29411764705882354,0.6470588235294118,0.5294117647058824,0.23529411764705882,0.8235294117647058,0.0,0.29411764705882354,0.4117647058823529,0.058823529411764705,0.058823529411764705,0.35294117647058826,0.47058823529411764,0.058823529411764705,0.47058823529411764,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.4117647058823529,0.0,0.7058823529411765,0.6470588235294118,0.47058823529411764,0.4117647058823529,0.8823529411764706,0.23529411764705882,0.47058823529411764,0.7058823529411765,0.6470588235294118,0.35294117647058826,0.5882352941176471,0.35294117647058826,0.17647058823529413,0.35294117647058826,0.47058823529411764,0.4117647058823529,0.0,0.0,0.0,0.0,0.4117647058823529,0.35294117647058826,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['openbitlab', 'test', 'DO NOT DELEGATE', 'Moonstake', 'Staked', 'Wendy', 'Perseverance Staking', 'Winter Validator', 'BlueBlock', 'Sven', 'INKER', 'Unicorn', 'NEOPLY']"
4,kytzu,3,0,0,0,0,3,3,17,3,3,1.0,1.0,0.17647058823529413,7,0.0,0.058823529411764705,0.058823529411764705,0.0,1.0,0.17647058823529413,0.0,0.0,0.11764705882352941,0.0,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.0,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.0,0.0,0.17647058823529413,0.0,0.17647058823529413,0.0,0.058823529411764705,0.0,0.0,0.17647058823529413,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.17647058823529413,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,0.11764705882352941,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.17647058823529413,0.0,0.11764705882352941,0.058823529411764705,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705,[]
5,Ping,7,0,0,0,0,7,7,17,3,5,0.42857142857142855,0.7142857142857143,0.4117647058823529,3,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.17647058823529413,1.0,0.0,0.0,0.17647058823529413,0.0,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.0,0.11764705882352941,0.29411764705882354,0.35294117647058826,0.058823529411764705,0.058823529411764705,0.0,0.23529411764705882,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.23529411764705882,0.0,0.0,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.23529411764705882,0.058823529411764705,0.11764705882352941,0.35294117647058826,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.23529411764705882,0.058823529411764705,0.11764705882352941,0.0,0.11764705882352941,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.23529411764705882,0.23529411764705882,0.0,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.0,0.0,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.29411764705882354,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.058823529411764705,[]
6,openbitlab,0,0,0,0,17,0,17,17,8,5,0.47058823529411764,0.29411764705882354,0.0,3,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,1.0,0.0,0.4117647058823529,0.5294117647058824,0.0,0.6470588235294118,0.29411764705882354,0.0,0.35294117647058826,0.8823529411764706,0.6470588235294118,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.29411764705882354,0.0,0.5294117647058824,0.23529411764705882,0.0,0.29411764705882354,0.0,0.0,0.35294117647058826,0.7058823529411765,0.5882352941176471,0.23529411764705882,0.8823529411764706,0.0,0.23529411764705882,0.35294117647058826,0.0,0.0,0.29411764705882354,0.4117647058823529,0.0,0.5294117647058824,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.47058823529411764,0.058823529411764705,0.7647058823529411,0.7058823529411765,0.5294117647058824,0.47058823529411764,0.9411764705882353,0.29411764705882354,0.5294117647058824,0.7647058823529411,0.7058823529411765,0.4117647058823529,0.6470588235294118,0.4117647058823529,0.23529411764705882,0.4117647058823529,0.5294117647058824,0.47058823529411764,0.0,0.0,0.0,0.0,0.4117647058823529,0.35294117647058826,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Bi23 Labs', 'BlockHunters ', 'test', 'Stakeflow', 'DO NOT DELEGATE', 'Moonstake', 'Staked', 'Wendy', 'Perseverance Staking', 'Winter Validator', 'BlueBlock', 'Sven', 'INKER', 'Unicorn', 'NEOPLY', 'BlueNode']"
7,stakefish,0,1,0,0,0,1,1,17,0,0,0.0,0.0,0.058823529411764705,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
8,Citadelone,3,0,2,5,7,10,17,17,10,14,0.5882352941176471,0.8235294117647058,0.5882352941176471,3,0.35294117647058826,0.17647058823529413,0.11764705882352941,0.35294117647058826,0.11764705882352941,0.17647058823529413,0.4117647058823529,0.0,1.0,0.4117647058823529,0.4117647058823529,0.47058823529411764,0.7647058823529411,0.17647058823529413,0.7058823529411765,0.47058823529411764,0.5882352941176471,0.47058823529411764,0.17647058823529413,0.4117647058823529,0.29411764705882354,0.0,0.4117647058823529,0.0,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.11764705882352941,0.4117647058823529,0.5294117647058824,0.11764705882352941,0.23529411764705882,0.0,0.35294117647058826,0.29411764705882354,0.47058823529411764,0.4117647058823529,0.17647058823529413,0.4117647058823529,0.0,0.17647058823529413,0.35294117647058826,0.058823529411764705,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.23529411764705882,0.5882352941176471,0.4117647058823529,0.47058823529411764,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.23529411764705882,0.5294117647058824,0.5294117647058824,0.35294117647058826,0.35294117647058826,0.4117647058823529,0.5882352941176471,0.35294117647058826,0.47058823529411764,0.5882352941176471,0.47058823529411764,0.5882352941176471,0.17647058823529413,0.5294117647058824,0.5294117647058824,0.5882352941176471,0.058823529411764705,0.23529411764705882,0.23529411764705882,0.29411764705882354,0.47058823529411764,0.29411764705882354,0.29411764705882354,0.17647058823529413,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.29411764705882354,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.17647058823529413,0.0,0.11764705882352941,0.058823529411764705,0.0,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.0,0.11764705882352941,0.058823529411764705,0.23529411764705882,0.0,0.11764705882352941,0.0,0.17647058823529413,0.0,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.29411764705882354,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.0,0.11764705882352941,0.0,"['Meria', 'node101']"
9,KingSuper,0,0,0,0,9,0,9,17,8,3,0.8888888888888888,0.3333333333333333,0.0,1,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,0.5294117647058824,0.0,0.4117647058823529,1.0,0.0,0.4117647058823529,0.29411764705882354,0.0,0.35294117647058826,0.47058823529411764,0.5294117647058824,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.29411764705882354,0.0,0.5294117647058824,0.23529411764705882,0.0,0.29411764705882354,0.0,0.0,0.35294117647058826,0.47058823529411764,0.5294117647058824,0.23529411764705882,0.5294117647058824,0.0,0.23529411764705882,0.35294117647058826,0.0,0.0,0.29411764705882354,0.4117647058823529,0.0,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.47058823529411764,0.058823529411764705,0.35294117647058826,0.4117647058823529,0.5294117647058824,0.47058823529411764,0.47058823529411764,0.29411764705882354,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.35294117647058826,0.5294117647058824,0.4117647058823529,0.23529411764705882,0.4117647058823529,0.5294117647058824,0.47058823529411764,0.0,0.0,0.0,0.0,0.4117647058823529,0.35294117647058826,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
