,voter,yes,no,veto,abstain,no_vote,valid_votes,total_votes,proposal_num,overall_match,cluster_match,overall_match_rate,cluster_match_rate,participation_rate,cluster_label, AutoStake  Slash Protected,StakeWithUs,BHarvest,Crosnest,SG1,Chorus One,Forbole,Bi23 Labs,kytzu,Notional, block pane ,stakefish,d3akashcloud,Figment,Oldcat, Stakepile,CLOSED,Citadelone,Frens ,Cosmostation,Kleomedes,Coinage x DAIC,polkachucom,Meria,Stakeflow,ChainLayer,DACM,Allnodes,PoS Node,SmartNodes,Quebec,MrK,Redelegate,Trust Nodes,Everstake,AlphaNodes,coaction,Please Redelegate,WeStaking,offline,Decloud Nodes Lab,ChainTools,0 Fee  ACI69  Airdrops,Consensus One, uGaenn ,Wetez,Validatriumcom,Inter Blockchain Services,Bit Cat,Easy 2 Stake,Nodeasycom,Huobi,ChainodeTech,Psycho Node,TRGC By Liquify,StakeSeeker by BTCS,europlots,P2PORG  P2P Validator,Colossus,Kiln,Luganodes,InfStones,Stir,Sunflower,Cryptostakecom ,CEXIO Validator,stake2earn,StakeCraft,Staked,Winter Validator,StakeLab,Anchor Staking,Masternode24de,KJINCio, CryptoCrew Validators IBCgang,BitNordic,Kiki Finance,openstakenet,OtterSync,Bitference,clubwfh,Validator Deprecated and Merged Please redelagate to AtlasStaking, EarnStash,DECOMMISSIONED AUDITone,Asteroid,0 Fee  Stakewollecom,cyberp3810,Stakincom ,SUNREN  0 Fee,DeCrypto,MKVone,Redelegate before 10072022,NBG,0 Fee MPress,funky,Inactive  Please Redelegate, KysenPool,Insight Finance,KAVAxAiden  High Staking Reward,Bitget  0 Fee,validator closing  please redelgate,Moonshinecc Validation  CM1,0 Fee to 2023  Avaultocom,vinividivici,MANTRA DAO,Stakebg,CLOSED decentralizehk  DHK dao,NQ4NET,DEXhybrid,DelosNode,BNB48Club,0 Fee to TOP 1   meleaxyz ,Atlas Staking  Auto compound rewards ,HbStaking,JupiterIAM,IvoryTower,Ystad,Share Staker  Airdrop  Check Web,101,BoxedCloudnet  0 until 2024,REDELEGATEPrometey,0 Fee  NymbusNode,POSTHUMAN,Staking4All,kavamainnetsk,high_similarity_voters
0, AutoStake  Slash Protected,26,8,0,5,0,39,39,43,27,32,0.6923076923076923,0.8205128205128205,0.9069767441860465,3,1.0,0.5116279069767442,0.5813953488372093,0.32558139534883723,0.046511627906976744,0.4883720930232558,0.27906976744186046,0.27906976744186046,0.06976744186046512,0.3488372093023256,0.046511627906976744,0.023255813953488372,0.46511627906976744,0.0,0.32558139534883723,0.06976744186046512,0.0,0.4883720930232558,0.2558139534883721,0.6744186046511628,0.16279069767441862,0.23255813953488372,0.6744186046511628,0.20930232558139536,0.2558139534883721,0.5116279069767442,0.2558139534883721,0.3488372093023256,0.46511627906976744,0.023255813953488372,0.046511627906976744,0.13953488372093023,0.46511627906976744,0.046511627906976744,0.11627906976744186,0.06976744186046512,0.023255813953488372,0.046511627906976744,0.5348837209302325,0.023255813953488372,0.06976744186046512,0.5581395348837209,0.20930232558139536,0.023255813953488372,0.11627906976744186,0.2558139534883721,0.4186046511627907,0.4418604651162791,0.023255813953488372,0.18604651162790697,0.27906976744186046,0.09302325581395349,0.20930232558139536,0.0,0.06976744186046512,0.13953488372093023,0.06976744186046512,0.5813953488372093,0.09302325581395349,0.11627906976744186,0.23255813953488372,0.0,0.0,0.0,0.0,0.37209302325581395,0.046511627906976744,0.32558139534883723,0.0,0.4883720930232558,0.13953488372093023,0.0,0.046511627906976744,0.13953488372093023,0.046511627906976744,0.627906976744186,0.0,0.37209302325581395,0.37209302325581395,0.0,0.06976744186046512,0.3023255813953488,0.09302325581395349,0.11627906976744186,0.046511627906976744,0.5348837209302325,0.046511627906976744,0.46511627906976744,0.3488372093023256,0.023255813953488372,0.627906976744186,0.06976744186046512,0.18604651162790697,0.13953488372093023,0.023255813953488372,0.023255813953488372,0.32558139534883723,0.023255813953488372,0.2558139534883721,0.23255813953488372,0.046511627906976744,0.09302325581395349,0.023255813953488372,0.23255813953488372,0.06976744186046512,0.23255813953488372,0.23255813953488372,0.16279069767441862,0.0,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.13953488372093023,0.0,0.0,0.046511627906976744,0.046511627906976744,0.06976744186046512,0.023255813953488372,0.09302325581395349,0.06976744186046512,0.046511627906976744,0.11627906976744186,0.0,"['Cosmostation', 'polkachucom', 'BitNordic', 'MKVone']"
1,StakeWithUs,25,4,0,3,0,32,32,43,24,27,0.75,0.84375,0.7441860465116279,3,0.5116279069767442,1.0,0.4883720930232558,0.23255813953488372,0.0,0.4186046511627907,0.32558139534883723,0.27906976744186046,0.023255813953488372,0.2558139534883721,0.13953488372093023,0.0,0.32558139534883723,0.0,0.23255813953488372,0.16279069767441862,0.0,0.5813953488372093,0.23255813953488372,0.5116279069767442,0.20930232558139536,0.23255813953488372,0.5116279069767442,0.13953488372093023,0.20930232558139536,0.46511627906976744,0.20930232558139536,0.3023255813953488,0.4418604651162791,0.023255813953488372,0.06976744186046512,0.09302325581395349,0.3488372093023256,0.046511627906976744,0.11627906976744186,0.023255813953488372,0.0,0.046511627906976744,0.4418604651162791,0.023255813953488372,0.06976744186046512,0.32558139534883723,0.16279069767441862,0.023255813953488372,0.046511627906976744,0.16279069767441862,0.3488372093023256,0.46511627906976744,0.046511627906976744,0.16279069767441862,0.20930232558139536,0.06976744186046512,0.16279069767441862,0.023255813953488372,0.06976744186046512,0.11627906976744186,0.023255813953488372,0.5116279069767442,0.09302325581395349,0.16279069767441862,0.16279069767441862,0.0,0.0,0.0,0.0,0.3488372093023256,0.046511627906976744,0.23255813953488372,0.0,0.4186046511627907,0.11627906976744186,0.023255813953488372,0.023255813953488372,0.11627906976744186,0.023255813953488372,0.4883720930232558,0.0,0.16279069767441862,0.4186046511627907,0.0,0.023255813953488372,0.3023255813953488,0.18604651162790697,0.046511627906976744,0.046511627906976744,0.4883720930232558,0.0,0.3023255813953488,0.37209302325581395,0.023255813953488372,0.5813953488372093,0.09302325581395349,0.11627906976744186,0.16279069767441862,0.046511627906976744,0.046511627906976744,0.23255813953488372,0.023255813953488372,0.18604651162790697,0.16279069767441862,0.023255813953488372,0.09302325581395349,0.0,0.18604651162790697,0.06976744186046512,0.20930232558139536,0.16279069767441862,0.23255813953488372,0.0,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.0,0.09302325581395349,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.06976744186046512,0.023255813953488372,0.023255813953488372,0.0,0.046511627906976744,0.09302325581395349,0.0,[]
2,BHarvest,21,6,0,5,0,32,32,43,20,27,0.625,0.84375,0.7441860465116279,3,0.5813953488372093,0.4883720930232558,1.0,0.2558139534883721,0.023255813953488372,0.3953488372093023,0.37209302325581395,0.20930232558139536,0.023255813953488372,0.3023255813953488,0.16279069767441862,0.023255813953488372,0.3488372093023256,0.0,0.27906976744186046,0.09302325581395349,0.0,0.3488372093023256,0.18604651162790697,0.5581395348837209,0.18604651162790697,0.13953488372093023,0.46511627906976744,0.16279069767441862,0.16279069767441862,0.46511627906976744,0.18604651162790697,0.2558139534883721,0.37209302325581395,0.023255813953488372,0.023255813953488372,0.13953488372093023,0.4186046511627907,0.0,0.06976744186046512,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.4883720930232558,0.023255813953488372,0.09302325581395349,0.4418604651162791,0.18604651162790697,0.046511627906976744,0.06976744186046512,0.23255813953488372,0.32558139534883723,0.3488372093023256,0.023255813953488372,0.11627906976744186,0.11627906976744186,0.06976744186046512,0.18604651162790697,0.023255813953488372,0.06976744186046512,0.11627906976744186,0.046511627906976744,0.4186046511627907,0.06976744186046512,0.023255813953488372,0.13953488372093023,0.0,0.0,0.0,0.0,0.2558139534883721,0.046511627906976744,0.27906976744186046,0.0,0.4418604651162791,0.06976744186046512,0.0,0.023255813953488372,0.0,0.0,0.4186046511627907,0.0,0.27906976744186046,0.3488372093023256,0.0,0.023255813953488372,0.3023255813953488,0.11627906976744186,0.11627906976744186,0.023255813953488372,0.3953488372093023,0.0,0.3488372093023256,0.3953488372093023,0.06976744186046512,0.5348837209302325,0.046511627906976744,0.13953488372093023,0.09302325581395349,0.023255813953488372,0.046511627906976744,0.32558139534883723,0.023255813953488372,0.2558139534883721,0.27906976744186046,0.023255813953488372,0.11627906976744186,0.0,0.2558139534883721,0.06976744186046512,0.23255813953488372,0.23255813953488372,0.18604651162790697,0.0,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.09302325581395349,0.0,0.0,0.046511627906976744,0.023255813953488372,0.06976744186046512,0.023255813953488372,0.046511627906976744,0.06976744186046512,0.046511627906976744,0.0,0.0,[]
3,Crosnest,11,9,0,16,6,36,42,43,17,17,0.40476190476190477,0.40476190476190477,0.8372093023255814,3,0.32558139534883723,0.23255813953488372,0.2558139534883721,1.0,0.046511627906976744,0.23255813953488372,0.11627906976744186,0.18604651162790697,0.046511627906976744,0.20930232558139536,0.20930232558139536,0.0,0.16279069767441862,0.13953488372093023,0.2558139534883721,0.23255813953488372,0.13953488372093023,0.20930232558139536,0.11627906976744186,0.3488372093023256,0.3953488372093023,0.18604651162790697,0.37209302325581395,0.09302325581395349,0.11627906976744186,0.23255813953488372,0.20930232558139536,0.18604651162790697,0.20930232558139536,0.0,0.13953488372093023,0.06976744186046512,0.2558139534883721,0.2558139534883721,0.046511627906976744,0.11627906976744186,0.023255813953488372,0.18604651162790697,0.2558139534883721,0.0,0.0,0.3488372093023256,0.09302325581395349,0.023255813953488372,0.06976744186046512,0.09302325581395349,0.13953488372093023,0.4418604651162791,0.0,0.23255813953488372,0.11627906976744186,0.06976744186046512,0.18604651162790697,0.023255813953488372,0.13953488372093023,0.11627906976744186,0.06976744186046512,0.32558139534883723,0.06976744186046512,0.2558139534883721,0.09302325581395349,0.09302325581395349,0.13953488372093023,0.13953488372093023,0.09302325581395349,0.16279069767441862,0.023255813953488372,0.13953488372093023,0.13953488372093023,0.27906976744186046,0.13953488372093023,0.023255813953488372,0.11627906976744186,0.046511627906976744,0.23255813953488372,0.2558139534883721,0.13953488372093023,0.46511627906976744,0.37209302325581395,0.13953488372093023,0.046511627906976744,0.18604651162790697,0.11627906976744186,0.06976744186046512,0.06976744186046512,0.20930232558139536,0.023255813953488372,0.4186046511627907,0.2558139534883721,0.023255813953488372,0.32558139534883723,0.06976744186046512,0.13953488372093023,0.4186046511627907,0.09302325581395349,0.09302325581395349,0.27906976744186046,0.13953488372093023,0.16279069767441862,0.13953488372093023,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.16279069767441862,0.023255813953488372,0.20930232558139536,0.18604651162790697,0.13953488372093023,0.0,0.0,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.06976744186046512,0.0,0.0,0.023255813953488372,0.046511627906976744,0.0,0.0,0.09302325581395349,0.0,0.0,0.046511627906976744,0.0,[]
4,SG1,0,1,0,11,0,12,12,43,0,1,0.0,0.08333333333333333,0.27906976744186046,3,0.046511627906976744,0.0,0.023255813953488372,0.046511627906976744,1.0,0.11627906976744186,0.06976744186046512,0.0,0.0,0.046511627906976744,0.13953488372093023,0.023255813953488372,0.0,0.0,0.023255813953488372,0.023255813953488372,0.0,0.023255813953488372,0.023255813953488372,0.0,0.0,0.11627906976744186,0.0,0.046511627906976744,0.0,0.06976744186046512,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.06976744186046512,0.11627906976744186,0.0,0.11627906976744186,0.023255813953488372,0.0,0.0,0.023255813953488372,0.0,0.13953488372093023,0.023255813953488372,0.06976744186046512,0.0,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.023255813953488372,0.046511627906976744,0.0,0.023255813953488372,0.0,0.0,0.09302325581395349,0.0,0.09302325581395349,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.023255813953488372,0.046511627906976744,0.0,0.06976744186046512,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,[]
5,Chorus One,21,7,0,13,0,41,41,43,22,27,0.5365853658536586,0.6585365853658537,0.9534883720930233,3,0.4883720930232558,0.4186046511627907,0.3953488372093023,0.23255813953488372,0.11627906976744186,1.0,0.4186046511627907,0.13953488372093023,0.023255813953488372,0.18604651162790697,0.13953488372093023,0.023255813953488372,0.37209302325581395,0.0,0.18604651162790697,0.06976744186046512,0.0,0.46511627906976744,0.23255813953488372,0.627906976744186,0.11627906976744186,0.18604651162790697,0.4883720930232558,0.18604651162790697,0.2558139534883721,0.4418604651162791,0.2558139534883721,0.46511627906976744,0.3953488372093023,0.0,0.023255813953488372,0.06976744186046512,0.27906976744186046,0.046511627906976744,0.13953488372093023,0.09302325581395349,0.046511627906976744,0.023255813953488372,0.3488372093023256,0.0,0.046511627906976744,0.5116279069767442,0.13953488372093023,0.0,0.06976744186046512,0.16279069767441862,0.32558139534883723,0.4418604651162791,0.0,0.3023255813953488,0.3953488372093023,0.023255813953488372,0.18604651162790697,0.023255813953488372,0.06976744186046512,0.09302325581395349,0.023255813953488372,0.5348837209302325,0.09302325581395349,0.18604651162790697,0.20930232558139536,0.0,0.0,0.0,0.0,0.3488372093023256,0.023255813953488372,0.23255813953488372,0.0,0.4418604651162791,0.13953488372093023,0.023255813953488372,0.046511627906976744,0.20930232558139536,0.06976744186046512,0.5581395348837209,0.0,0.37209302325581395,0.4186046511627907,0.0,0.0,0.16279069767441862,0.09302325581395349,0.09302325581395349,0.023255813953488372,0.4418604651162791,0.0,0.3488372093023256,0.2558139534883721,0.09302325581395349,0.4883720930232558,0.023255813953488372,0.11627906976744186,0.06976744186046512,0.0,0.023255813953488372,0.2558139534883721,0.023255813953488372,0.18604651162790697,0.16279069767441862,0.0,0.023255813953488372,0.0,0.20930232558139536,0.06976744186046512,0.18604651162790697,0.2558139534883721,0.11627906976744186,0.0,0.0,0.046511627906976744,0.023255813953488372,0.0,0.11627906976744186,0.0,0.0,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.0,0.0,0.06976744186046512,0.046511627906976744,0.18604651162790697,0.023255813953488372,['Cosmostation']
6,Forbole,18,2,0,7,0,27,27,43,15,18,0.5555555555555556,0.6666666666666666,0.627906976744186,3,0.27906976744186046,0.32558139534883723,0.37209302325581395,0.11627906976744186,0.06976744186046512,0.4186046511627907,1.0,0.11627906976744186,0.0,0.20930232558139536,0.11627906976744186,0.023255813953488372,0.16279069767441862,0.0,0.20930232558139536,0.09302325581395349,0.0,0.3488372093023256,0.20930232558139536,0.4186046511627907,0.06976744186046512,0.16279069767441862,0.27906976744186046,0.09302325581395349,0.18604651162790697,0.27906976744186046,0.18604651162790697,0.20930232558139536,0.2558139534883721,0.023255813953488372,0.0,0.046511627906976744,0.16279069767441862,0.023255813953488372,0.06976744186046512,0.046511627906976744,0.046511627906976744,0.0,0.18604651162790697,0.0,0.06976744186046512,0.2558139534883721,0.13953488372093023,0.023255813953488372,0.06976744186046512,0.06976744186046512,0.2558139534883721,0.32558139534883723,0.023255813953488372,0.11627906976744186,0.13953488372093023,0.046511627906976744,0.09302325581395349,0.023255813953488372,0.09302325581395349,0.023255813953488372,0.023255813953488372,0.3023255813953488,0.023255813953488372,0.06976744186046512,0.11627906976744186,0.0,0.0,0.0,0.0,0.20930232558139536,0.023255813953488372,0.11627906976744186,0.0,0.2558139534883721,0.06976744186046512,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.3023255813953488,0.0,0.20930232558139536,0.3023255813953488,0.0,0.023255813953488372,0.20930232558139536,0.09302325581395349,0.023255813953488372,0.046511627906976744,0.27906976744186046,0.0,0.18604651162790697,0.27906976744186046,0.06976744186046512,0.32558139534883723,0.046511627906976744,0.06976744186046512,0.046511627906976744,0.06976744186046512,0.06976744186046512,0.20930232558139536,0.023255813953488372,0.13953488372093023,0.18604651162790697,0.023255813953488372,0.09302325581395349,0.0,0.16279069767441862,0.046511627906976744,0.16279069767441862,0.13953488372093023,0.06976744186046512,0.023255813953488372,0.023255813953488372,0.0,0.0,0.06976744186046512,0.023255813953488372,0.0,0.0,0.023255813953488372,0.0,0.023255813953488372,0.023255813953488372,0.0,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.0,[]
7,Bi23 Labs,17,0,0,0,1,17,18,43,12,12,0.6666666666666666,0.6666666666666666,0.3953488372093023,3,0.27906976744186046,0.27906976744186046,0.20930232558139536,0.18604651162790697,0.0,0.13953488372093023,0.11627906976744186,1.0,0.023255813953488372,0.18604651162790697,0.06976744186046512,0.023255813953488372,0.13953488372093023,0.023255813953488372,0.16279069767441862,0.13953488372093023,0.023255813953488372,0.3023255813953488,0.046511627906976744,0.2558139534883721,0.11627906976744186,0.06976744186046512,0.27906976744186046,0.09302325581395349,0.06976744186046512,0.2558139534883721,0.09302325581395349,0.06976744186046512,0.16279069767441862,0.046511627906976744,0.023255813953488372,0.06976744186046512,0.23255813953488372,0.0,0.023255813953488372,0.023255813953488372,0.0,0.06976744186046512,0.20930232558139536,0.0,0.023255813953488372,0.13953488372093023,0.023255813953488372,0.0,0.046511627906976744,0.11627906976744186,0.20930232558139536,0.23255813953488372,0.023255813953488372,0.06976744186046512,0.06976744186046512,0.11627906976744186,0.11627906976744186,0.023255813953488372,0.046511627906976744,0.06976744186046512,0.023255813953488372,0.23255813953488372,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.18604651162790697,0.023255813953488372,0.13953488372093023,0.023255813953488372,0.18604651162790697,0.09302325581395349,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.0,0.16279069767441862,0.023255813953488372,0.11627906976744186,0.20930232558139536,0.023255813953488372,0.06976744186046512,0.20930232558139536,0.13953488372093023,0.046511627906976744,0.13953488372093023,0.23255813953488372,0.023255813953488372,0.20930232558139536,0.23255813953488372,0.0,0.27906976744186046,0.09302325581395349,0.09302325581395349,0.09302325581395349,0.06976744186046512,0.023255813953488372,0.13953488372093023,0.046511627906976744,0.11627906976744186,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.18604651162790697,0.023255813953488372,0.11627906976744186,0.06976744186046512,0.16279069767441862,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.0,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,[]
8,kytzu,1,2,0,0,0,3,3,43,2,2,0.6666666666666666,0.6666666666666666,0.06976744186046512,7,0.06976744186046512,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.0,0.023255813953488372,0.0,0.023255813953488372,1.0,0.06976744186046512,0.023255813953488372,0.023255813953488372,0.0,0.0,0.046511627906976744,0.023255813953488372,0.0,0.0,0.0,0.046511627906976744,0.023255813953488372,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.06976744186046512,0.0,0.0,0.0,0.0,0.046511627906976744,0.046511627906976744,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.023255813953488372,0.0,0.046511627906976744,0.0,0.0,0.0,0.046511627906976744,0.023255813953488372,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.06976744186046512,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.046511627906976744,0.023255813953488372,0.0,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.06976744186046512,0.023255813953488372,0.0,0.06976744186046512,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
9,Notional,14,3,0,7,0,24,24,43,11,15,0.4583333333333333,0.625,0.5581395348837209,3,0.3488372093023256,0.2558139534883721,0.3023255813953488,0.20930232558139536,0.046511627906976744,0.18604651162790697,0.20930232558139536,0.18604651162790697,0.06976744186046512,1.0,0.06976744186046512,0.046511627906976744,0.11627906976744186,0.0,0.16279069767441862,0.11627906976744186,0.0,0.23255813953488372,0.023255813953488372,0.3488372093023256,0.18604651162790697,0.09302325581395349,0.3023255813953488,0.06976744186046512,0.046511627906976744,0.18604651162790697,0.13953488372093023,0.06976744186046512,0.16279069767441862,0.023255813953488372,0.0,0.09302325581395349,0.3023255813953488,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.23255813953488372,0.023255813953488372,0.06976744186046512,0.20930232558139536,0.06976744186046512,0.023255813953488372,0.06976744186046512,0.20930232558139536,0.20930232558139536,0.16279069767441862,0.046511627906976744,0.13953488372093023,0.046511627906976744,0.09302325581395349,0.11627906976744186,0.023255813953488372,0.046511627906976744,0.09302325581395349,0.046511627906976744,0.23255813953488372,0.0,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0,0.18604651162790697,0.023255813953488372,0.11627906976744186,0.0,0.13953488372093023,0.18604651162790697,0.023255813953488372,0.023255813953488372,0.0,0.0,0.20930232558139536,0.0,0.20930232558139536,0.20930232558139536,0.0,0.06976744186046512,0.20930232558139536,0.11627906976744186,0.11627906976744186,0.06976744186046512,0.16279069767441862,0.046511627906976744,0.3488372093023256,0.20930232558139536,0.023255813953488372,0.37209302325581395,0.046511627906976744,0.13953488372093023,0.11627906976744186,0.046511627906976744,0.046511627906976744,0.13953488372093023,0.023255813953488372,0.11627906976744186,0.11627906976744186,0.046511627906976744,0.09302325581395349,0.023255813953488372,0.11627906976744186,0.06976744186046512,0.06976744186046512,0.16279069767441862,0.16279069767441862,0.0,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.06976744186046512,0.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,[]
