,voter,yes,no,veto,abstain,no_vote,valid_votes,total_votes,proposal_num,overall_match,cluster_match,overall_match_rate,cluster_match_rate,participation_rate,cluster_label, AutoStake  Slash Protected,BHarvest,Simply Staking,Chorus One,Forbole,01node, block pane ,WhisperNode ,Stakyio,Obi,Stakelyio,Citadelone, LavenderFive Nodes ,Coinage x DAIC,Keplr,MMS,FreshSTAKING,SmartNodes,Redelegate,Stakin,notional, Stake or Die ,Consensus One,Stakewollecom  Autocompound,NodeMonster,SpaceStake,Earn Network,Stashh,Huobi,cosmosrescue,w3coins,Colossus,HighStakesch  Stake for Airdrop,AgoraNodes,Tan,BwareLabs,Staked,Trivium  TriviumNetwork,StakeLab, CryptoCrew Validators IBCgang,HashQuark,Autism Staking,ChainofSecretsorg,Republic Crypto,Secret Express,nodevine,figment,CosmosPug,    secretanalyticsxyz,AART,Alter,AmberDAO,PathrockNetwork,Secret University  scrtuniversity,1 Fee and Free on Xmas  Secret Santa, ecret aturn  1 forever,EZStakingio,secretnftcom,Quiet monkey mind,REDACTED CLUB DAO,Mario  cap,ELYSIUM,Jackal DAO,Digiline,Vanasio  earn airdrops,securesecretsorg,Apeiron Nodes100 UptimeAirdrops,SCRT LabRador,StarShell,Mr Roboto s Secret,AnonDAO,Order of Secrets  1 fees,secretSauce ,SecretDog,hadowRealm,DELEGATE AWAY,SecretAlf,Crypto Chemistry ,Secret Keeper,secret underground,Ronin Ventures,secretchaingirl,Stake and Eggs,Shutdown  please redelegate,0 Fee 2024   melea,SerGo,POSTHUMAN  DVS,Outlier Ventures,DELEGATE AWAY  Going offline soon,StakeKY,Chilly Waifu Validation Chill Validation,HorseshoeCapital,XavierCapital,Stealth Staking,DomeriumLabs,Jamama,Pulsr,CoinBevy,please delegate to new avaulto node,legume,HBSecretNode,Artemisred,Clandestina X LavenderFive,Astrovault,shutting down 114,Avaulto,urtv72k9, ActiListio DApp,Finacash,MathWallet  Fenbushi,Lotus,CosmoBook  please redelegate,Lorem Ipsum Metaverse,Secret Network Africa,crosnest,zenopie  , Secret Jupiter  2 forever,Cosmonaut Stakes SCRT,AdamantFI,high_similarity_voters
0, AutoStake  Slash Protected,71,5,0,18,0,94,94,98,50,75,0.5319148936170213,0.7978723404255319,0.9591836734693877,3,1.0,0.5714285714285714,0.061224489795918366,0.5306122448979592,0.15306122448979592,0.32653061224489793,0.29591836734693877,0.7142857142857143,0.02040816326530612,0.47959183673469385,0.5816326530612245,0.35714285714285715,0.5204081632653061,0.336734693877551,0.22448979591836735,0.0,0.5,0.09183673469387756,0.030612244897959183,0.10204081632653061,0.19387755102040816,0.25510204081632654,0.10204081632653061,0.4897959183673469,0.15306122448979592,0.07142857142857142,0.061224489795918366,0.14285714285714285,0.08163265306122448,0.05102040816326531,0.21428571428571427,0.04081632653061224,0.4897959183673469,0.3979591836734694,0.02040816326530612,0.0,0.0,0.336734693877551,0.2653061224489796,0.46938775510204084,0.030612244897959183,0.02040816326530612,0.04081632653061224,0.01020408163265306,0.5306122448979592,0.10204081632653061,0.02040816326530612,0.23469387755102042,0.3163265306122449,0.05102040816326531,0.20408163265306123,0.01020408163265306,0.11224489795918367,0.21428571428571427,0.16326530612244897,0.7040816326530612,0.05102040816326531,0.23469387755102042,0.6224489795918368,0.04081632653061224,0.19387755102040816,0.061224489795918366,0.16326530612244897,0.11224489795918367,0.05102040816326531,0.47959183673469385,0.09183673469387756,0.07142857142857142,0.19387755102040816,0.4489795918367347,0.04081632653061224,0.21428571428571427,0.23469387755102042,0.5408163265306123,0.32653061224489793,0.05102040816326531,0.19387755102040816,0.2755102040816326,0.6224489795918368,0.09183673469387756,0.14285714285714285,0.6020408163265306,0.02040816326530612,0.1326530612244898,0.030612244897959183,0.04081632653061224,0.16326530612244897,0.01020408163265306,0.07142857142857142,0.01020408163265306,0.4897959183673469,0.01020408163265306,0.4387755102040816,0.05102040816326531,0.21428571428571427,0.14285714285714285,0.02040816326530612,0.02040816326530612,0.061224489795918366,0.01020408163265306,0.11224489795918367,0.17346938775510204,0.04081632653061224,0.02040816326530612,0.1326530612244898,0.10204081632653061,0.01020408163265306,0.21428571428571427,0.37755102040816324,0.04081632653061224,0.09183673469387756,0.02040816326530612,0.01020408163265306,0.061224489795918366,0.17346938775510204,0.05102040816326531,0.01020408163265306,0.030612244897959183,0.01020408163265306,"['WhisperNode ', ' ecret aturn  1 forever', 'Quiet monkey mind', 'Secret Keeper', 'secretchaingirl']"
1,BHarvest,63,11,0,8,0,82,82,98,54,75,0.6585365853658537,0.9146341463414634,0.8367346938775511,3,0.5714285714285714,1.0,0.10204081632653061,0.5,0.14285714285714285,0.35714285714285715,0.3163265306122449,0.6632653061224489,0.01020408163265306,0.4387755102040816,0.5102040816326531,0.4387755102040816,0.5,0.2755102040816326,0.1836734693877551,0.0,0.5408163265306123,0.09183673469387756,0.030612244897959183,0.08163265306122448,0.23469387755102042,0.2857142857142857,0.11224489795918367,0.46938775510204084,0.14285714285714285,0.05102040816326531,0.05102040816326531,0.1326530612244898,0.08163265306122448,0.05102040816326531,0.15306122448979592,0.061224489795918366,0.5306122448979592,0.42857142857142855,0.030612244897959183,0.0,0.0,0.2857142857142857,0.24489795918367346,0.32653061224489793,0.01020408163265306,0.030612244897959183,0.05102040816326531,0.02040816326530612,0.5306122448979592,0.09183673469387756,0.030612244897959183,0.19387755102040816,0.3469387755102041,0.061224489795918366,0.24489795918367346,0.04081632653061224,0.10204081632653061,0.16326530612244897,0.16326530612244897,0.6224489795918368,0.07142857142857142,0.19387755102040816,0.6530612244897959,0.07142857142857142,0.21428571428571427,0.09183673469387756,0.15306122448979592,0.1326530612244898,0.061224489795918366,0.4897959183673469,0.07142857142857142,0.08163265306122448,0.17346938775510204,0.3877551020408163,0.07142857142857142,0.19387755102040816,0.19387755102040816,0.4897959183673469,0.41836734693877553,0.030612244897959183,0.1836734693877551,0.22448979591836735,0.6122448979591837,0.10204081632653061,0.16326530612244897,0.6020408163265306,0.0,0.17346938775510204,0.02040816326530612,0.05102040816326531,0.19387755102040816,0.01020408163265306,0.061224489795918366,0.01020408163265306,0.5102040816326531,0.01020408163265306,0.30612244897959184,0.030612244897959183,0.2857142857142857,0.24489795918367346,0.02040816326530612,0.02040816326530612,0.09183673469387756,0.01020408163265306,0.12244897959183673,0.1836734693877551,0.05102040816326531,0.030612244897959183,0.17346938775510204,0.07142857142857142,0.01020408163265306,0.24489795918367346,0.3469387755102041,0.04081632653061224,0.05102040816326531,0.01020408163265306,0.01020408163265306,0.030612244897959183,0.12244897959183673,0.04081632653061224,0.030612244897959183,0.04081632653061224,0.0,"['WhisperNode ', ' ecret aturn  1 forever', 'Quiet monkey mind', 'Secret Keeper', 'secretchaingirl']"
2,Simply Staking,8,2,0,5,0,15,15,98,7,9,0.4666666666666667,0.6,0.15306122448979592,3,0.061224489795918366,0.10204081632653061,1.0,0.08163265306122448,0.04081632653061224,0.07142857142857142,0.09183673469387756,0.07142857142857142,0.0,0.030612244897959183,0.10204081632653061,0.08163265306122448,0.061224489795918366,0.01020408163265306,0.0,0.0,0.08163265306122448,0.02040816326530612,0.0,0.0,0.09183673469387756,0.04081632653061224,0.0,0.061224489795918366,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.08163265306122448,0.061224489795918366,0.0,0.0,0.0,0.02040816326530612,0.061224489795918366,0.07142857142857142,0.0,0.0,0.030612244897959183,0.0,0.09183673469387756,0.0,0.01020408163265306,0.01020408163265306,0.10204081632653061,0.0,0.07142857142857142,0.05102040816326531,0.0,0.01020408163265306,0.02040816326530612,0.08163265306122448,0.04081632653061224,0.030612244897959183,0.09183673469387756,0.02040816326530612,0.05102040816326531,0.0,0.08163265306122448,0.09183673469387756,0.0,0.11224489795918367,0.0,0.01020408163265306,0.030612244897959183,0.05102040816326531,0.04081632653061224,0.04081632653061224,0.07142857142857142,0.07142857142857142,0.11224489795918367,0.0,0.02040816326530612,0.01020408163265306,0.08163265306122448,0.01020408163265306,0.05102040816326531,0.061224489795918366,0.0,0.05102040816326531,0.0,0.0,0.0,0.0,0.0,0.0,0.05102040816326531,0.0,0.05102040816326531,0.0,0.08163265306122448,0.05102040816326531,0.0,0.0,0.0,0.0,0.030612244897959183,0.04081632653061224,0.02040816326530612,0.0,0.07142857142857142,0.0,0.0,0.01020408163265306,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
3,Chorus One,55,5,0,22,0,82,82,98,48,63,0.5853658536585366,0.7682926829268293,0.8367346938775511,3,0.5306122448979592,0.5,0.08163265306122448,1.0,0.1836734693877551,0.3673469387755102,0.24489795918367346,0.5408163265306123,0.0,0.46938775510204084,0.5,0.4489795918367347,0.41836734693877553,0.3673469387755102,0.24489795918367346,0.0,0.45918367346938777,0.05102040816326531,0.01020408163265306,0.07142857142857142,0.21428571428571427,0.16326530612244897,0.09183673469387756,0.45918367346938777,0.21428571428571427,0.10204081632653061,0.07142857142857142,0.11224489795918367,0.030612244897959183,0.08163265306122448,0.22448979591836735,0.061224489795918366,0.46938775510204084,0.41836734693877553,0.061224489795918366,0.0,0.0,0.2653061224489796,0.1836734693877551,0.30612244897959184,0.030612244897959183,0.0,0.01020408163265306,0.01020408163265306,0.41836734693877553,0.08163265306122448,0.01020408163265306,0.19387755102040816,0.2653061224489796,0.08163265306122448,0.17346938775510204,0.07142857142857142,0.15306122448979592,0.1836734693877551,0.15306122448979592,0.5510204081632653,0.07142857142857142,0.22448979591836735,0.6020408163265306,0.061224489795918366,0.14285714285714285,0.12244897959183673,0.14285714285714285,0.09183673469387756,0.01020408163265306,0.3979591836734694,0.061224489795918366,0.030612244897959183,0.1836734693877551,0.3469387755102041,0.1326530612244898,0.11224489795918367,0.2653061224489796,0.3673469387755102,0.2857142857142857,0.0,0.09183673469387756,0.15306122448979592,0.5102040816326531,0.04081632653061224,0.07142857142857142,0.46938775510204084,0.01020408163265306,0.14285714285714285,0.01020408163265306,0.061224489795918366,0.1836734693877551,0.0,0.02040816326530612,0.0,0.4387755102040816,0.0,0.336734693877551,0.030612244897959183,0.16326530612244897,0.1836734693877551,0.01020408163265306,0.0,0.01020408163265306,0.0,0.12244897959183673,0.1326530612244898,0.02040816326530612,0.01020408163265306,0.15306122448979592,0.07142857142857142,0.01020408163265306,0.2755102040816326,0.3673469387755102,0.05102040816326531,0.08163265306122448,0.02040816326530612,0.01020408163265306,0.07142857142857142,0.12244897959183673,0.07142857142857142,0.02040816326530612,0.061224489795918366,0.02040816326530612,['Quiet monkey mind']
4,Forbole,16,0,0,13,0,29,29,98,13,17,0.4482758620689655,0.5862068965517241,0.29591836734693877,3,0.15306122448979592,0.14285714285714285,0.04081632653061224,0.1836734693877551,1.0,0.11224489795918367,0.08163265306122448,0.14285714285714285,0.0,0.08163265306122448,0.17346938775510204,0.1326530612244898,0.11224489795918367,0.07142857142857142,0.01020408163265306,0.0,0.10204081632653061,0.07142857142857142,0.02040816326530612,0.02040816326530612,0.11224489795918367,0.09183673469387756,0.030612244897959183,0.08163265306122448,0.0,0.0,0.0,0.05102040816326531,0.030612244897959183,0.0,0.01020408163265306,0.0,0.1326530612244898,0.11224489795918367,0.0,0.0,0.0,0.05102040816326531,0.1326530612244898,0.1326530612244898,0.01020408163265306,0.0,0.0,0.01020408163265306,0.11224489795918367,0.04081632653061224,0.0,0.08163265306122448,0.14285714285714285,0.0,0.061224489795918366,0.08163265306122448,0.0,0.08163265306122448,0.01020408163265306,0.16326530612244897,0.07142857142857142,0.10204081632653061,0.17346938775510204,0.01020408163265306,0.07142857142857142,0.0,0.07142857142857142,0.04081632653061224,0.02040816326530612,0.1326530612244898,0.01020408163265306,0.02040816326530612,0.05102040816326531,0.09183673469387756,0.09183673469387756,0.05102040816326531,0.15306122448979592,0.14285714285714285,0.1326530612244898,0.0,0.04081632653061224,0.061224489795918366,0.14285714285714285,0.01020408163265306,0.08163265306122448,0.14285714285714285,0.0,0.12244897959183673,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.09183673469387756,0.0,0.10204081632653061,0.02040816326530612,0.09183673469387756,0.04081632653061224,0.0,0.0,0.02040816326530612,0.0,0.08163265306122448,0.061224489795918366,0.030612244897959183,0.02040816326530612,0.07142857142857142,0.02040816326530612,0.0,0.030612244897959183,0.04081632653061224,0.0,0.01020408163265306,0.0,0.0,0.01020408163265306,0.01020408163265306,0.0,0.0,0.0,0.0,[]
5,01node,37,1,0,24,0,62,62,98,31,42,0.5,0.6774193548387096,0.6326530612244898,3,0.32653061224489793,0.35714285714285715,0.07142857142857142,0.3673469387755102,0.11224489795918367,1.0,0.1836734693877551,0.3877551020408163,0.0,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.29591836734693877,0.19387755102040816,0.1326530612244898,0.0,0.3163265306122449,0.02040816326530612,0.0,0.061224489795918366,0.15306122448979592,0.11224489795918367,0.061224489795918366,0.2755102040816326,0.1326530612244898,0.07142857142857142,0.05102040816326531,0.061224489795918366,0.01020408163265306,0.05102040816326531,0.1326530612244898,0.05102040816326531,0.3469387755102041,0.30612244897959184,0.05102040816326531,0.0,0.0,0.23469387755102042,0.10204081632653061,0.25510204081632654,0.0,0.0,0.02040816326530612,0.02040816326530612,0.23469387755102042,0.04081632653061224,0.01020408163265306,0.11224489795918367,0.1836734693877551,0.04081632653061224,0.15306122448979592,0.12244897959183673,0.1326530612244898,0.08163265306122448,0.14285714285714285,0.30612244897959184,0.04081632653061224,0.1326530612244898,0.336734693877551,0.030612244897959183,0.14285714285714285,0.11224489795918367,0.1326530612244898,0.1326530612244898,0.0,0.37755102040816324,0.02040816326530612,0.030612244897959183,0.10204081632653061,0.20408163265306123,0.19387755102040816,0.09183673469387756,0.2755102040816326,0.22448979591836735,0.24489795918367346,0.0,0.10204081632653061,0.04081632653061224,0.3673469387755102,0.030612244897959183,0.07142857142857142,0.336734693877551,0.0,0.16326530612244897,0.01020408163265306,0.05102040816326531,0.1326530612244898,0.0,0.01020408163265306,0.0,0.25510204081632654,0.0,0.2755102040816326,0.0,0.11224489795918367,0.1326530612244898,0.01020408163265306,0.0,0.02040816326530612,0.0,0.08163265306122448,0.15306122448979592,0.07142857142857142,0.05102040816326531,0.10204081632653061,0.061224489795918366,0.01020408163265306,0.17346938775510204,0.24489795918367346,0.04081632653061224,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.02040816326530612,0.09183673469387756,0.030612244897959183,0.030612244897959183,0.030612244897959183,0.02040816326530612,[]
6, block pane ,29,8,0,7,0,44,44,98,27,35,0.6136363636363636,0.7954545454545454,0.4489795918367347,3,0.29591836734693877,0.3163265306122449,0.09183673469387756,0.24489795918367346,0.08163265306122448,0.1836734693877551,1.0,0.30612244897959184,0.0,0.14285714285714285,0.24489795918367346,0.19387755102040816,0.25510204081632654,0.15306122448979592,0.030612244897959183,0.0,0.2857142857142857,0.04081632653061224,0.0,0.061224489795918366,0.1836734693877551,0.14285714285714285,0.08163265306122448,0.23469387755102042,0.030612244897959183,0.0,0.0,0.11224489795918367,0.0,0.0,0.05102040816326531,0.0,0.2857142857142857,0.23469387755102042,0.0,0.0,0.0,0.10204081632653061,0.1326530612244898,0.2755102040816326,0.01020408163265306,0.0,0.030612244897959183,0.02040816326530612,0.2755102040816326,0.02040816326530612,0.02040816326530612,0.11224489795918367,0.19387755102040816,0.01020408163265306,0.1836734693877551,0.030612244897959183,0.030612244897959183,0.1326530612244898,0.05102040816326531,0.2755102040816326,0.05102040816326531,0.1326530612244898,0.30612244897959184,0.030612244897959183,0.09183673469387756,0.0,0.12244897959183673,0.14285714285714285,0.0,0.29591836734693877,0.08163265306122448,0.030612244897959183,0.07142857142857142,0.21428571428571427,0.04081632653061224,0.12244897959183673,0.10204081632653061,0.2857142857142857,0.23469387755102042,0.0,0.07142857142857142,0.10204081632653061,0.3163265306122449,0.061224489795918366,0.061224489795918366,0.2755102040816326,0.01020408163265306,0.10204081632653061,0.0,0.0,0.02040816326530612,0.0,0.01020408163265306,0.0,0.2653061224489796,0.0,0.22448979591836735,0.0,0.19387755102040816,0.1326530612244898,0.01020408163265306,0.0,0.02040816326530612,0.0,0.09183673469387756,0.11224489795918367,0.05102040816326531,0.02040816326530612,0.1326530612244898,0.07142857142857142,0.01020408163265306,0.09183673469387756,0.14285714285714285,0.02040816326530612,0.05102040816326531,0.01020408163265306,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.0,0.0,0.0,[]
7,WhisperNode ,79,9,0,7,3,95,98,98,58,79,0.5918367346938775,0.8061224489795918,0.9693877551020408,3,0.7142857142857143,0.6632653061224489,0.07142857142857142,0.5408163265306123,0.14285714285714285,0.3877551020408163,0.30612244897959184,1.0,0.02040816326530612,0.5306122448979592,0.4897959183673469,0.40816326530612246,0.5714285714285714,0.32653061224489793,0.2857142857142857,0.04081632653061224,0.6020408163265306,0.10204081632653061,0.04081632653061224,0.15306122448979592,0.2755102040816326,0.29591836734693877,0.10204081632653061,0.5714285714285714,0.1836734693877551,0.11224489795918367,0.07142857142857142,0.1836734693877551,0.08163265306122448,0.07142857142857142,0.22448979591836735,0.05102040816326531,0.5204081632653061,0.47959183673469385,0.061224489795918366,0.0,0.030612244897959183,0.42857142857142855,0.2653061224489796,0.3469387755102041,0.030612244897959183,0.030612244897959183,0.09183673469387756,0.05102040816326531,0.5816326530612245,0.14285714285714285,0.061224489795918366,0.24489795918367346,0.336734693877551,0.08163265306122448,0.2755102040816326,0.02040816326530612,0.17346938775510204,0.21428571428571427,0.23469387755102042,0.7040816326530612,0.09183673469387756,0.25510204081632654,0.6938775510204082,0.08163265306122448,0.22448979591836735,0.17346938775510204,0.21428571428571427,0.16326530612244897,0.07142857142857142,0.5510204081632653,0.08163265306122448,0.10204081632653061,0.21428571428571427,0.47959183673469385,0.05102040816326531,0.22448979591836735,0.16326530612244897,0.5714285714285714,0.3877551020408163,0.05102040816326531,0.24489795918367346,0.2653061224489796,0.673469387755102,0.10204081632653061,0.15306122448979592,0.6530612244897959,0.02040816326530612,0.1326530612244898,0.030612244897959183,0.05102040816326531,0.1836734693877551,0.01020408163265306,0.061224489795918366,0.01020408163265306,0.5510204081632653,0.01020408163265306,0.42857142857142855,0.030612244897959183,0.2755102040816326,0.20408163265306123,0.02040816326530612,0.02040816326530612,0.061224489795918366,0.0,0.15306122448979592,0.16326530612244897,0.05102040816326531,0.030612244897959183,0.16326530612244897,0.11224489795918367,0.02040816326530612,0.2857142857142857,0.3877551020408163,0.04081632653061224,0.09183673469387756,0.02040816326530612,0.01020408163265306,0.061224489795918366,0.14285714285714285,0.04081632653061224,0.030612244897959183,0.05102040816326531,0.02040816326530612,"[' AutoStake  Slash Protected', 'BHarvest', 'FreshSTAKING', ' ecret aturn  1 forever', 'Quiet monkey mind', 'Secret Keeper', 'secretchaingirl']"
8,Stakyio,2,0,0,0,0,2,2,98,1,2,0.5,1.0,0.02040816326530612,3,0.02040816326530612,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,1.0,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.02040816326530612,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.01020408163265306,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.02040816326530612,0.02040816326530612,0.01020408163265306,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.01020408163265306,0.02040816326530612,0.0,0.0,0.02040816326530612,0.0,0.0,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
9,Obi,53,5,0,9,28,67,95,98,57,56,0.6,0.5894736842105263,0.6836734693877551,3,0.47959183673469385,0.4387755102040816,0.030612244897959183,0.46938775510204084,0.08163265306122448,0.2857142857142857,0.14285714285714285,0.5306122448979592,0.01020408163265306,1.0,0.45918367346938777,0.3877551020408163,0.5612244897959183,0.42857142857142855,0.4897959183673469,0.2653061224489796,0.3979591836734694,0.04081632653061224,0.030612244897959183,0.2755102040816326,0.12244897959183673,0.22448979591836735,0.061224489795918366,0.37755102040816324,0.20408163265306123,0.10204081632653061,0.08163265306122448,0.2755102040816326,0.061224489795918366,0.07142857142857142,0.22448979591836735,0.061224489795918366,0.40816326530612246,0.3163265306122449,0.061224489795918366,0.05102040816326531,0.2857142857142857,0.4489795918367347,0.16326530612244897,0.30612244897959184,0.02040816326530612,0.030612244897959183,0.32653061224489793,0.29591836734693877,0.37755102040816324,0.3673469387755102,0.2755102040816326,0.29591836734693877,0.2755102040816326,0.3673469387755102,0.3877551020408163,0.17346938775510204,0.35714285714285715,0.2653061224489796,0.45918367346938777,0.5714285714285714,0.21428571428571427,0.25510204081632654,0.5204081632653061,0.29591836734693877,0.2653061224489796,0.40816326530612246,0.29591836734693877,0.3163265306122449,0.29591836734693877,0.5204081632653061,0.2653061224489796,0.17346938775510204,0.2857142857142857,0.3163265306122449,0.04081632653061224,0.17346938775510204,0.12244897959183673,0.35714285714285715,0.25510204081632654,0.04081632653061224,0.1326530612244898,0.17346938775510204,0.5102040816326531,0.05102040816326531,0.11224489795918367,0.45918367346938777,0.02040816326530612,0.061224489795918366,0.02040816326530612,0.05102040816326531,0.17346938775510204,0.0,0.05102040816326531,0.0,0.3877551020408163,0.01020408163265306,0.2755102040816326,0.030612244897959183,0.1836734693877551,0.1326530612244898,0.02040816326530612,0.02040816326530612,0.05102040816326531,0.01020408163265306,0.07142857142857142,0.11224489795918367,0.02040816326530612,0.0,0.05102040816326531,0.07142857142857142,0.01020408163265306,0.23469387755102042,0.29591836734693877,0.05102040816326531,0.05102040816326531,0.02040816326530612,0.01020408163265306,0.05102040816326531,0.1326530612244898,0.05102040816326531,0.02040816326530612,0.05102040816326531,0.02040816326530612,[]
